gen, ranking_binary_onepoint_best, ranking_binary_onepoint_ave
   1,   0.2136, 0.102451
   2,   0.2136, 0.104277
   3,   0.2262,  0.11551
   4,   0.2322, 0.125611
   5,   0.2618, 0.134398
   6,   0.2821, 0.145347
   7,    0.342, 0.166199
   8,    0.342, 0.187451
   9,    0.342, 0.206483
  10,   0.3538,  0.22365
  11,   0.3613,  0.24139
  12,   0.3624, 0.260763
  13,   0.3735, 0.278418
  14,   0.3778, 0.293287
  15,   0.3829, 0.289037
  16,   0.3883, 0.299453
  17,   0.3932, 0.310411
  18,   0.3966, 0.319351
  19,   0.3973, 0.325057
  20,    0.405, 0.330884
  21,   0.4114, 0.335908
  22,   0.4148, 0.342254
  23,    0.417, 0.349512
  24,   0.4245, 0.356364
  25,   0.4272,  0.35892
  26,   0.4274, 0.362653
  27,   0.4428, 0.366206
  28,   0.4428, 0.368243
  29,   0.4495, 0.374881
  30,   0.4495, 0.378282
  31,   0.4555, 0.382234
  32,    0.459, 0.388801
  33,   0.4731, 0.391305
  34,   0.4731, 0.396604
  35,   0.4911, 0.401052
  36,   0.4911, 0.410538
  37,   0.4928,  0.41423
  38,   0.4928, 0.412978
  39,   0.4971, 0.424107
  40,   0.4971,  0.42789
  41,   0.5055, 0.436715
  42,   0.5125, 0.445032
  43,   0.5125, 0.445365
  44,   0.5149, 0.454043
  45,   0.5236, 0.453126
  46,   0.5247,  0.45595
  47,   0.5247, 0.460951
  48,   0.5352, 0.465427
  49,   0.5352, 0.464144
  50,   0.5406, 0.468758
  51,   0.5488, 0.463282
  52,   0.5488, 0.469328
  53,   0.5593, 0.471041
  54,   0.5616, 0.473461
  55,   0.5645, 0.484787
  56,    0.572, 0.491933
  57,   0.5732, 0.500353
  58,   0.5772, 0.505421
  59,   0.5772, 0.508802
  60,   0.5829, 0.512886
  61,    0.587, 0.515415
  62,    0.587, 0.520405
  63,   0.5914, 0.525704
  64,   0.5946, 0.524324
  65,    0.598, 0.528967
  66,    0.598, 0.527083
  67,   0.6006, 0.531065
  68,   0.6006, 0.528858
  69,   0.6043, 0.528609
  70,    0.607, 0.534957
  71,    0.607, 0.533089
  72,   0.6071, 0.533805
  73,   0.6152, 0.537119
  74,   0.6152, 0.535497
  75,   0.6152,  0.53869
  76,   0.6186, 0.539191
  77,   0.6186, 0.543591
  78,   0.6234,  0.54647
  79,   0.6234, 0.549075
  80,   0.6311, 0.553293
  81,   0.6311, 0.548055
  82,   0.6311, 0.555186
  83,   0.6311, 0.553506
  84,   0.6313, 0.559174
  85,   0.6325, 0.559169
  86,   0.6351, 0.557463
  87,   0.6388, 0.556006
  88,   0.6388, 0.555281
  89,   0.6388, 0.555883
  90,   0.6402, 0.556234
  91,   0.6425, 0.565651
  92,   0.6425, 0.569036
  93,   0.6441, 0.568628
  94,   0.6441, 0.571905
  95,   0.6485, 0.574004
  96,   0.6485, 0.572366
  97,   0.6489, 0.575976
  98,   0.6489,  0.56912
  99,   0.6528, 0.578664
 100,   0.6528, 0.570059
 101,   0.6528, 0.575635
 102,   0.6528,  0.58213
 103,   0.6556,  0.58332
 104,   0.6556, 0.582128
 105,   0.6556, 0.581938
 106,   0.6556, 0.577554
 107,   0.6577, 0.577438
 108,   0.6578, 0.573234
 109,   0.6605, 0.579793
 110,   0.6605, 0.579139
 111,   0.6605, 0.585163
 112,   0.6605, 0.585108
 113,   0.6605, 0.586254
 114,   0.6615, 0.583053
 115,   0.6615, 0.584259
 116,   0.6634, 0.585809
 117,   0.6634, 0.581405
 118,   0.6634, 0.585778
 119,   0.6634, 0.590713
 120,   0.6643, 0.584114
 121,   0.6643, 0.587674
 122,   0.6643, 0.584565
 123,   0.6643, 0.585877
 124,   0.6643, 0.586446
