gen, ranking_binary_twopoint_best, ranking_binary_twopoint_ave
   1,   0.2136, 0.102451
   2,   0.2229,  0.10349
   3,   0.2495, 0.126208
   4,   0.2617,  0.12964
   5,   0.2759, 0.144664
   6,   0.2759, 0.153966
   7,   0.2875, 0.161406
   8,   0.2875, 0.164592
   9,   0.3088, 0.166188
  10,   0.3105, 0.178138
  11,   0.3363,  0.19598
  12,   0.3363, 0.225236
  13,   0.3579, 0.256322
  14,   0.3579, 0.279099
  15,   0.3902,  0.29884
  16,   0.3902, 0.308274
  17,   0.3902, 0.313632
  18,   0.3997, 0.324961
  19,   0.4307, 0.332698
  20,   0.4307, 0.343488
  21,   0.4345, 0.351413
  22,   0.4345, 0.360779
  23,   0.4415, 0.364187
  24,   0.4415, 0.371632
  25,   0.4544, 0.373398
  26,   0.4544, 0.376782
  27,   0.4544, 0.381025
  28,   0.4603, 0.379786
  29,   0.4603, 0.389383
  30,   0.4642, 0.392562
  31,   0.4674, 0.390025
  32,   0.4687, 0.391005
  33,   0.4687, 0.396882
  34,   0.4735,  0.40338
  35,   0.4748, 0.407213
  36,   0.4796, 0.409045
  37,   0.4805, 0.408901
  38,   0.4828, 0.413117
  39,   0.4876, 0.414993
  40,   0.4911, 0.422413
  41,   0.4914, 0.421783
  42,   0.4919, 0.420209
  43,   0.5022, 0.431536
  44,   0.5022, 0.429736
  45,   0.5022, 0.435573
  46,   0.5067, 0.435881
  47,   0.5139, 0.441339
  48,   0.5139, 0.445572
  49,   0.5139, 0.446855
  50,   0.5183, 0.448382
  51,   0.5183, 0.446644
  52,   0.5199,  0.45314
  53,   0.5199, 0.452902
  54,   0.5222, 0.451834
  55,   0.5233, 0.453922
  56,   0.5293, 0.459249
  57,   0.5293,  0.45478
  58,   0.5305, 0.461778
  59,   0.5309, 0.461183
  60,   0.5331, 0.465093
  61,   0.5331, 0.467898
  62,    0.541, 0.465719
  63,    0.542, 0.469952
  64,    0.542, 0.471888
  65,   0.5438, 0.478102
  66,   0.5462,  0.47919
  67,   0.5512, 0.477219
  68,   0.5512,  0.48318
  69,   0.5521, 0.485084
  70,   0.5563, 0.485345
  71,   0.5563, 0.481127
  72,   0.5563, 0.485045
  73,   0.5564, 0.488167
  74,   0.5573, 0.481282
  75,   0.5595, 0.483265
  76,   0.5616,  0.48978
  77,   0.5616, 0.489121
  78,   0.5621, 0.494802
  79,   0.5634, 0.501251
  80,   0.5634, 0.499513
  81,   0.5638, 0.497977
  82,   0.5638, 0.490692
  83,    0.565, 0.500319
  84,    0.565, 0.496471
  85,   0.5678, 0.502425
  86,   0.5678, 0.498191
  87,   0.5699, 0.496697
  88,   0.5711, 0.498959
  89,   0.5711, 0.495582
  90,   0.5711, 0.501867
  91,   0.5746,   0.5046
  92,   0.5746, 0.508316
  93,   0.5746, 0.508789
  94,   0.5754, 0.507357
  95,   0.5754, 0.504657
  96,   0.5754,  0.51084
  97,   0.5755, 0.506528
  98,   0.5774, 0.505692
  99,   0.5774, 0.507243
 100,   0.5781,  0.50474
 101,   0.5781, 0.514499
 102,   0.5793, 0.508123
 103,   0.5793, 0.508773
 104,   0.5793, 0.511859
 105,   0.5809, 0.511365
 106,   0.5815, 0.505804
 107,   0.5815,  0.51703
 108,   0.5815, 0.517024
 109,   0.5826, 0.515126
 110,   0.5826, 0.516067
 111,   0.5826, 0.516782
 112,   0.5872, 0.513265
 113,   0.5872, 0.516534
 114,   0.5872, 0.519309
 115,   0.5898, 0.523848
 116,   0.5907,  0.52128
 117,   0.5907, 0.517613
 118,   0.5913, 0.520709
 119,   0.5939,  0.52013
 120,   0.5939, 0.524382
 121,    0.613, 0.528812
 122,    0.613, 0.527378
 123,   0.6198, 0.533258
 124,   0.6251, 0.537416
 125,   0.6262,  0.53981
 126,   0.6324, 0.548702
