gen, ranking_binary_uniform_best, ranking_binary_uniform_ave
   1,   0.2136, 0.102451
   2,    0.282, 0.105237
   3,    0.282, 0.112429
   4,    0.282, 0.117338
   5,    0.282, 0.123066
   6,    0.282, 0.122931
   7,    0.304, 0.133705
   8,    0.304, 0.145308
   9,    0.304, 0.154276
  10,    0.304, 0.164682
  11,    0.304,  0.17964
  12,   0.3195, 0.188811
  13,   0.3195, 0.198429
  14,   0.3438, 0.210638
  15,   0.3456,  0.21463
  16,   0.3503, 0.222287
  17,   0.3506, 0.231958
  18,   0.3703, 0.248803
  19,   0.3703, 0.251685
  20,   0.3824, 0.261453
  21,   0.3824, 0.269673
  22,   0.3841, 0.278019
  23,   0.3928, 0.287555
  24,   0.4038, 0.292213
  25,   0.4125, 0.307332
  26,   0.4125, 0.312906
  27,   0.4315, 0.320485
  28,   0.4339, 0.326644
  29,    0.453, 0.331084
  30,    0.453, 0.340751
  31,     0.47, 0.355091
  32,     0.47, 0.358001
  33,   0.4779, 0.370871
  34,   0.4794, 0.381448
  35,   0.4908,  0.38449
  36,   0.4908, 0.398273
  37,   0.4991, 0.409821
  38,   0.5268, 0.417156
  39,   0.5268, 0.415103
  40,   0.5268, 0.426874
  41,   0.5268, 0.429975
  42,   0.5344,  0.43971
  43,   0.5368, 0.447237
  44,   0.5417, 0.449644
  45,    0.543, 0.459958
  46,   0.5476, 0.461002
  47,   0.5476,  0.46318
  48,   0.5619, 0.464237
  49,   0.5619, 0.469358
  50,   0.5619, 0.471045
  51,   0.5619,  0.47099
  52,   0.5619, 0.472792
  53,   0.5619, 0.479202
  54,   0.5651, 0.487424
  55,   0.5651, 0.489795
  56,   0.5665, 0.492983
  57,   0.5672, 0.500605
  58,   0.5672, 0.499809
  59,   0.5714, 0.504428
  60,   0.5714, 0.501509
  61,   0.5748, 0.504929
  62,   0.5748, 0.504198
  63,   0.5748, 0.510627
  64,   0.5812, 0.509561
  65,   0.5812, 0.505255
  66,   0.5812, 0.505721
  67,   0.5812, 0.513703
  68,   0.5827, 0.518571
  69,   0.5827, 0.515819
  70,    0.588,  0.51398
  71,    0.588, 0.521187
  72,   0.5957, 0.522591
  73,   0.5957, 0.522006
  74,   0.6052, 0.523179
  75,   0.6052, 0.524996
  76,   0.6101, 0.525619
  77,   0.6125, 0.526036
  78,   0.6147, 0.521563
  79,   0.6159, 0.532051
  80,   0.6184, 0.532485
  81,   0.6269, 0.540689
  82,   0.6269, 0.547198
  83,   0.6269, 0.545093
  84,   0.6297, 0.545972
  85,   0.6297, 0.547218
  86,   0.6299, 0.546645
  87,   0.6306, 0.552028
  88,   0.6306, 0.547947
  89,   0.6352, 0.557408
  90,   0.6377,  0.55923
  91,   0.6377,  0.56154
  92,   0.6404, 0.563713
  93,   0.6404, 0.559356
  94,   0.6404,  0.55987
  95,   0.6404, 0.560521
  96,   0.6404, 0.562855
  97,   0.6404, 0.556806
  98,   0.6407, 0.565288
  99,   0.6407, 0.564243
 100,   0.6407, 0.560933
 101,   0.6407, 0.561009
 102,    0.643, 0.564053
 103,    0.643, 0.565181
 104,    0.643, 0.563953
 105,    0.643,  0.56433
 106,   0.6447,  0.56901
 107,   0.6447, 0.569201
 108,   0.6447, 0.570238
 109,   0.6447, 0.568285
 110,   0.6458, 0.569206
 111,   0.6458, 0.568874
 112,   0.6483,   0.5699
 113,   0.6483, 0.571934
 114,   0.6483, 0.570777
 115,   0.6483, 0.572235
 116,    0.649, 0.570172
 117,    0.649, 0.566123
 118,    0.649, 0.579381
 119,   0.6492, 0.578076
 120,   0.6538, 0.579361
 121,   0.6538, 0.578978
 122,   0.6538, 0.572322
 123,   0.6538,  0.56864
 124,   0.6538, 0.574054
 125,   0.6551, 0.577752
 126,   0.6551, 0.580325
 127,   0.6551, 0.584968
 128,   0.6551, 0.583786
 129,   0.6552, 0.579274
 130,   0.6552, 0.581263
 131,   0.6554, 0.584623
 132,   0.6616, 0.586861
 133,   0.6616, 0.585583
 134,   0.6616, 0.581331
 135,   0.6661,  0.58273
 136,   0.6661, 0.586334
 137,   0.6661, 0.582967
 138,   0.6724, 0.586716
 139,   0.6724,   0.5835
 140,   0.6735, 0.583488
 141,   0.6817, 0.585618
 142,   0.6817, 0.591935
 143,   0.6817, 0.593371
 144,   0.6817, 0.589815
 145,   0.6817, 0.594166
 146,   0.6854, 0.588961
 147,   0.6854, 0.598148
 148,   0.6887, 0.597197
 149,   0.6902, 0.605787
 150,   0.6904, 0.608114
 151,   0.6926,  0.60362
 152,   0.6963,  0.60475
 153,   0.6963, 0.601639
 154,   0.6996, 0.602069
 155,   0.6996,  0.61146
 156,   0.6996, 0.613675
 157,   0.6996, 0.613684
 158,   0.6996, 0.613298
 159,   0.7035,  0.61235
 160,   0.7035, 0.618562
 161,   0.7035, 0.615493
 162,   0.7035, 0.623278
 163,   0.7035, 0.621352
 164,   0.7077, 0.623785
 165,   0.7077, 0.631406
 166,   0.7077,  0.62462
 167,   0.7083, 0.623531
 168,   0.7083, 0.629435
 169,   0.7118, 0.632697
 170,   0.7118,  0.62824
 171,   0.7118, 0.625524
 172,   0.7118, 0.630566
 173,   0.7118, 0.627769
 174,   0.7118, 0.625065
 175,   0.7118, 0.628674
 176,    0.712, 0.631546
 177,    0.712, 0.626831
 178,    0.712, 0.629318
 179,    0.712, 0.627367
 180,   0.7127, 0.631966
 181,   0.7135, 0.632481
 182,   0.7151, 0.631939
 183,   0.7151, 0.630573
 184,   0.7154, 0.637915
 185,   0.7154, 0.633385
 186,   0.7154, 0.630267
 187,   0.7154, 0.629926
 188,   0.7176, 0.630301
 189,   0.7176, 0.637853
 190,   0.7176, 0.631068
 191,   0.7176, 0.638999
 192,   0.7188, 0.637595
 193,   0.7188, 0.638563
 194,   0.7189, 0.632526
