gen, ranking_float_onepoint_best, ranking_float_onepoint_ave
   1,   0.2046, 0.102435
   2,   0.2046, 0.105638
   3,   0.2234, 0.120858
   4,   0.2379, 0.126533
   5,   0.2379,  0.13517
   6,   0.2603, 0.141095
   7,   0.2621, 0.150701
   8,   0.2868, 0.167167
   9,   0.3112, 0.174255
  10,   0.3112, 0.209054
  11,   0.3155, 0.229118
  12,   0.3322, 0.248173
  13,   0.3466, 0.267002
  14,   0.3546,  0.27892
  15,   0.3696, 0.288273
  16,   0.3782, 0.299283
  17,   0.3802, 0.307985
  18,   0.3943, 0.319603
  19,   0.3943, 0.331183
  20,   0.3954, 0.337296
  21,   0.3977, 0.343831
  22,   0.4079, 0.349933
  23,   0.4079, 0.356198
  24,   0.4146,  0.36008
  25,   0.4151, 0.366636
  26,   0.4235, 0.373679
  27,   0.4235, 0.374891
  28,   0.4289, 0.377845
  29,   0.4289, 0.374909
  30,   0.4315, 0.383202
  31,   0.4359,  0.38492
  32,   0.4377, 0.387478
  33,   0.4404, 0.389825
  34,   0.4428, 0.393813
  35,   0.4441, 0.396967
  36,   0.4454, 0.399008
  37,   0.4488, 0.401821
  38,   0.4488,   0.4013
  39,   0.4488, 0.402963
  40,   0.4488, 0.400887
  41,   0.4536, 0.404167
  42,   0.4536, 0.407562
  43,   0.4536, 0.408845
  44,    0.455, 0.410022
  45,    0.455,  0.40958
  46,    0.456, 0.411134
  47,    0.456, 0.413244
  48,    0.456, 0.413105
  49,   0.4575, 0.415441
  50,   0.4583, 0.417306
  51,    0.461, 0.416614
  52,    0.461, 0.413893
  53,   0.4613, 0.415402
  54,   0.4613, 0.419343
  55,   0.4614, 0.418263
  56,   0.4614, 0.421322
  57,   0.4614, 0.424574
  58,   0.4664, 0.419652
  59,   0.4664, 0.421205
  60,   0.4765, 0.421201
  61,   0.4765, 0.421943
  62,   0.4765, 0.420194
  63,   0.4802, 0.418291
  64,   0.4813, 0.424637
  65,    0.485, 0.427201
  66,   0.4881, 0.429879
  67,   0.4881, 0.427136
  68,   0.4949, 0.426944
  69,   0.4949, 0.429931
  70,   0.4949, 0.431544
  71,    0.496, 0.432407
  72,    0.504, 0.440368
  73,    0.504,  0.43946
  74,    0.504, 0.442618
  75,    0.504, 0.443642
  76,   0.5049, 0.446299
  77,   0.5059, 0.452043
  78,   0.5137, 0.453692
  79,   0.5137, 0.460237
  80,   0.5176, 0.455476
  81,   0.5176, 0.454811
  82,   0.5176, 0.457978
  83,   0.5184,  0.46077
  84,   0.5184, 0.461142
  85,   0.5184, 0.458843
  86,   0.5192, 0.462591
  87,   0.5192, 0.463255
  88,     0.52, 0.467321
  89,   0.5243, 0.469638
  90,   0.5243, 0.468019
  91,   0.5243, 0.464446
  92,   0.5243, 0.465613
  93,   0.5243, 0.463113
  94,   0.5243,  0.46343
  95,   0.5243, 0.463917
  96,   0.5246, 0.471559
  97,    0.526, 0.470564
  98,    0.526, 0.474427
  99,   0.5275, 0.474147
 100,   0.5291, 0.472631
 101,   0.5301, 0.476427
 102,   0.5319, 0.476037
 103,   0.5319, 0.473371
 104,   0.5327, 0.473794
 105,   0.5349, 0.472371
 106,   0.5364, 0.472147
 107,   0.5364, 0.473935
 108,   0.5364, 0.476083
 109,   0.5393, 0.479376
 110,   0.5393,  0.47519
 111,     0.54, 0.476857
 112,     0.54, 0.476113
 113,   0.5407, 0.478456
 114,    0.542, 0.479535
 115,   0.5439, 0.478085
 116,   0.5439,  0.48047
 117,   0.5439, 0.480306
