gen, ranking_float_twopoint_best, ranking_float_twopoint_ave
   1,   0.2046, 0.102435
   2,   0.2153, 0.105723
   3,   0.2432, 0.122533
   4,   0.2432,  0.13191
   5,   0.2523,   0.1475
   6,   0.2683, 0.157875
   7,   0.2772, 0.185925
   8,   0.2987, 0.191565
   9,   0.3012, 0.206661
  10,   0.3358, 0.211527
  11,   0.3358, 0.223427
  12,   0.3389, 0.236035
  13,   0.3527, 0.250204
  14,   0.3598, 0.271344
  15,   0.3598, 0.281996
  16,   0.3682, 0.294244
  17,   0.3828, 0.306722
  18,   0.3828, 0.317262
  19,   0.3886, 0.328179
  20,   0.3942, 0.333032
  21,   0.4012,  0.33947
  22,   0.4059, 0.344583
  23,   0.4059, 0.350858
  24,   0.4161,  0.35728
  25,   0.4173, 0.363939
  26,   0.4214, 0.366939
  27,   0.4214, 0.369288
  28,   0.4329,  0.37203
  29,   0.4329, 0.377039
  30,   0.4411, 0.383642
  31,   0.4411, 0.385317
  32,   0.4517, 0.392483
  33,   0.4572, 0.395539
  34,   0.4608, 0.400471
  35,   0.4788, 0.407505
  36,   0.4788, 0.409999
  37,     0.48, 0.416307
  38,    0.484, 0.418182
  39,   0.4843, 0.426907
  40,   0.4865, 0.427316
  41,   0.4876, 0.432117
  42,   0.4907, 0.440699
  43,   0.4971, 0.442897
  44,   0.4971, 0.442911
  45,   0.5013, 0.447017
  46,   0.5013, 0.447501
  47,   0.5027, 0.449706
  48,   0.5053, 0.446216
  49,   0.5053, 0.451489
  50,   0.5107, 0.450882
  51,   0.5107, 0.456377
  52,   0.5147, 0.453633
  53,   0.5147, 0.457292
  54,   0.5164, 0.463719
  55,   0.5164, 0.464203
  56,   0.5164, 0.460893
  57,   0.5169,  0.46672
  58,   0.5192,  0.46618
  59,   0.5192, 0.468396
  60,    0.523, 0.470127
  61,    0.523, 0.466833
  62,   0.5245,  0.46271
  63,   0.5245, 0.465052
  64,   0.5247, 0.466909
  65,   0.5279, 0.472723
  66,   0.5279, 0.475176
  67,   0.5279, 0.475786
  68,   0.5288, 0.472853
  69,   0.5323, 0.473614
  70,   0.5323, 0.473857
  71,   0.5323, 0.473393
  72,   0.5339,  0.47717
  73,   0.5339, 0.478143
  74,   0.5365, 0.476299
  75,   0.5369,  0.48134
  76,   0.5369, 0.481751
  77,   0.5417, 0.479971
  78,   0.5466, 0.480046
  79,   0.5466,  0.48234
  80,   0.5469, 0.482982
  81,   0.5496, 0.486022
  82,   0.5528, 0.492366
  83,   0.5528, 0.497375
  84,   0.5533, 0.499034
  85,   0.5533, 0.495215
  86,    0.556, 0.503673
  87,   0.5563,   0.5029
  88,   0.5573, 0.504803
  89,   0.5604, 0.502007
  90,   0.5604, 0.499334
  91,   0.5607,  0.50128
  92,   0.5644, 0.506206
  93,   0.5644, 0.506163
  94,   0.5644, 0.503687
  95,   0.5647, 0.513338
  96,   0.5647,  0.50845
  97,   0.5681, 0.507587
  98,   0.5684, 0.509027
  99,   0.5708, 0.509701
 100,   0.5708, 0.510722
 101,   0.5709, 0.508739
 102,   0.5716, 0.511394
 103,   0.5723, 0.512882
 104,   0.5725, 0.513884
 105,   0.5725, 0.512401
 106,   0.5795, 0.516676
 107,   0.5795, 0.517678
 108,   0.5812,  0.51829
 109,   0.5812, 0.519522
 110,   0.5812,  0.52063
 111,   0.5823, 0.523897
 112,   0.5834, 0.518692
 113,   0.5858, 0.523127
 114,   0.5858,  0.52748
 115,   0.5859, 0.526522
 116,   0.5875, 0.528585
 117,   0.5875, 0.526441
 118,   0.5899, 0.519818
 119,   0.5899, 0.521026
 120,   0.5902, 0.532058
 121,   0.5902,  0.52742
 122,   0.5906, 0.530566
 123,   0.5914, 0.536296
 124,   0.5954, 0.538105
 125,   0.5954, 0.534407
 126,   0.5954,  0.53379
 127,   0.5954, 0.533227
 128,   0.5962, 0.537557
 129,   0.5962, 0.535111
 130,   0.5973, 0.534836
 131,   0.5973, 0.532089
 132,   0.5973, 0.537658
 133,   0.5973, 0.539372
 134,   0.5973, 0.536866
 135,   0.5973,  0.53146
