gen, ranking_float_uniform_best, ranking_float_uniform_ave
   1,   0.2046, 0.102435
   2,   0.2046, 0.100462
   3,   0.2188, 0.111173
   4,   0.2283, 0.113176
   5,   0.2441, 0.120843
   6,   0.2477, 0.127129
   7,   0.2477, 0.132785
   8,   0.3124, 0.149967
   9,   0.3124, 0.160939
  10,   0.3219, 0.172024
  11,   0.3219, 0.186679
  12,   0.3398, 0.208715
  13,   0.3476, 0.237912
  14,   0.3482, 0.264795
  15,   0.3607, 0.276836
  16,   0.3661, 0.289055
  17,    0.376, 0.298516
  18,    0.376, 0.303027
  19,   0.3864, 0.309921
  20,   0.3877, 0.317529
  21,    0.394, 0.321833
  22,   0.4083, 0.327044
  23,     0.41, 0.338155
  24,   0.4283, 0.341862
  25,   0.4283, 0.350315
  26,   0.4288, 0.357223
  27,   0.4316, 0.355424
  28,    0.438,  0.36579
  29,    0.438, 0.371195
  30,   0.4443, 0.374716
  31,   0.4443, 0.376612
  32,   0.4517, 0.376922
  33,   0.4536,  0.38151
  34,   0.4536, 0.384444
  35,   0.4598, 0.384373
  36,   0.4623, 0.385164
  37,     0.49, 0.390083
  38,     0.49, 0.392978
  39,     0.49, 0.393443
  40,     0.49, 0.394765
  41,     0.49, 0.400703
  42,     0.49, 0.406285
  43,   0.4929, 0.410301
  44,   0.4982, 0.423036
  45,   0.5063,  0.43589
  46,   0.5063,  0.43733
  47,   0.5076, 0.445862
  48,   0.5113, 0.447917
  49,   0.5136, 0.452354
  50,   0.5309, 0.449584
  51,   0.5309, 0.455498
  52,   0.5393, 0.459664
  53,   0.5393, 0.462005
  54,   0.5452, 0.463751
  55,   0.5492, 0.470803
  56,   0.5492, 0.475116
  57,    0.558,  0.48307
  58,   0.5669, 0.488084
  59,   0.5669, 0.487796
  60,   0.5724, 0.485821
  61,   0.5724, 0.493453
  62,   0.5737, 0.501209
  63,   0.5795,  0.50499
  64,   0.5795, 0.504372
  65,   0.5795, 0.504563
  66,   0.5824,  0.50488
  67,   0.5824, 0.506923
  68,   0.5853, 0.507405
  69,   0.5855, 0.506008
  70,   0.5938, 0.505417
  71,   0.5974, 0.506923
  72,   0.5993,  0.51211
  73,   0.5993, 0.520092
  74,   0.6156, 0.520989
  75,   0.6156, 0.521089
  76,   0.6157, 0.525812
  77,   0.6157, 0.522424
  78,   0.6219, 0.533367
  79,   0.6219, 0.536244
  80,   0.6228, 0.538943
  81,   0.6228, 0.540271
  82,   0.6283, 0.543788
  83,   0.6283, 0.539782
  84,   0.6283, 0.544022
  85,   0.6333, 0.546526
  86,   0.6358, 0.549258
  87,   0.6358, 0.549612
  88,   0.6358,   0.5509
  89,   0.6358, 0.547849
  90,   0.6362, 0.546791
  91,   0.6362, 0.548818
  92,   0.6362, 0.551932
  93,   0.6369, 0.554942
  94,   0.6371, 0.553026
  95,   0.6371, 0.556193
  96,   0.6371, 0.555725
  97,   0.6387, 0.559291
  98,   0.6437, 0.557254
  99,   0.6469, 0.553182
 100,   0.6469, 0.553723
 101,   0.6469, 0.556706
 102,   0.6469, 0.557585
 103,    0.652, 0.561697
 104,    0.652, 0.564206
 105,    0.652, 0.563726
 106,    0.652, 0.565196
 107,    0.652, 0.557518
 108,    0.652, 0.556439
 109,   0.6535, 0.564354
 110,   0.6567, 0.565469
 111,   0.6567,    0.569
 112,   0.6567, 0.566872
 113,   0.6567,  0.57491
 114,   0.6571,  0.57678
 115,   0.6649, 0.581999
 116,   0.6653, 0.585609
 117,   0.6653, 0.586467
 118,   0.6681, 0.589622
 119,   0.6701, 0.590527
 120,   0.6701, 0.591612
 121,   0.6701,  0.59115
 122,   0.6701, 0.588912
 123,   0.6701, 0.589665
 124,   0.6701, 0.594506
 125,   0.6748, 0.588935
 126,   0.6748, 0.587996
 127,   0.6775, 0.591653
 128,   0.6775, 0.594564
 129,   0.6775, 0.600937
 130,   0.6775, 0.598656
 131,   0.6794, 0.600511
 132,   0.6794,  0.59609
 133,   0.6808, 0.604645
 134,   0.6816, 0.601265
 135,   0.6816, 0.604391
 136,   0.6834,  0.61056
 137,   0.6834, 0.611658
 138,   0.6869, 0.611315
 139,   0.6869, 0.611172
 140,   0.6869, 0.608479
 141,    0.691, 0.605136
 142,    0.691, 0.610624
 143,    0.691, 0.610252
 144,    0.691, 0.610483
 145,    0.691, 0.613313
 146,    0.691, 0.610499
 147,   0.6946,  0.61133
 148,   0.6946, 0.609441
 149,   0.6946, 0.611531
 150,   0.6946, 0.618597
 151,   0.6946, 0.617482
 152,   0.6962, 0.616633
 153,   0.6962, 0.613245
 154,   0.6962, 0.610586
 155,   0.6993, 0.613993
 156,   0.6993, 0.616892
 157,   0.7024, 0.611771
 158,   0.7024, 0.616607
 159,   0.7024, 0.622423
 160,   0.7024, 0.621029
 161,   0.7024, 0.621524
 162,   0.7047, 0.621804
 163,   0.7047, 0.622794
 164,   0.7047, 0.623387
 165,   0.7047, 0.621217
 166,   0.7078, 0.619454
 167,   0.7078, 0.625391
 168,   0.7078, 0.624779
 169,   0.7078, 0.624995
 170,   0.7078, 0.627508
 171,   0.7078, 0.633907
 172,   0.7078, 0.629383
 173,   0.7078, 0.630674
 174,   0.7109, 0.631229
 175,   0.7109, 0.627589
 176,   0.7109, 0.628504
 177,   0.7109,  0.62665
 178,   0.7109, 0.627856
 179,   0.7109, 0.628992
 180,   0.7111, 0.631037
 181,   0.7111, 0.627277
 182,   0.7119, 0.631642
 183,   0.7119, 0.629007
 184,   0.7119, 0.632576
 185,   0.7119, 0.635095
 186,   0.7119, 0.639312
 187,   0.7119, 0.637261
 188,   0.7124, 0.641689
 189,   0.7148, 0.632803
 190,   0.7148, 0.632515
 191,   0.7148, 0.635773
 192,   0.7178, 0.644075
 193,   0.7178, 0.640359
 194,   0.7178, 0.640693
 195,   0.7178, 0.637775
 196,   0.7178, 0.639163
 197,   0.7178,  0.63952
 198,   0.7178, 0.639143
 199,   0.7178, 0.644495
 200,   0.7178,  0.64285
 201,   0.7201, 0.638351
 202,   0.7201, 0.640547
 203,   0.7201, 0.640766
 204,   0.7215, 0.640348
 205,   0.7215, 0.640408
 206,   0.7238, 0.637895
 207,   0.7238,  0.64124
 208,   0.7273, 0.642639
 209,   0.7273, 0.642445
 210,   0.7273, 0.645435
 211,   0.7273,  0.64422
 212,   0.7273, 0.645724
 213,   0.7273, 0.648432
 214,   0.7273, 0.645616
 215,   0.7273, 0.649915
 216,   0.7273, 0.645841
 217,   0.7273, 0.649077
 218,   0.7277, 0.646129
 219,   0.7277, 0.648435
 220,   0.7277, 0.648178
 221,   0.7277, 0.652145
 222,   0.7277, 0.653338
 223,   0.7294, 0.645712
 224,   0.7294, 0.655481
 225,   0.7294,  0.65524
 226,   0.7294, 0.654206
 227,   0.7305,    0.655
 228,   0.7305, 0.654442
 229,   0.7307, 0.654847
 230,   0.7307, 0.647922
 231,   0.7307, 0.650851
 232,   0.7307, 0.649166
 233,   0.7307, 0.649243
 234,   0.7307, 0.655997
 235,   0.7307, 0.652665
 236,   0.7307, 0.655143
 237,   0.7339, 0.657431
 238,   0.7339, 0.658162
 239,   0.7339,  0.65453
 240,   0.7339, 0.656369
 241,   0.7339, 0.653711
 242,   0.7339, 0.649337
 243,   0.7339, 0.655227
 244,   0.7339, 0.652512
 245,   0.7339, 0.652837
 246,   0.7339, 0.655801
 247,   0.7339, 0.657534
 248,   0.7339, 0.651708
 249,   0.7339, 0.652858
 250,   0.7339, 0.652173
 251,   0.7339, 0.657192
 252,   0.7339, 0.660099
 253,   0.7339,  0.65371
 254,   0.7339, 0.655258
 255,   0.7356, 0.653082
 256,   0.7356, 0.658536
 257,   0.7356, 0.653067
 258,   0.7356, 0.652556
 259,   0.7356, 0.653766
 260,   0.7356, 0.654208
 261,   0.7356, 0.654024
 262,   0.7356, 0.657081
 263,   0.7356, 0.656542
 264,   0.7356, 0.660919
 265,   0.7356,  0.65637
 266,   0.7362, 0.651509
 267,   0.7362, 0.654241
 268,   0.7362, 0.651813
 269,   0.7372, 0.652915
 270,   0.7372, 0.653322
 271,   0.7372, 0.652326
 272,   0.7372, 0.657144
 273,   0.7372, 0.657411
 274,   0.7372, 0.653958
 275,   0.7372, 0.653802
 276,   0.7372,  0.65379
 277,   0.7372,  0.65243
 278,   0.7376, 0.642344
 279,   0.7376, 0.647451
 280,    0.738, 0.648495
 281,    0.738,   0.6505
 282,    0.738, 0.648919
 283,    0.738, 0.655535
 284,    0.738, 0.655531
 285,    0.738, 0.657965
 286,   0.7388,  0.65567
 287,   0.7388, 0.653086
 288,   0.7388, 0.658957
 289,   0.7388, 0.652012
 290,   0.7388, 0.653194
 291,   0.7388, 0.651197
 292,   0.7388, 0.655419
 293,   0.7388, 0.655974
 294,   0.7388, 0.653518
 295,   0.7388, 0.648741
 296,   0.7388, 0.650273
 297,   0.7394, 0.655781
 298,   0.7394, 0.653485
 299,   0.7394, 0.658592
 300,   0.7394, 0.659887
 301,   0.7399, 0.660801
 302,   0.7399, 0.658622
 303,   0.7399,  0.65751
 304,   0.7399, 0.660026
 305,   0.7399, 0.660125
 306,   0.7399, 0.657275
 307,   0.7399,  0.65452
 308,   0.7399, 0.658423
 309,   0.7399, 0.657907
 310,   0.7408, 0.655933
 311,   0.7408, 0.661802
 312,   0.7408, 0.660819
 313,   0.7408, 0.660786
 314,   0.7408, 0.657776
 315,   0.7408, 0.656681
 316,   0.7408, 0.654742
 317,   0.7408, 0.650338
 318,   0.7408, 0.652632
 319,   0.7408, 0.655214
 320,   0.7408, 0.656706
 321,   0.7408, 0.656174
 322,   0.7408,  0.66191
 323,   0.7408, 0.654887
 324,   0.7408, 0.656392
 325,   0.7408, 0.652112
 326,   0.7408, 0.656805
 327,   0.7408,  0.66419
 328,   0.7408, 0.660399
 329,   0.7408, 0.657448
 330,   0.7408, 0.657575
 331,   0.7408, 0.657601
 332,   0.7408, 0.656452
 333,   0.7409, 0.657963
 334,   0.7409, 0.657843
 335,   0.7409, 0.659814
 336,   0.7409, 0.658728
 337,   0.7409, 0.661089
 338,   0.7409, 0.662424
 339,   0.7409, 0.653553
 340,   0.7409, 0.661535
 341,   0.7409, 0.656208
 342,   0.7425, 0.664905
 343,   0.7425, 0.656663
 344,   0.7425, 0.655972
 345,   0.7425, 0.650557
 346,   0.7425, 0.651247
 347,   0.7425, 0.659079
 348,   0.7425, 0.655854
 349,   0.7425, 0.661269
 350,   0.7425, 0.660599
 351,   0.7425, 0.657009
 352,   0.7425, 0.658595
 353,    0.745, 0.658111
 354,    0.745, 0.651607
 355,    0.745, 0.661805
 356,    0.745, 0.659122
 357,    0.745, 0.657474
 358,    0.745, 0.653709
 359,    0.745, 0.657921
 360,    0.745, 0.654811
 361,    0.745, 0.659758
 362,    0.745, 0.656466
 363,    0.745, 0.655243
 364,    0.745,  0.66007
 365,    0.745, 0.654645
 366,    0.745, 0.659084
 367,    0.745, 0.662967
 368,    0.745, 0.656933
 369,    0.745, 0.658566
 370,    0.745, 0.661385
 371,    0.745, 0.663542
 372,    0.745,  0.66129
 373,    0.745, 0.659544
 374,    0.745, 0.661174
 375,    0.745, 0.660695
 376,    0.745, 0.658301
 377,   0.7463, 0.660757
 378,   0.7463, 0.658067
 379,   0.7463, 0.656668
 380,   0.7463, 0.654848
 381,   0.7463, 0.653362
 382,   0.7475, 0.656736
 383,   0.7475, 0.661925
 384,   0.7475, 0.660552
 385,   0.7475,  0.65975
 386,   0.7475, 0.656333
 387,   0.7479, 0.653717
 388,   0.7481, 0.659477
 389,   0.7481, 0.661536
