accuracy,sparse
  0.8242, 0.619868
  0.8241, 0.619205
  0.8252, 0.617881
  0.8282,  0.61457
  0.8248, 0.617881
  0.8228, 0.619868
  0.8253, 0.617219
  0.8252, 0.617219
  0.8265, 0.615894
  0.8264, 0.615894
  0.8277,  0.61457
  0.8242, 0.617881
  0.8222, 0.619868
  0.8255, 0.616556
  0.8241, 0.617881
  0.8247, 0.617219
   0.826, 0.615894
   0.824, 0.617881
  0.8273,  0.61457
  0.8253, 0.616556
  0.8239, 0.617881
  0.8236,  0.61457
  0.8142, 0.616556
  0.8181, 0.612583
  0.8174, 0.613245
  0.8164, 0.613907
  0.8084, 0.621854
  0.8131, 0.616556
  0.8168, 0.612583
  0.8128, 0.616556
  0.8132, 0.615894
  0.8122, 0.616556
  0.8168, 0.611921
  0.8144, 0.612583
  0.8105, 0.615894
  0.8117,  0.61457
  0.8097, 0.615894
  0.8142, 0.610596
  0.8093, 0.615232
  0.8069, 0.615894
  0.8082,  0.61457
  0.8072,  0.61457
  0.8051, 0.616556
   0.803, 0.618543
  0.8068, 0.613907
  0.8084, 0.611921
  0.8057,  0.61457
   0.805, 0.615232
  0.8052,  0.61457
  0.8091, 0.610596
   0.805,  0.61457
  0.7996, 0.619868
  0.8066, 0.611921
  0.8016, 0.616556
  0.8029, 0.615232
  0.8022, 0.615894
  0.8067, 0.611258
  0.8042, 0.613245
  0.8036, 0.613245
  0.8041, 0.612583
  0.7998, 0.615232
  0.7963, 0.618543
  0.8013, 0.613245
   0.801, 0.613245
  0.7983, 0.615894
  0.7956, 0.617881
  0.7971, 0.615232
  0.8054, 0.606623
  0.7943, 0.617219
  0.8002, 0.611258
  0.7931, 0.617881
  0.7978, 0.611921
  0.7997, 0.609934
  0.7974, 0.611258
   0.795, 0.613245
  0.7942, 0.613907
  0.7902, 0.617881
  0.7927, 0.615232
  0.7899, 0.617881
  0.7961, 0.611258
    0.79, 0.615894
  0.7918, 0.613907
  0.7883, 0.617219
   0.793, 0.611921
  0.7897,  0.61457
  0.7949, 0.609272
  0.7874, 0.616556
  0.7936, 0.609934
  0.7875, 0.615232
  0.7878,  0.61457
  0.7903, 0.611258
  0.7861,  0.61457
  0.7846, 0.615232
   0.788, 0.611258
  0.7871, 0.611921
  0.7919, 0.606623
  0.7846, 0.613907
  0.7839, 0.613245
  0.7839, 0.613245
  0.7783, 0.617219
  0.7828, 0.612583
  0.7867, 0.607947
   0.779, 0.615232
  0.7862, 0.607285
  0.7768, 0.616556
  0.7847, 0.608609
  0.7838, 0.609272
  0.7835, 0.609272
  0.7767, 0.615894
  0.7799, 0.612583
  0.7761, 0.615894
  0.7797, 0.611258
  0.7712, 0.619205
  0.7764, 0.613907
  0.7759, 0.613907
   0.775,  0.61457
  0.7754, 0.613907
  0.7734, 0.615232
  0.7761, 0.611921
  0.7707, 0.616556
  0.7713, 0.615894
  0.7776, 0.608609
  0.7655,  0.62053
  0.7693, 0.616556
   0.775, 0.610596
  0.7714, 0.613245
  0.7699,  0.61457
  0.7736, 0.610596
  0.7696,  0.61457
  0.7674, 0.616556
  0.7715, 0.611921
  0.7728, 0.609934
  0.7692, 0.613245
  0.7671, 0.615232
  0.7664, 0.615894
  0.7725, 0.609272
  0.7583, 0.623179
  0.7646, 0.616556
  0.7665, 0.611921
  0.7583, 0.619205
  0.7622, 0.615232
  0.7621, 0.615232
  0.7629, 0.613907
  0.7651, 0.611258
   0.759, 0.617219
  0.7593, 0.616556
   0.759, 0.616556
  0.7582, 0.617219
  0.7652, 0.609934
    0.76,  0.61457
  0.7567, 0.617219
  0.7619, 0.611921
  0.7588, 0.613245
  0.7586, 0.611921
  0.7519, 0.618543
  0.7577, 0.612583
  0.7569, 0.613245
  0.7509, 0.619205
  0.7615, 0.607947
  0.7576, 0.610596
  0.7542, 0.613245
  0.7609,  0.60596
  0.7534, 0.613245
  0.7553, 0.609934
  0.7485, 0.616556
  0.7502, 0.613245
  0.7518, 0.611258
   0.747, 0.615894
  0.7462, 0.616556
  0.7479, 0.613907
  0.7465, 0.615232
   0.749, 0.611921
  0.7481, 0.612583
  0.7514, 0.609272
  0.7512, 0.609272
  0.7463, 0.613907
  0.7501, 0.609934
  0.7429, 0.616556
  0.7448,  0.61457
  0.7451, 0.613907
  0.7484, 0.610596
  0.7495, 0.609272
  0.7494, 0.609272
  0.7467, 0.611258
  0.7469, 0.610596
  0.7429,  0.61457
  0.7434, 0.613245
    0.74, 0.616556
  0.7458, 0.610596
  0.7409, 0.613907
  0.7395, 0.615232
  0.7461, 0.607947
   0.742, 0.611921
  0.7371, 0.615232
  0.7343, 0.617881
    0.74, 0.611258
  0.7335, 0.617219
  0.7377, 0.612583
  0.7317, 0.618543
  0.7363, 0.613907
  0.7302, 0.619868
  0.7314, 0.617219
  0.7361, 0.611921
  0.7357, 0.611921
  0.7328,  0.61457
  0.7358, 0.611258
  0.7357, 0.611258
  0.7339, 0.612583
  0.7305, 0.615894
  0.7334, 0.611921
  0.7324, 0.612583
   0.726, 0.617219
  0.7255, 0.617219
  0.7283, 0.613907
  0.7265, 0.615232
  0.7331, 0.607947
  0.7388, 0.601987
  0.7267, 0.613907
  0.7214, 0.619205
  0.7204, 0.619868
  0.7249, 0.615232
  0.7246, 0.613907
  0.7206, 0.617881
  0.7244, 0.613907
  0.7276, 0.609934
  0.7295, 0.607947
  0.7272, 0.609934
  0.7229, 0.613245
  0.7208, 0.615232
  0.7212, 0.613245
  0.7282, 0.604636
   0.716, 0.616556
  0.7235, 0.608609
  0.7218, 0.609934
  0.7215, 0.609934
   0.724, 0.607285
  0.7299, 0.601324
  0.7164,  0.61457
  0.7162,  0.61457
  0.7157,  0.61457
  0.7233, 0.606623
  0.7193, 0.609272
  0.7172, 0.611258
  0.7123, 0.615894
  0.7201, 0.607285
  0.7133, 0.612583
  0.7197,  0.60596
  0.7177, 0.607947
  0.7105,  0.61457
  0.7113, 0.612583
  0.7059, 0.615894
  0.7038, 0.615232
  0.7084, 0.610596
  0.7033, 0.615232
  0.7049, 0.611921
  0.7054, 0.611258
  0.7056, 0.609934
  0.7041, 0.611258
  0.7086, 0.606623
  0.7038, 0.611258
  0.6985, 0.615894
  0.7019, 0.611921
  0.7013, 0.611921
   0.698,  0.61457
  0.6941, 0.616556
  0.6904, 0.619868
  0.6941, 0.615894
  0.6927, 0.617219
  0.6981, 0.611258
  0.6927, 0.616556
  0.6943,  0.61457
  0.6899, 0.618543
  0.6994, 0.608609
   0.699, 0.608609
  0.6975, 0.609934
  0.6919, 0.613907
  0.6922, 0.613245
  0.6882, 0.617219
  0.6902,  0.61457
  0.6884, 0.615894
  0.6922, 0.611258
  0.6918, 0.611258
  0.6895, 0.613245
  0.6868, 0.615894
  0.6894, 0.613245
  0.6887, 0.613907
  0.6895, 0.612583
  0.6916, 0.609934
  0.6891, 0.611921
  0.6853,  0.61457
  0.6874, 0.611921
  0.6875, 0.611258
  0.6839,  0.61457
  0.6859, 0.611921
  0.6855, 0.611921
  0.6878, 0.609272
  0.6796, 0.617219
  0.6859, 0.610596
  0.6769, 0.617881
  0.6812, 0.612583
   0.684, 0.609272
  0.6857, 0.606623
  0.6815, 0.610596
  0.6808, 0.611258
  0.6762, 0.613907
  0.6774, 0.612583
  0.6864, 0.603311
  0.6769, 0.611258
  0.6645, 0.617881
  0.6691, 0.613245
  0.6704, 0.611258
  0.6755,  0.60596
  0.6687, 0.611921
  0.6665, 0.613245
  0.6645, 0.615232
  0.6766, 0.601324
  0.6626, 0.615232
  0.6714,  0.60596
  0.6629, 0.613907
  0.6667, 0.609934
  0.6636, 0.612583
  0.6636, 0.611258
  0.6595, 0.613907
  0.6608, 0.612583
  0.6613, 0.610596
  0.6557, 0.611921
   0.654, 0.612583
  0.6578, 0.607285
  0.6617, 0.601987
  0.6532, 0.609272
  0.6522, 0.609272
  0.6474, 0.613907
  0.6479, 0.609934
  0.6433, 0.613245
  0.6377, 0.616556
  0.6435, 0.607285
  0.6375, 0.612583
  0.6343,  0.61457
  0.6385, 0.609934
  0.6403, 0.607285
  0.6325, 0.610596
  0.6276, 0.615232
  0.6287, 0.613907
  0.6254, 0.616556
   0.627,  0.61457
  0.6287, 0.612583
  0.6296, 0.610596
  0.6264, 0.613245
  0.6246, 0.613245
  0.6257, 0.611258
  0.6261, 0.606623
  0.6164, 0.612583
  0.6185, 0.609934
  0.6006, 0.619868
  0.6114, 0.607285
  0.5947, 0.617219
  0.5934,  0.61457
  0.5891, 0.611921
  0.5931, 0.604636
   0.585, 0.611258
  0.5825, 0.613245
  0.5787, 0.615232
   0.582, 0.608609
  0.5826, 0.607285
  0.5692,  0.61457
  0.5795, 0.603974
  0.5648, 0.611258
  0.5727, 0.603311
  0.5692, 0.604636
  0.5591, 0.613907
  0.5594, 0.611921
  0.5551, 0.612583
  0.5551, 0.611258
  0.5429,  0.61457
  0.5443, 0.611921
  0.5485, 0.604636
  0.5382, 0.613907
  0.5323, 0.616556
  0.5456,      0.6
  0.5367, 0.607285
  0.5406, 0.599338
  0.5143, 0.617219
  0.5217, 0.607947
   0.512, 0.613245
  0.5164,  0.60596
  0.5025, 0.612583
  0.5063, 0.606623
  0.4953,  0.61457
  0.4873, 0.603974
   0.477, 0.610596
  0.4658, 0.613245
  0.4658, 0.608609
  0.4706, 0.601987
  0.4561, 0.615232
  0.4621, 0.605298
  0.4427, 0.611921
  0.4041, 0.604636
  0.3458,  0.61457
  0.3424, 0.611921
   0.336, 0.603974
