gen, ranking_scalar_uniform_best, ranking_scalar_uniform_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.105594
   3,    0.248, 0.107985
   4,    0.248, 0.111764
   5,   0.2411, 0.117069
   6,   0.2411, 0.118846
   7,   0.2535, 0.121973
   8,   0.2535,  0.12455
   9,   0.2535, 0.126192
  10,   0.2535, 0.122299
  11,   0.2535, 0.130101
  12,   0.2882, 0.135622
  13,   0.2882, 0.141824
  14,   0.2882, 0.146817
  15,      0.3, 0.156168
  16,   0.3497, 0.173826
  17,   0.3497, 0.187451
  18,   0.3629, 0.219126
  19,   0.3629, 0.231927
  20,   0.3629, 0.240444
  21,   0.3786, 0.249284
  22,      0.4, 0.266607
  23,      0.4, 0.281664
  24,   0.4246, 0.297641
  25,   0.4343, 0.315831
  26,   0.4343, 0.327994
  27,   0.4343, 0.336113
  28,   0.4332, 0.345557
  29,   0.4332, 0.339981
  30,   0.4538, 0.349684
  31,   0.4533, 0.352176
  32,    0.474, 0.354365
  33,    0.474, 0.350374
  34,   0.4871, 0.368549
  35,   0.4871, 0.364597
  36,   0.4945, 0.366998
  37,   0.4934, 0.380355
  38,   0.4944, 0.390789
  39,    0.492, 0.393491
  40,   0.5103, 0.398445
  41,     0.52, 0.399684
  42,     0.52, 0.407488
  43,   0.5337, 0.411222
  44,   0.5337, 0.413196
  45,   0.5337, 0.421148
  46,   0.5337, 0.430235
  47,   0.5405, 0.429441
  48,   0.5535, 0.435737
  49,   0.5535, 0.436966
  50,   0.5593, 0.447664
  51,   0.5593, 0.452223
  52,   0.5729, 0.463933
  53,   0.5729, 0.469985
  54,   0.5788, 0.479162
  55,   0.5875, 0.484868
  56,   0.5875, 0.493221
  57,   0.5889, 0.497972
  58,    0.591, 0.500731
  59,   0.5869, 0.500736
  60,   0.6021, 0.499956
  61,   0.5995,  0.50638
  62,   0.5995, 0.512559
  63,   0.6025, 0.515423
  64,   0.6025, 0.513802
  65,   0.6092, 0.515778
  66,   0.6092, 0.516867
  67,   0.6138, 0.517114
  68,   0.6138, 0.518253
  69,    0.615, 0.517982
  70,    0.621, 0.524436
  71,    0.621, 0.525621
  72,    0.621, 0.531669
  73,    0.621,  0.53929
  74,    0.621, 0.543477
  75,   0.6231,  0.54653
  76,   0.6231, 0.539818
  77,   0.6225, 0.544081
  78,   0.6196, 0.541221
  79,   0.6274, 0.548729
  80,   0.6252, 0.546714
  81,   0.6252, 0.546193
  82,   0.6313, 0.553745
  83,   0.6313, 0.554043
  84,   0.6293,  0.54913
  85,   0.6293, 0.548644
  86,   0.6291, 0.550934
  87,   0.6291, 0.554511
  88,   0.6313, 0.551377
  89,   0.6372,  0.55734
  90,   0.6372, 0.549793
  91,   0.6389, 0.546838
  92,   0.6389, 0.549155
  93,   0.6389,  0.55105
  94,   0.6391, 0.556111
  95,    0.629, 0.556417
  96,   0.6474,  0.55816
  97,   0.6382, 0.552608
  98,   0.6328, 0.563488
  99,   0.6328, 0.556404
 100,   0.6434, 0.560652
 101,   0.6429, 0.560077
 102,   0.6429, 0.551799
 103,   0.6502, 0.552177
 104,   0.6502, 0.554898
 105,   0.6502, 0.554121
 106,   0.6502, 0.564324
 107,   0.6531, 0.564666
 108,   0.6523, 0.568135
 109,   0.6556, 0.563416
 110,   0.6615, 0.558718
 111,   0.6615, 0.560852
 112,   0.6649, 0.565824
 113,   0.6649, 0.572788
 114,   0.6649, 0.570662
 115,   0.6649, 0.571554
 116,   0.6697, 0.560039
 117,   0.6697, 0.557831
 118,   0.6697, 0.567491
 119,   0.6697, 0.564637
 120,   0.6697,  0.56348
 121,   0.6754, 0.579117
 122,   0.6754, 0.569648
 123,   0.6754,  0.56683
 124,   0.6784, 0.572597
 125,   0.6784, 0.579566
 126,   0.6807, 0.583523
 127,   0.6807, 0.585899
 128,   0.6771,  0.57839
 129,   0.6771,  0.58037
 130,   0.6771, 0.582416
 131,   0.6771, 0.584499
 132,   0.6803, 0.588266
 133,   0.6837, 0.577836
 134,   0.6837, 0.583552
 135,   0.6837,  0.58518
 136,    0.678, 0.591134
 137,   0.6884, 0.590445
 138,   0.6884, 0.585849
 139,   0.6884, 0.588498
 140,   0.6884, 0.589773
 141,   0.6884, 0.589001
 142,   0.6884, 0.598534
 143,   0.6917, 0.596236
 144,   0.6917, 0.603756
 145,   0.6917, 0.600507
 146,   0.6865, 0.591433
 147,   0.6918, 0.595466
 148,   0.6877, 0.596181
 149,   0.6877, 0.597978
 150,   0.6867, 0.602284
 151,   0.6867, 0.602307
 152,   0.6894,  0.60423
 153,   0.6894, 0.599859
 154,   0.6934, 0.597692
 155,   0.6931, 0.605124
 156,   0.6931, 0.601255
 157,   0.6944, 0.600003
 158,   0.6944, 0.603955
 159,   0.6944, 0.606745
 160,   0.6922, 0.609055
 161,   0.6922, 0.605514
 162,   0.6972, 0.606599
 163,   0.7001, 0.607198
 164,   0.7001, 0.612652
 165,   0.7001, 0.612119
 166,   0.6973, 0.612931
 167,   0.6979, 0.617121
 168,   0.6994, 0.610931
 169,   0.6971, 0.617567
 170,   0.7012, 0.613884
 171,   0.7012, 0.615682
 172,   0.7038, 0.611569
 173,   0.7038, 0.610379
 174,   0.7041, 0.611828
 175,   0.6997, 0.609469
 176,   0.7081, 0.615134
 177,   0.7081, 0.617834
 178,   0.7043, 0.616665
 179,   0.7043, 0.612518
 180,   0.7043, 0.609155
 181,   0.7055, 0.603691
 182,   0.7055, 0.604423
 183,   0.7055,  0.61536
 184,   0.7055, 0.617881
 185,   0.7055, 0.615363
 186,   0.7055, 0.616305
 187,   0.7055, 0.608949
 188,   0.7055, 0.614879
 189,   0.7055, 0.611119
 190,   0.7055,  0.60903
 191,   0.7055, 0.611748
 192,   0.7055, 0.613007
 193,   0.7055, 0.618075
 194,   0.7055, 0.607951
 195,   0.7046, 0.615381
 196,   0.7061, 0.614484
 197,   0.7077, 0.621474
 198,   0.7077, 0.620408
 199,   0.7077, 0.621468
 200,   0.7077, 0.612459
 201,   0.7077,  0.61806
 202,   0.7077, 0.621986
 203,   0.7077, 0.612309
 204,   0.7047, 0.620335
 205,   0.7047,   0.6133
 206,   0.7047, 0.614159
 207,   0.7092, 0.623627
 208,   0.7092, 0.619429
 209,   0.7092, 0.624344
 210,   0.7092, 0.618645
 211,   0.7092, 0.612032
 212,   0.7072, 0.622649
 213,   0.7082,   0.6157
 214,   0.7052, 0.617237
 215,   0.7052, 0.622077
 216,   0.7052,  0.61732
 217,   0.7077, 0.621901
 218,   0.7072, 0.619003
 219,   0.7072, 0.613016
 220,   0.7061, 0.620741
 221,   0.7061, 0.616775
 222,   0.7066, 0.612281
 223,   0.7077, 0.606332
 224,   0.7077, 0.613673
 225,   0.7077, 0.622162
 226,   0.7098, 0.617418
 227,   0.7098, 0.610857
 228,   0.7098, 0.615813
 229,   0.7098, 0.609252
 230,   0.7084, 0.611485
 231,   0.7084, 0.610703
 232,   0.7084, 0.614927
 233,   0.7119, 0.619085
 234,   0.7119, 0.622259
 235,   0.7119, 0.613692
 236,   0.7119, 0.609228
 237,   0.7116, 0.621897
 238,   0.7116,  0.61659
 239,   0.7125,  0.61241
 240,   0.7125, 0.619039
 241,   0.7125, 0.616772
 242,   0.7125, 0.612995
 243,   0.7125, 0.615405
 244,   0.7125, 0.619294
 245,   0.7125, 0.619541
 246,   0.7122, 0.615749
 247,   0.7122, 0.623882
 248,   0.7122, 0.621517
 249,   0.7105, 0.623591
 250,   0.7105, 0.617239
 251,   0.7105, 0.608428
 252,   0.7105, 0.617832
 253,   0.7105, 0.622008
 254,   0.7105, 0.619786
 255,   0.7105, 0.617205
 256,   0.7105,  0.61364
 257,   0.7106, 0.609167
 258,   0.7106, 0.619036
 259,   0.7106, 0.622107
 260,   0.7106, 0.611035
 261,   0.7106, 0.611023
 262,   0.7106, 0.617757
 263,   0.7106, 0.610684
 264,   0.7136, 0.616036
 265,   0.7136, 0.617914
 266,    0.711, 0.619467
 267,    0.711,  0.62543
 268,    0.711, 0.615083
 269,   0.7162, 0.607651
 270,   0.7162, 0.621053
 271,   0.7162, 0.622235
 272,   0.7162, 0.616247
 273,   0.7136, 0.614372
 274,   0.7136, 0.614208
 275,   0.7136, 0.619852
 276,   0.7136, 0.621594
 277,   0.7136, 0.620733
 278,   0.7136, 0.618657
 279,   0.7136, 0.617738
 280,   0.7136, 0.613753
 281,   0.7136, 0.622138
 282,   0.7136, 0.622146
 283,   0.7136, 0.619041
 284,   0.7151, 0.621756
 285,   0.7151, 0.624851
 286,   0.7151, 0.617595
 287,   0.7151, 0.625934
 288,   0.7151, 0.621475
 289,   0.7151, 0.621048
 290,   0.7151, 0.631199
 291,   0.7151, 0.618929
 292,   0.7151, 0.614188
 293,   0.7151, 0.612597
 294,   0.7133, 0.618803
 295,   0.7133, 0.630045
 296,   0.7133,  0.62648
 297,   0.7133, 0.631021
 298,   0.7133, 0.629201
 299,   0.7133, 0.628789
 300,   0.7133, 0.624825
 301,   0.7133,  0.61242
 302,   0.7133, 0.615005
 303,   0.7133,  0.61693
 304,   0.7153, 0.617709
 305,   0.7153, 0.615632
 306,   0.7153, 0.616858
 307,   0.7153, 0.615343
 308,   0.7153, 0.616806
