accuracy,sparse
  0.7896, 0.734437
  0.7907, 0.733113
   0.787, 0.736424
  0.7894, 0.733775
  0.7925, 0.730464
  0.7888, 0.733775
  0.7871, 0.735099
  0.7904, 0.731788
  0.7902, 0.731788
  0.7901, 0.731788
  0.7874, 0.734437
  0.7907, 0.731126
  0.7892,  0.73245
  0.7865, 0.735099
  0.7891,  0.73245
  0.7916, 0.729801
  0.7929, 0.728477
  0.7892, 0.731788
  0.7892, 0.731788
  0.7931, 0.727815
  0.7885, 0.730464
   0.789, 0.729801
   0.785, 0.731126
  0.7872, 0.727815
  0.7767, 0.737748
  0.7845, 0.729801
  0.7821, 0.729801
  0.7833, 0.728477
  0.7765, 0.731788
  0.7747, 0.733113
  0.7775, 0.729801
  0.7734, 0.733775
  0.7799, 0.727152
   0.777, 0.729801
  0.7776, 0.729139
  0.7782, 0.728477
  0.7775, 0.727152
  0.7785, 0.725166
  0.7726, 0.729801
  0.7729, 0.729139
  0.7714, 0.727152
  0.7746, 0.723841
  0.7726, 0.725828
  0.7748, 0.723179
  0.7686, 0.728477
  0.7709, 0.725828
  0.7754, 0.721192
  0.7667, 0.729801
  0.7706, 0.725166
  0.7656, 0.728477
   0.761,  0.73245
  0.7643, 0.729139
  0.7674, 0.725828
  0.7605,  0.73245
  0.7656, 0.727152
  0.7687, 0.723841
   0.764, 0.727815
   0.764, 0.727815
  0.7636, 0.727815
   0.761, 0.729801
  0.7556, 0.733775
  0.7571, 0.731788
  0.7656, 0.723179
  0.7582, 0.729139
  0.7586, 0.728477
  0.7586, 0.728477
  0.7599, 0.727152
  0.7558, 0.731126
  0.7637, 0.723179
  0.7595, 0.727152
  0.7568, 0.729801
  0.7543, 0.731788
  0.7575, 0.728477
  0.7597, 0.725166
  0.7562, 0.728477
  0.7616, 0.721192
  0.7588, 0.721854
  0.7541,  0.72649
  0.7525, 0.727152
  0.7498, 0.729139
  0.7523,  0.72649
  0.7527, 0.725828
  0.7519,  0.72649
  0.7486, 0.729139
  0.7484, 0.728477
  0.7532, 0.723179
  0.7464, 0.729801
  0.7426, 0.731126
  0.7458, 0.727815
   0.746, 0.727152
  0.7456, 0.727152
  0.7444,  0.72649
   0.744,  0.72649
  0.7433, 0.727152
  0.7391, 0.729139
  0.7387, 0.729139
  0.7404, 0.727152
  0.7403, 0.727152
  0.7416, 0.725828
  0.7374, 0.727815
  0.7357, 0.729139
  0.7344, 0.729801
  0.7323, 0.731788
  0.7402, 0.723841
  0.7368,  0.72649
  0.7367,  0.72649
  0.7373, 0.725166
  0.7337, 0.728477
  0.7316, 0.730464
  0.7359, 0.725828
  0.7338,  0.72649
  0.7335,  0.72649
  0.7305, 0.728477
  0.7304, 0.728477
  0.7364, 0.721854
  0.7308, 0.727152
  0.7339, 0.722517
  0.7397, 0.716556
  0.7307, 0.725166
  0.7392, 0.716556
  0.7329, 0.722517
  0.7222, 0.733113
  0.7284, 0.725828
  0.7313, 0.722517
   0.736, 0.717219
  0.7247, 0.728477
  0.7214, 0.731126
  0.7189,  0.73245
  0.7312, 0.719205
  0.7169, 0.733113
  0.7225,  0.72649
  0.7222,  0.72649
  0.7206, 0.727152
  0.7217, 0.725828
  0.7236, 0.723179
  0.7119, 0.734437
  0.7185, 0.727815
  0.7202, 0.725166
  0.7139, 0.730464
  0.7145, 0.728477
  0.7155, 0.727152
  0.7134, 0.729139
   0.708, 0.734437
  0.7131, 0.729139
  0.7177, 0.724503
  0.7129, 0.729139
  0.7135, 0.728477
  0.7165, 0.724503
  0.7127, 0.727152
  0.7161, 0.723179
  0.7139, 0.724503
  0.7076, 0.730464
  0.7175,  0.72053
  0.7075, 0.730464
  0.7125, 0.725166
  0.7116, 0.725828
  0.7202, 0.717219
  0.7086, 0.728477
  0.7061, 0.730464
  0.7052, 0.731126
  0.7087, 0.727152
  0.7078, 0.727152
  0.7062, 0.727815
  0.7055, 0.728477
  0.7053, 0.728477
  0.7016, 0.731788
  0.7065,  0.72649
  0.7071, 0.725828
  0.7015, 0.730464
  0.6988,  0.73245
  0.7042,  0.72649
  0.7071, 0.723179
  0.7076, 0.722517
  0.7072, 0.721854
   0.699, 0.729801
  0.7033, 0.725166
   0.696,  0.73245
  0.7066, 0.721192
  0.7061, 0.721192
  0.6999, 0.727152
  0.6975, 0.729139
  0.6942, 0.731788
  0.7105, 0.715232
  0.7018, 0.723841
  0.6925, 0.733113
  0.6951, 0.730464
  0.6962, 0.729139
  0.6968, 0.728477
  0.6978, 0.727152
  0.7035,  0.72053
  0.6958, 0.727152
