gen, ranking_scalar_onepoint_best, ranking_scalar_onepoint_ave
   1,   0.2261, 0.100111
   2,   0.2261,  0.10577
   3,   0.2417, 0.124867
   4,   0.2417, 0.134029
   5,   0.2629, 0.138533
   6,   0.2781, 0.145101
   7,    0.284, 0.153751
   8,    0.284, 0.162983
   9,   0.3072, 0.173658
  10,   0.3008, 0.191214
  11,   0.3178, 0.205174
  12,   0.3284, 0.213288
  13,   0.3412, 0.223177
  14,   0.3356, 0.220733
  15,   0.3644, 0.235409
  16,   0.3763, 0.250933
  17,    0.376, 0.284554
  18,   0.4044, 0.302092
  19,   0.4099, 0.313483
  20,   0.4099, 0.321425
  21,   0.4196, 0.332251
  22,   0.4214, 0.342001
  23,   0.4288, 0.347504
  24,   0.4284, 0.356404
  25,   0.4284, 0.360619
  26,   0.4287, 0.361019
  27,   0.4288, 0.365652
  28,    0.432, 0.362339
  29,   0.4437, 0.368157
  30,   0.4437, 0.365132
  31,   0.4454, 0.373665
  32,   0.4509, 0.374201
  33,   0.4545, 0.378603
  34,   0.4545, 0.385346
  35,   0.4545, 0.389187
  36,   0.4543, 0.393605
  37,   0.4793, 0.397194
  38,   0.4793, 0.396286
  39,   0.4663, 0.389764
  40,    0.473,  0.39027
  41,   0.4766, 0.385695
  42,   0.4897, 0.390415
  43,   0.4897, 0.403067
  44,   0.5121, 0.413392
  45,   0.5328, 0.416526
  46,   0.5371, 0.427318
  47,   0.5371, 0.438062
  48,   0.5371, 0.451413
  49,   0.5598, 0.452348
  50,   0.5598, 0.463292
  51,   0.5598, 0.465031
  52,   0.5639, 0.472097
  53,   0.5639, 0.479512
  54,   0.5553, 0.480972
  55,   0.5623, 0.490996
  56,   0.5555, 0.491516
  57,   0.5606, 0.495943
  58,    0.573, 0.498076
  59,    0.573, 0.498011
  60,   0.5698,  0.49203
  61,   0.5698, 0.497151
  62,   0.5701, 0.502255
  63,   0.5776, 0.510288
  64,   0.5785, 0.508024
  65,   0.5785, 0.515745
  66,   0.5806, 0.506642
  67,   0.5811, 0.510668
  68,   0.5811, 0.507016
  69,   0.5994, 0.506528
  70,   0.5994, 0.509668
  71,    0.608,  0.51357
  72,    0.608, 0.515489
  73,    0.608, 0.518759
  74,   0.6083,  0.52197
  75,   0.6083,   0.5304
  76,   0.6147, 0.529778
  77,   0.6147, 0.528235
  78,   0.6226, 0.526387
  79,   0.6257, 0.528853
  80,   0.6257, 0.535273
  81,    0.627, 0.532752
  82,    0.618, 0.541663
  83,   0.6268, 0.540029
  84,   0.6309, 0.539845
  85,   0.6309, 0.539613
  86,   0.6254, 0.545857
  87,    0.637, 0.547177
  88,    0.646,  0.54701
  89,    0.646, 0.549707
  90,    0.646, 0.550167
  91,   0.6467, 0.553384
  92,   0.6467, 0.557077
  93,   0.6457, 0.556446
  94,   0.6559, 0.558645
  95,   0.6586, 0.560362
  96,   0.6586, 0.559353
  97,   0.6627, 0.567575
  98,   0.6627, 0.560925
  99,   0.6627, 0.570177
 100,   0.6604, 0.564749
 101,   0.6734, 0.569897
 102,   0.6734, 0.575313
 103,   0.6732, 0.567439
 104,   0.6732,  0.57775
 105,   0.6732, 0.576048
 106,   0.6732, 0.577212
 107,   0.6732, 0.580617
 108,   0.6732, 0.574928
 109,   0.6745, 0.582317
 110,   0.6745, 0.582111
 111,   0.6756, 0.582982
 112,   0.6735, 0.584858
 113,   0.6777, 0.583539
 114,   0.6777, 0.588902
 115,   0.6845, 0.590052
 116,   0.6845, 0.591864
 117,   0.6891, 0.585374
 118,   0.6891,  0.58998
 119,   0.6891, 0.590347
 120,   0.6891, 0.594787
 121,   0.6891, 0.598199
 122,    0.686, 0.593405
 123,    0.686, 0.603953
 124,    0.686, 0.605077
 125,   0.6898, 0.604894
 126,   0.6905, 0.597443
 127,   0.6905, 0.595981
 128,   0.6912, 0.608165
 129,   0.6914, 0.612499
 130,    0.688,  0.61061
 131,   0.6949, 0.609962
 132,   0.6867, 0.608399
 133,   0.6919, 0.612225
 134,   0.6976, 0.611623
 135,   0.6976, 0.611949
 136,   0.6976, 0.612437
 137,   0.6984, 0.605571
 138,   0.6984, 0.612992
 139,   0.6956, 0.616664
 140,   0.6956, 0.621677
 141,   0.6956, 0.624478
 142,   0.6956, 0.621207
 143,   0.6989, 0.619505
 144,   0.6989,  0.61904
 145,   0.7001, 0.625217
 146,   0.7001, 0.621527
 147,    0.701, 0.622817
 148,    0.701, 0.619948
 149,    0.701, 0.620128
 150,    0.701, 0.621623
 151,    0.701, 0.615891
 152,    0.701, 0.618204
 153,   0.6983, 0.619473
 154,   0.6983, 0.620956
 155,   0.6983, 0.618727
 156,   0.6997, 0.627718
 157,   0.6997, 0.627609
 158,   0.6997, 0.629072
 159,   0.6997, 0.622439
 160,   0.7007, 0.623256
 161,   0.7007, 0.621782
 162,   0.7007, 0.631877
 163,   0.7007, 0.625677
 164,   0.7041, 0.632704
 165,   0.7041, 0.630899
 166,   0.7041, 0.630055
 167,   0.7041, 0.631635
 168,   0.7041, 0.627998
 169,   0.7041, 0.628693
 170,   0.7035, 0.635602
 171,   0.7018, 0.627789
 172,   0.7018, 0.629248
 173,   0.7058, 0.624932
 174,   0.7058,  0.62222
 175,   0.7044, 0.621254
 176,   0.7044, 0.629641
 177,   0.7044, 0.634403
