gen, ranking_scalar_twopoint_best, ranking_scalar_twopoint_ave
   1,   0.2261, 0.100111
   2,   0.2222, 0.101073
   3,   0.2519, 0.124987
   4,   0.2519, 0.132158
   5,   0.2706, 0.154946
   6,   0.3014, 0.162251
   7,   0.3014, 0.182048
   8,   0.3167, 0.201802
   9,   0.3203,   0.2113
  10,   0.3324,  0.23687
  11,   0.3398, 0.253087
  12,   0.3398, 0.268058
  13,   0.3489, 0.276782
  14,   0.3731, 0.280921
  15,   0.3731, 0.290642
  16,    0.394, 0.293806
  17,    0.394, 0.290068
  18,   0.3976, 0.294006
  19,   0.4128, 0.301234
  20,   0.4128, 0.310976
  21,   0.4256, 0.316518
  22,   0.4314, 0.323373
  23,   0.4401, 0.319479
  24,   0.4401, 0.330705
  25,   0.4401,  0.33323
  26,   0.4389, 0.335036
  27,   0.4504, 0.338813
  28,   0.4504, 0.332033
  29,   0.4468, 0.349248
  30,   0.4468, 0.352923
  31,   0.4538, 0.346345
  32,   0.4538, 0.343183
  33,    0.463, 0.353709
  34,    0.463, 0.356528
  35,   0.4696, 0.364847
  36,   0.4696, 0.372627
  37,   0.4741, 0.375304
  38,   0.4747, 0.379645
  39,   0.4861, 0.376108
  40,   0.4861, 0.377129
  41,   0.4861, 0.380927
  42,   0.4861, 0.386939
  43,   0.4864, 0.395144
  44,   0.5006, 0.389677
  45,   0.5006, 0.399428
  46,   0.5081, 0.396934
  47,   0.5081, 0.395489
  48,    0.496, 0.399757
  49,    0.496, 0.404283
  50,   0.4992, 0.405965
  51,   0.4992, 0.401986
  52,   0.4992,  0.41274
  53,   0.5023, 0.410486
  54,   0.5016, 0.399732
  55,   0.5044, 0.405086
  56,   0.5078, 0.406289
  57,   0.5112, 0.401985
  58,    0.514, 0.406036
  59,    0.512, 0.402878
  60,    0.512, 0.398338
  61,    0.512, 0.401825
  62,   0.5064, 0.392742
  63,   0.5161,  0.40285
  64,   0.5151, 0.399244
  65,   0.5088, 0.411489
  66,    0.516, 0.409355
  67,    0.518, 0.407626
  68,    0.518, 0.421251
  69,   0.5163, 0.412881
  70,   0.5245, 0.421709
  71,   0.5245, 0.418907
  72,   0.5254, 0.432703
  73,   0.5289, 0.425227
  74,   0.5289, 0.418083
  75,   0.5231, 0.414688
  76,   0.5231, 0.414527
  77,    0.532, 0.421908
  78,   0.5308, 0.422447
  79,   0.5366, 0.425911
  80,   0.5366, 0.422242
  81,    0.538,  0.42146
  82,   0.5379, 0.422027
  83,   0.5379, 0.433196
  84,   0.5387, 0.428366
  85,   0.5348, 0.435412
  86,   0.5348, 0.427213
  87,    0.537, 0.428942
  88,    0.537, 0.427235
  89,   0.5358, 0.421423
  90,   0.5345, 0.431056
  91,   0.5345, 0.424566
  92,   0.5386, 0.430697
  93,   0.5386,  0.42775
  94,   0.5373, 0.429408
  95,   0.5373, 0.432688
  96,   0.5357, 0.437303
  97,   0.5357, 0.429265
  98,    0.539, 0.427364
  99,    0.539, 0.429851
 100,   0.5378, 0.427705
 101,   0.5378, 0.432429
 102,   0.5363, 0.426591
 103,   0.5363, 0.436341
 104,   0.5371, 0.436183
 105,   0.5597, 0.434726
 106,   0.5597, 0.430433
 107,   0.5597,  0.42937
 108,   0.5597, 0.427408
 109,   0.5597, 0.425192
 110,   0.5514, 0.435119
 111,   0.5617, 0.435661
 112,   0.5694, 0.433929
 113,   0.5694, 0.444549
 114,   0.5694, 0.441658
 115,    0.569, 0.447558
 116,   0.5718, 0.446751
 117,    0.574,  0.45689
 118,   0.5732,  0.47232
 119,   0.5732, 0.492725
 120,   0.5744, 0.492937
 121,    0.584, 0.484487
 122,   0.5771, 0.481402
 123,   0.5771, 0.494122
 124,   0.5852, 0.498461
 125,    0.588, 0.496655
 126,    0.588, 0.497624
 127,    0.588, 0.501249
 128,    0.588, 0.494108
 129,    0.588, 0.495131
 130,   0.5902, 0.493092
 131,    0.592, 0.500199
 132,    0.592, 0.505797
 133,    0.592, 0.504512
 134,   0.5875, 0.502164
 135,   0.5875, 0.500545
 136,   0.5918,  0.50458
 137,   0.5918, 0.506591
 138,   0.5955, 0.511145
 139,   0.5955, 0.511831
 140,   0.5995, 0.507659
 141,   0.5995, 0.511835
 142,   0.5995, 0.516565
 143,   0.6001, 0.519921
 144,   0.6001, 0.520361
 145,   0.6002, 0.520142
 146,    0.595, 0.508124
 147,    0.595, 0.510937
 148,    0.597, 0.516084
 149,    0.597,   0.5136
 150,   0.5993, 0.510564
 151,   0.5993, 0.510184
 152,   0.5993, 0.517111
 153,   0.5993, 0.506599
 154,   0.6038,  0.50621
 155,   0.6038, 0.519745
 156,   0.6038, 0.516669
 157,   0.6038, 0.521272
 158,   0.6038, 0.513151
 159,   0.5961, 0.515461
 160,   0.5961, 0.508915
 161,   0.5975, 0.516107
 162,   0.5975, 0.523291
 163,   0.5994, 0.516641
 164,   0.5994, 0.515288
 165,   0.5994, 0.516796
 166,   0.5994, 0.522716
 167,   0.5994, 0.520205
 168,   0.6061, 0.521825
 169,   0.6013, 0.520759
 170,   0.6043, 0.514469
 171,    0.603,  0.51839
 172,    0.603, 0.521917
 173,    0.603, 0.523884
 174,    0.603, 0.518448
 175,   0.5971, 0.522309
 176,   0.5971, 0.519536
 177,   0.6035, 0.521193
 178,   0.6035, 0.520729
 179,   0.6035, 0.524008
 180,   0.6028, 0.529557
 181,   0.6028, 0.526113
 182,   0.6028, 0.522777
 183,   0.6028, 0.527524
 184,    0.606, 0.516578
 185,    0.606, 0.520183
 186,    0.606, 0.524688
 187,    0.606, 0.521283
 188,    0.606, 0.519819
 189,    0.606, 0.518572
