accuracy,sparse
  0.7886, 0.650331
   0.788, 0.650331
  0.7852, 0.652318
  0.7853, 0.651656
  0.7858, 0.650993
  0.7836,  0.65298
  0.7859, 0.650331
  0.7863, 0.649669
  0.7868, 0.649007
  0.7847, 0.650993
   0.786, 0.649669
  0.7846, 0.650993
   0.783, 0.652318
  0.7863, 0.649007
  0.7835, 0.651656
  0.7835, 0.651656
  0.7848, 0.650331
  0.7853, 0.649669
  0.7833, 0.651656
  0.7833, 0.651656
  0.7865, 0.648344
  0.7826, 0.648344
  0.7837,  0.64702
  0.7837, 0.646358
  0.7842, 0.645695
   0.782, 0.647682
  0.7833, 0.646358
  0.7742, 0.652318
  0.7785, 0.647682
  0.7769, 0.649007
  0.7844,  0.64106
  0.7777, 0.647682
   0.781, 0.644371
  0.7794, 0.645695
   0.779, 0.645033
  0.7752, 0.648344
  0.7778, 0.645033
  0.7752,  0.64702
  0.7764, 0.645695
  0.7703, 0.650331
  0.7718, 0.648344
  0.7732, 0.646358
  0.7725,  0.64702
  0.7726, 0.645695
  0.7694, 0.648344
  0.7656, 0.651656
  0.7699,  0.64702
  0.7685, 0.647682
  0.7698, 0.646358
  0.7699, 0.645033
  0.7646, 0.650331
  0.7691, 0.645695
  0.7685, 0.645695
  0.7684, 0.645695
  0.7695, 0.644371
  0.7667,  0.64702
  0.7713, 0.642384
  0.7692, 0.644371
  0.7672, 0.645695
  0.7614, 0.650993
  0.7623, 0.649007
  0.7639,  0.64702
  0.7678, 0.643046
  0.7608, 0.649669
  0.7633,  0.64702
  0.7624, 0.647682
  0.7638, 0.645695
   0.763, 0.646358
  0.7622, 0.645695
  0.7555, 0.651656
   0.762, 0.645033
  0.7593, 0.647682
  0.7599,  0.64702
  0.7639, 0.642384
  0.7605, 0.645695
  0.7584, 0.647682
  0.7607, 0.645033
  0.7664, 0.639073
  0.7624, 0.642384
  0.7583, 0.645695
  0.7609, 0.643046
  0.7556, 0.648344
    0.76, 0.643709
  0.7558, 0.647682
  0.7557,  0.64702
  0.7549, 0.647682
  0.7555,  0.64702
  0.7507, 0.651656
  0.7597, 0.642384
  0.7528, 0.649007
  0.7525, 0.648344
  0.7538,  0.64702
  0.7502, 0.650331
  0.7496, 0.650331
  0.7495, 0.650331
   0.752,  0.64702
  0.7535, 0.644371
  0.7497, 0.647682
  0.7501,  0.64702
  0.7505, 0.645033
  0.7485,  0.64702
  0.7498, 0.645695
  0.7443, 0.650331
  0.7476, 0.646358
  0.7438, 0.649669
  0.7475, 0.645695
  0.7506, 0.642384
   0.744,  0.64702
   0.738,  0.65298
  0.7525, 0.638411
  0.7437, 0.645033
  0.7365, 0.651656
  0.7474, 0.640397
  0.7421, 0.645695
  0.7387, 0.648344
  0.7358, 0.650993
   0.742, 0.644371
  0.7413, 0.645033
  0.7409, 0.645033
  0.7347, 0.650993
  0.7405, 0.645033
  0.7371, 0.648344
  0.7363, 0.647682
  0.7337, 0.647682
  0.7341,  0.64702
   0.734,  0.64702
  0.7317, 0.649007
   0.738, 0.642384
  0.7405, 0.639073
  0.7299, 0.649669
  0.7322,  0.64702
  0.7295, 0.649007
  0.7302, 0.647682
  0.7292, 0.647682
  0.7329, 0.643709
  0.7274, 0.649007
  0.7317, 0.643709
  0.7245, 0.650331
  0.7297, 0.645033
  0.7256, 0.649007
  0.7294, 0.645033
  0.7315, 0.641722
  0.7299, 0.643046
   0.726, 0.645695
  0.7319, 0.639735
   0.725, 0.646358
  0.7281, 0.642384
  0.7297, 0.640397
  0.7194, 0.650331
  0.7231, 0.646358
   0.723, 0.646358
  0.7214,  0.64702
  0.7193, 0.649007
   0.728, 0.639735
  0.7276, 0.639735
  0.7188, 0.648344
  0.7191, 0.647682
  0.7172, 0.648344
  0.7214, 0.643046
  0.7152, 0.647682
  0.7191, 0.643046
  0.7163, 0.645033
  0.7108, 0.650331
  0.7156, 0.644371
  0.7172, 0.642384
  0.7182,  0.64106
  0.7122, 0.646358
  0.7101,  0.64702
  0.7073, 0.649669
  0.7107, 0.645033
   0.711, 0.644371
  0.7088, 0.646358
  0.7179, 0.637086
    0.71, 0.644371
  0.7118, 0.641722
  0.7018, 0.651656
  0.7036, 0.649669
  0.7167, 0.636424
  0.7047, 0.646358
  0.7059, 0.644371
  0.7049, 0.645033
   0.702,  0.64702
  0.7033, 0.645695
  0.6975, 0.648344
  0.6907, 0.652318
  0.6952, 0.647682
  0.6936, 0.648344
  0.6976, 0.643709
  0.6925, 0.648344
  0.6954, 0.645033
  0.6911, 0.649007
  0.6928,  0.64702
  0.6939, 0.645033
  0.6836, 0.653642
  0.6914, 0.645695
  0.6967, 0.639735
  0.6886, 0.647682
  0.6833,  0.65298
  0.6874, 0.648344
  0.6906, 0.644371
  0.6843, 0.649669
  0.6894, 0.644371
  0.6886, 0.645033
  0.6905, 0.643046
  0.6866, 0.646358
   0.691,  0.64106
  0.6816, 0.650331
  0.6856, 0.645033
  0.6886, 0.641722
   0.683,  0.64702
  0.6821, 0.647682
  0.6866, 0.643046
  0.6758, 0.653642
  0.6872,  0.64106
  0.6806, 0.646358
  0.6862, 0.640397
  0.6814, 0.645033
  0.6817, 0.644371
  0.6767, 0.649007
  0.6733, 0.652318
  0.6746, 0.650331
  0.6741, 0.649007
