accuracy,sparse
   0.248,  0.34702
  0.2261, 0.339735
  0.2152, 0.337086
  0.2119, 0.338411
  0.1978, 0.351656
  0.2022, 0.333775
  0.1797, 0.351656
  0.1895, 0.339735
  0.1867, 0.340397
  0.1766, 0.350331
  0.1879, 0.338411
  0.1938, 0.331788
  0.2038, 0.319205
   0.185, 0.335762
  0.1505, 0.369536
  0.1657,  0.35298
  0.1853, 0.333113
  0.1849, 0.333113
   0.183, 0.333775
   0.178, 0.338411
  0.1742, 0.341722
  0.1677, 0.345695
  0.1729, 0.340397
  0.1583, 0.354305
  0.1721, 0.339073
  0.1898, 0.321192
  0.1725, 0.335762
   0.162, 0.345695
  0.1738, 0.333775
  0.1896, 0.317881
  0.1483, 0.356954
   0.176, 0.328477
  0.1658, 0.335099
  0.1669, 0.333775
  0.1569, 0.343709
  0.1663, 0.333775
  0.1833, 0.316556
  0.1585, 0.337748
  0.1367,  0.35894
  0.1604, 0.334437
  0.1749, 0.319868
   0.146, 0.348344
  0.1386, 0.355629
  0.1675,  0.32649
  0.1447, 0.349007
  0.1413, 0.352318
  0.1806, 0.312583
  0.1572, 0.335099
  0.1409, 0.350993
  0.1629, 0.328477
   0.156, 0.335099
  0.1332, 0.357616
  0.1393, 0.350993
  0.1297, 0.360265
  0.1564,  0.33245
  0.1267, 0.361589
  0.1339, 0.354305
  0.1473, 0.339073
  0.1199, 0.366225
  0.1367, 0.346358
  0.1511, 0.331788
  0.1317, 0.350993
  0.1302, 0.352318
  0.1507, 0.331126
  0.1431, 0.338411
   0.142, 0.339073
   0.132, 0.348344
  0.1485, 0.331788
   0.148, 0.331788
  0.1391, 0.340397
  0.1354, 0.343046
  0.1518,  0.32649
  0.1246, 0.353642
  0.1352, 0.341722
   0.133, 0.343709
  0.1342, 0.342384
  0.1235,  0.35298
  0.1364, 0.339735
  0.1333, 0.342384
   0.131, 0.344371
  0.1496, 0.325166
  0.1125, 0.360927
  0.1138, 0.359603
  0.1593, 0.313907
  0.1325, 0.340397
  0.1355, 0.337086
  0.1393, 0.333113
  0.1273, 0.344371
  0.1556, 0.315894
  0.1241,  0.34702
  0.1352, 0.335762
  0.1431, 0.327815
   0.109, 0.361589
  0.1158, 0.353642
  0.1233, 0.345695
  0.1372, 0.331788
  0.1377, 0.331126
  0.1231, 0.345695
  0.0928, 0.375497
  0.1108, 0.356954
  0.0962, 0.371523
  0.1007, 0.366225
   0.129, 0.337748
  0.1199, 0.346358
  0.1303, 0.335762
  0.0911, 0.374834
  0.1328, 0.333113
   0.141, 0.324503
  0.1393, 0.325828
  0.1358, 0.329139
