gen, ranking_ternary_onepoint_best, ranking_ternary_onepoint_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.105875
   3,   0.2577, 0.122596
   4,   0.2577, 0.137028
   5,   0.2603, 0.146281
   6,     0.29, 0.154017
   7,     0.29, 0.158762
   8,     0.29, 0.165404
   9,   0.2989, 0.180947
  10,   0.2997, 0.185633
  11,     0.32, 0.197475
  12,     0.32,  0.20207
  13,   0.3249, 0.217141
  14,   0.3338, 0.225681
  15,   0.3446, 0.241074
  16,   0.3562, 0.258872
  17,   0.3595, 0.270511
  18,   0.3693, 0.284055
  19,   0.3849, 0.287708
  20,   0.3849,   0.2889
  21,   0.4082,  0.30283
  22,   0.4082, 0.309747
  23,   0.4144, 0.321161
  24,   0.4277, 0.335654
  25,   0.4277, 0.341337
  26,   0.4359, 0.345683
  27,   0.4475, 0.354032
  28,   0.4645, 0.359881
  29,   0.4819, 0.368978
  30,   0.4819, 0.373939
  31,   0.4843, 0.384309
  32,   0.4875, 0.389493
  33,    0.497, 0.399174
  34,    0.506, 0.413208
  35,    0.506, 0.417252
  36,   0.5097, 0.420872
  37,   0.5136, 0.429832
  38,   0.5136, 0.432253
  39,   0.5161, 0.433468
  40,   0.5204,  0.43545
  41,   0.5221, 0.440268
  42,   0.5227, 0.443999
  43,    0.526, 0.452109
  44,   0.5281, 0.456633
  45,   0.5331, 0.455993
  46,   0.5331, 0.458107
  47,   0.5355, 0.470477
  48,    0.537, 0.466193
  49,   0.5414, 0.462142
  50,   0.5414, 0.464253
  51,   0.5423, 0.468666
  52,   0.5439, 0.470481
  53,   0.5439, 0.473272
  54,   0.5489, 0.477266
  55,   0.5489, 0.483759
  56,   0.5506, 0.486672
  57,   0.5528, 0.492089
  58,   0.5528, 0.494141
  59,   0.5583, 0.494757
  60,   0.5595, 0.485531
  61,   0.5629, 0.490373
  62,   0.5714, 0.494539
  63,   0.5721, 0.498857
  64,   0.5745, 0.498558
  65,   0.5778, 0.510451
  66,   0.5824, 0.509585
  67,   0.5831, 0.511293
  68,   0.5872, 0.508416
  69,     0.59, 0.514987
  70,   0.5952, 0.521006
  71,   0.5952, 0.522903
  72,    0.604, 0.523568
  73,    0.604, 0.524744
  74,   0.6117, 0.530638
  75,   0.6117, 0.531432
  76,   0.6117, 0.533453
  77,   0.6129,  0.53238
  78,   0.6129, 0.539022
  79,   0.6208, 0.543727
  80,   0.6208, 0.551816
  81,    0.623, 0.549422
  82,    0.623, 0.552422
  83,    0.623, 0.551475
  84,    0.623, 0.548929
  85,   0.6233, 0.553286
  86,   0.6233, 0.553426
  87,   0.6237, 0.552252
  88,   0.6237, 0.547844
  89,   0.6273, 0.549863
  90,   0.6273, 0.545434
  91,   0.6273, 0.552197
  92,   0.6274, 0.556248
  93,   0.6275, 0.553078
  94,   0.6275,  0.55711
  95,   0.6307, 0.563302
  96,   0.6307, 0.560986
  97,   0.6317,  0.55958
  98,   0.6317, 0.553101
  99,   0.6317, 0.566453
 100,   0.6319, 0.559876
 101,    0.633, 0.563974
 102,    0.633, 0.568266
 103,   0.6349, 0.566992
 104,   0.6349, 0.570589
 105,   0.6349, 0.569352
 106,   0.6349,  0.57048
 107,   0.6349, 0.575994
 108,   0.6349, 0.574131
 109,   0.6349, 0.573919
 110,   0.6349, 0.578883
 111,   0.6354, 0.580954
 112,   0.6365, 0.578596
 113,   0.6365, 0.575927
 114,   0.6365, 0.578673
