accuracy,sparse
  0.8405, 0.319868
  0.8405, 0.319868
  0.8403, 0.315894
  0.8403, 0.317219
  0.8402, 0.325166
  0.8401, 0.312583
  0.8401, 0.324503
  0.8401,  0.32053
  0.8401, 0.315894
  0.8399, 0.318543
  0.8399, 0.327152
  0.8398, 0.315894
  0.8398, 0.324503
  0.8397, 0.312583
  0.8397, 0.321192
  0.8396, 0.313907
  0.8395, 0.323841
  0.8395,  0.32053
  0.8395,  0.31457
  0.8394, 0.315894
  0.8376, 0.313907
  0.8371, 0.323179
  0.8364, 0.322517
  0.8351, 0.322517
  0.8341, 0.321192
  0.8341, 0.319205
  0.8333, 0.317881
  0.8317, 0.319205
  0.8314, 0.316556
  0.8313, 0.315894
  0.8311,  0.32649
   0.831, 0.315894
  0.8296, 0.317219
  0.8285, 0.317881
  0.8284, 0.322517
  0.8277, 0.324503
  0.8269, 0.319205
  0.8265, 0.315894
   0.826, 0.325828
  0.8259, 0.317881
  0.8258, 0.323179
  0.8251, 0.311258
  0.8248, 0.321192
  0.8244, 0.316556
  0.8243, 0.321854
  0.8241, 0.323841
   0.824, 0.319205
  0.8238, 0.318543
  0.8237,  0.32053
  0.8236, 0.322517
  0.8236, 0.315894
  0.8231, 0.318543
  0.8228, 0.317881
  0.8225, 0.315894
  0.8222, 0.327152
  0.8217, 0.310596
  0.8217, 0.318543
    0.82,  0.31457
  0.8193, 0.319868
  0.8188,  0.32053
  0.8183, 0.317219
  0.8181, 0.319868
  0.8181, 0.318543
  0.8168, 0.319868
  0.8162, 0.324503
   0.816, 0.317881
  0.8158,  0.32053
  0.8145, 0.319868
  0.8141, 0.319868
  0.8139, 0.319868
  0.8125, 0.321192
  0.8123, 0.318543
  0.8123, 0.319868
  0.8115, 0.317881
  0.8113, 0.317881
  0.8112, 0.321854
  0.8109, 0.317219
  0.8105, 0.325166
  0.8099, 0.319868
  0.8094, 0.323179
  0.8093,  0.32053
  0.8091, 0.315894
  0.8089, 0.315894
  0.8082, 0.321192
  0.8081, 0.318543
  0.8076, 0.321192
  0.8071, 0.317219
  0.8069,  0.31457
  0.8067, 0.318543
  0.8063, 0.315232
  0.8063,  0.32053
   0.806, 0.321854
  0.8059, 0.313907
  0.8053, 0.315232
  0.8049, 0.316556
  0.8046, 0.319868
  0.8044, 0.319205
  0.8041, 0.311258
  0.8027, 0.317219
  0.8026, 0.317219
  0.8025, 0.317881
  0.8023,  0.31457
  0.8019, 0.315894
  0.8018, 0.315232
  0.8008, 0.317881
  0.8008, 0.319868
  0.8008, 0.323841
     0.8, 0.319205
  0.7996, 0.315894
  0.7996, 0.327815
  0.7996, 0.316556
  0.7994, 0.325166
  0.7989, 0.318543
  0.7981, 0.317219
  0.7977, 0.327152
   0.797, 0.309934
  0.7969, 0.319205
  0.7966, 0.323179
  0.7957,  0.32649
  0.7957,  0.32053
  0.7956, 0.322517
  0.7954, 0.310596
   0.795, 0.328477
  0.7949, 0.321192
  0.7937, 0.323179
  0.7935, 0.315232
  0.7929,  0.32053
  0.7928, 0.322517
  0.7923, 0.317219
  0.7922, 0.319205
  0.7922, 0.323841
  0.7916, 0.317881
  0.7912,  0.31457
  0.7906, 0.325828
  0.7904, 0.318543
  0.7903, 0.319205
  0.7902, 0.316556
  0.7901, 0.319205
  0.7899, 0.319868
  0.7896,  0.31457
  0.7894, 0.311258
  0.7885, 0.323841
  0.7875, 0.315894
  0.7873,  0.32053
  0.7868, 0.319868
  0.7864, 0.315232
  0.7858, 0.317881
  0.7857, 0.322517
  0.7855, 0.324503
  0.7855, 0.317881
  0.7854, 0.319205
  0.7854, 0.325828
  0.7847, 0.323179
  0.7841, 0.327152
  0.7836, 0.317219
  0.7831, 0.319868
  0.7829, 0.323841
  0.7821, 0.323841
  0.7812, 0.322517
  0.7806, 0.315232
  0.7803, 0.311921
  0.7797,  0.32053
  0.7796, 0.319868
