gen, ranking_ternary_twopoint_best, ranking_ternary_twopoint_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.101178
   3,   0.2299, 0.126547
   4,   0.2901, 0.128932
   5,   0.2901, 0.149217
   6,   0.2992, 0.160825
   7,   0.3074,  0.17676
   8,   0.3348, 0.200872
   9,   0.3348,  0.21657
  10,   0.3536, 0.238109
  11,   0.3587, 0.255537
  12,   0.3787, 0.279221
  13,   0.3787, 0.291766
  14,    0.391, 0.301109
  15,   0.3955, 0.313022
  16,   0.3992, 0.318191
  17,   0.4242, 0.324209
  18,   0.4242, 0.329416
  19,   0.4264, 0.338007
  20,   0.4358, 0.346039
  21,   0.4358, 0.352453
  22,   0.4465, 0.359708
  23,   0.4465, 0.358198
  24,    0.451, 0.367712
  25,   0.4545, 0.368853
  26,   0.4568, 0.375475
  27,   0.4637, 0.374964
  28,   0.4647, 0.374018
  29,   0.4669, 0.384649
  30,   0.4678, 0.388783
  31,   0.4815,  0.38524
  32,   0.4815, 0.380688
  33,    0.484, 0.390765
  34,    0.484, 0.390745
  35,    0.485, 0.397666
  36,    0.492, 0.404517
  37,   0.4937,  0.40154
  38,   0.4958, 0.409947
  39,   0.4959, 0.403176
  40,   0.4977, 0.404468
  41,    0.504, 0.408332
  42,    0.504,  0.40973
  43,    0.507, 0.418261
  44,   0.5137, 0.417314
  45,   0.5138, 0.424812
  46,    0.519, 0.423933
  47,    0.519, 0.425425
  48,   0.5211, 0.433333
  49,   0.5211, 0.436011
  50,   0.5258, 0.442756
  51,   0.5258, 0.436095
  52,   0.5261, 0.447976
  53,   0.5301, 0.445745
  54,   0.5301, 0.438716
  55,   0.5301, 0.444929
  56,   0.5314, 0.445565
  57,   0.5314, 0.439516
  58,   0.5314, 0.447113
  59,    0.533, 0.444654
  60,    0.533, 0.440541
  61,    0.536,  0.44438
  62,    0.536, 0.434086
  63,    0.536, 0.442483
  64,   0.5374, 0.434918
  65,   0.5374, 0.444245
  66,   0.5374, 0.445127
  67,   0.5387,  0.44445
  68,   0.5387, 0.459575
  69,   0.5389, 0.450505
  70,   0.5389, 0.454266
  71,   0.5389, 0.449934
  72,    0.539, 0.460696
  73,   0.5397, 0.454857
  74,   0.5397, 0.448325
  75,   0.5406, 0.446312
  76,   0.5406, 0.447422
  77,   0.5418, 0.451889
  78,   0.5418, 0.455524
  79,   0.5433, 0.459058
  80,   0.5433, 0.455334
  81,   0.5464, 0.454883
  82,   0.5464,  0.45512
  83,   0.5522, 0.465717
  84,   0.5522, 0.465005
  85,   0.5522, 0.467764
  86,   0.5522, 0.467474
  87,   0.5533, 0.466332
  88,   0.5533, 0.466469
  89,   0.5552, 0.461354
  90,   0.5552, 0.470591
  91,   0.5564, 0.465284
  92,   0.5564, 0.472461
  93,   0.5587, 0.469945
  94,   0.5591,  0.47336
  95,   0.5591, 0.474247
  96,   0.5617, 0.479741
  97,   0.5617, 0.468985
  98,   0.5617, 0.469647
  99,   0.5622, 0.472567
 100,   0.5622, 0.474818
 101,   0.5625, 0.479131
 102,   0.5656, 0.474277
 103,   0.5656, 0.482778
 104,   0.5656, 0.485975
 105,   0.5656, 0.483917
 106,   0.5681,  0.48586
 107,   0.5681, 0.482558
 108,   0.5697, 0.481825
 109,   0.5697, 0.477007
 110,   0.5699,  0.48471
 111,   0.5741, 0.482935
 112,   0.5741, 0.481486
 113,   0.5743, 0.489856
 114,   0.5743, 0.481607
 115,   0.5786,  0.48672
 116,   0.5786,   0.4793
 117,   0.5798, 0.488744
 118,   0.5812, 0.490299
 119,   0.5834, 0.498705
 120,   0.5834, 0.494107
 121,   0.5864, 0.486912
 122,   0.5888, 0.483884
 123,   0.5888, 0.499614
 124,   0.5888,  0.50035
 125,   0.5898, 0.494574
 126,   0.5905,   0.4939
 127,   0.5905, 0.497496
 128,   0.5919, 0.488679
 129,   0.5919, 0.489811
 130,   0.5927, 0.487558
 131,   0.5927, 0.497746
 132,    0.593, 0.506899
 133,   0.5945, 0.508785
 134,   0.5945, 0.504755
 135,   0.5945, 0.500714
 136,   0.5945, 0.502944
 137,   0.5945, 0.507036
 138,   0.5945, 0.512241
 139,   0.5954, 0.511263
 140,   0.5954, 0.500865
 141,   0.5986, 0.507605
 142,   0.5986, 0.514439
 143,   0.5986, 0.511135
 144,   0.5986, 0.509733
 145,   0.5986,   0.5145
 146,   0.6023, 0.501818
 147,   0.6027, 0.505174
 148,   0.6027, 0.504966
 149,   0.6032, 0.504475
 150,   0.6032, 0.503476
 151,   0.6032, 0.503505
 152,   0.6037, 0.510542
 153,   0.6062, 0.506746
 154,   0.6062, 0.503049
 155,   0.6062, 0.518468
 156,   0.6062, 0.513847
 157,   0.6062, 0.522972
 158,   0.6062, 0.512741
 159,   0.6062, 0.514606
 160,   0.6062, 0.512888
 161,   0.6062, 0.517936
 162,   0.6062, 0.526339
 163,   0.6062, 0.514621
 164,   0.6062, 0.517109
 165,   0.6064, 0.516316
 166,   0.6064, 0.524298
 167,   0.6065, 0.515813
 168,   0.6075, 0.522928
 169,   0.6075, 0.512075
 170,   0.6089, 0.507108
 171,   0.6089, 0.511806
 172,   0.6089, 0.524431
 173,   0.6089, 0.526824
 174,   0.6098,  0.51779
 175,   0.6098, 0.520709
 176,   0.6098, 0.514523
 177,   0.6114, 0.521698
 178,   0.6114, 0.522288
 179,   0.6114, 0.525405
 180,   0.6114, 0.531337
 181,   0.6114, 0.525546
 182,   0.6125, 0.523471
 183,   0.6125, 0.521778
 184,   0.6127, 0.518461
 185,   0.6127,  0.51879
 186,   0.6127, 0.527431
 187,   0.6127, 0.527071
 188,   0.6127, 0.521715
 189,   0.6148, 0.523692
 190,   0.6148, 0.518771
 191,   0.6148, 0.526925
 192,    0.615, 0.534816
 193,    0.615, 0.533273
 194,    0.615, 0.529943
 195,   0.6161, 0.525604
 196,   0.6166, 0.518454
 197,   0.6166, 0.523843
 198,   0.6166, 0.525461
 199,   0.6169, 0.521983
 200,   0.6169, 0.523245
 201,   0.6181, 0.526259
 202,   0.6181, 0.525085
 203,   0.6181,  0.52415
 204,   0.6199, 0.521811
 205,   0.6199, 0.526025
 206,   0.6199, 0.518195
 207,   0.6204, 0.528351
 208,   0.6206, 0.531484
