accuracy,sparse
  0.8153, 0.333775
  0.8152, 0.335099
   0.815, 0.335762
  0.8149, 0.333775
  0.8149, 0.335099
  0.8148, 0.335099
  0.8147, 0.336424
  0.8147, 0.338411
  0.8146,  0.33245
  0.8146, 0.336424
  0.8146, 0.335099
  0.8146, 0.331126
  0.8146, 0.335099
  0.8146, 0.335762
  0.8146,  0.33245
  0.8146, 0.334437
  0.8146, 0.337748
  0.8145, 0.334437
  0.8145, 0.331788
  0.8145, 0.337748
  0.8131, 0.335099
  0.8113, 0.335762
   0.811, 0.333775
  0.8094, 0.339073
  0.8088, 0.337748
   0.808, 0.334437
  0.8077, 0.337748
  0.8075, 0.334437
  0.8074, 0.338411
  0.8065, 0.335762
  0.8063, 0.334437
  0.8063, 0.333113
  0.8062, 0.333113
  0.8062, 0.335762
  0.8056, 0.333113
  0.8056, 0.331126
  0.8055, 0.334437
  0.8055, 0.334437
  0.8051, 0.336424
  0.8043, 0.333775
   0.804, 0.336424
  0.8035, 0.337748
  0.8034, 0.333113
  0.8029, 0.331788
   0.802, 0.333775
  0.8019, 0.334437
  0.8014, 0.335099
  0.8013, 0.334437
  0.8009, 0.335099
  0.8007, 0.335762
  0.7999, 0.339735
  0.7992, 0.333775
  0.7989, 0.335762
  0.7983, 0.333113
  0.7975, 0.331788
  0.7972, 0.333113
   0.797, 0.334437
  0.7965,  0.33245
  0.7961, 0.335099
  0.7942, 0.335762
   0.794, 0.337748
  0.7931, 0.335099
  0.7931, 0.335099
  0.7919,  0.33245
  0.7917, 0.331788
  0.7916, 0.331788
  0.7914, 0.333775
   0.791, 0.337748
  0.7904, 0.334437
  0.7899, 0.334437
  0.7899, 0.335762
  0.7898, 0.335762
  0.7896, 0.329801
  0.7896, 0.333113
   0.789, 0.334437
  0.7881, 0.334437
   0.788, 0.334437
   0.787, 0.339073
  0.7865, 0.333113
  0.7855, 0.335762
  0.7855, 0.330464
   0.785, 0.333113
  0.7849, 0.333775
  0.7835, 0.331126
  0.7834, 0.329801
  0.7833, 0.335099
  0.7833, 0.336424
  0.7832, 0.339735
  0.7831, 0.331788
  0.7825, 0.341722
  0.7823, 0.334437
  0.7816, 0.334437
  0.7814, 0.333113
  0.7813, 0.331788
  0.7813, 0.337086
  0.7809,  0.33245
  0.7795, 0.337748
  0.7792, 0.337748
  0.7792, 0.334437
  0.7791, 0.336424
   0.779, 0.334437
  0.7787,  0.33245
  0.7785,  0.33245
  0.7783, 0.337748
  0.7775, 0.333775
  0.7774, 0.331788
  0.7768, 0.334437
  0.7768, 0.335099
  0.7764,  0.33245
  0.7758, 0.333113
  0.7758, 0.334437
  0.7757, 0.335762
  0.7744, 0.337086
  0.7744, 0.335762
  0.7728, 0.336424
  0.7727, 0.333113
  0.7715,  0.33245
  0.7712, 0.334437
   0.771, 0.333775
  0.7709, 0.333113
  0.7706, 0.336424
  0.7705, 0.337748
  0.7699, 0.333113
  0.7699, 0.334437
  0.7696, 0.335099
  0.7696, 0.333113
   0.769, 0.336424
  0.7683, 0.336424
  0.7669, 0.337086
  0.7661, 0.330464
  0.7657, 0.334437
  0.7655, 0.339735
  0.7655, 0.335099
