gen, ranking_ternary_uniform_best, ranking_ternary_uniform_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.105699
   3,   0.2356, 0.113232
   4,   0.2356, 0.114411
   5,   0.2356,  0.11817
   6,   0.2451, 0.122712
   7,   0.2808, 0.129675
   8,   0.2808, 0.134168
   9,   0.2808, 0.139917
  10,   0.2808, 0.143154
  11,   0.3216, 0.145651
  12,   0.3216, 0.149322
  13,   0.3216, 0.159672
  14,    0.325, 0.172963
  15,   0.3374, 0.184816
  16,   0.3475, 0.193086
  17,   0.3517, 0.219265
  18,   0.3537, 0.238808
  19,   0.3773,   0.2477
  20,   0.3773, 0.255035
  21,    0.381, 0.257549
  22,   0.3848, 0.271912
  23,   0.4106, 0.285615
  24,   0.4122, 0.303223
  25,   0.4214, 0.323958
  26,    0.432, 0.338583
  27,    0.432, 0.345418
  28,   0.4399, 0.352526
  29,   0.4457, 0.360451
  30,   0.4475, 0.366554
  31,   0.4599,  0.37675
  32,   0.4631, 0.377784
  33,   0.4631, 0.384418
  34,   0.4631, 0.389764
  35,   0.4765, 0.397103
  36,   0.4765, 0.400889
  37,   0.4917, 0.409078
  38,   0.4917, 0.418332
  39,   0.4929, 0.423487
  40,   0.4983, 0.427649
  41,   0.5149, 0.433304
  42,   0.5149, 0.441706
  43,   0.5201, 0.453392
  44,   0.5201, 0.461628
  45,   0.5244,  0.47017
  46,   0.5271, 0.474546
  47,   0.5347, 0.478446
  48,   0.5347, 0.478904
  49,   0.5378, 0.484378
  50,   0.5378, 0.486777
  51,   0.5383, 0.491406
  52,   0.5406, 0.493594
  53,   0.5425, 0.497199
  54,   0.5425, 0.502083
  55,    0.547, 0.505205
  56,   0.5479, 0.506628
  57,   0.5493, 0.508951
  58,   0.5496, 0.508063
  59,   0.5506, 0.510829
  60,   0.5506, 0.512937
  61,   0.5532, 0.514388
  62,   0.5533, 0.513619
  63,    0.559, 0.515278
  64,    0.559, 0.516223
  65,    0.559, 0.514549
  66,   0.5593,   0.5159
  67,   0.5593, 0.519696
  68,   0.5639,   0.5233
  69,   0.5639, 0.524134
  70,   0.5639, 0.526138
  71,   0.5639, 0.529265
  72,   0.5652, 0.526442
  73,   0.5652, 0.527859
  74,   0.5663, 0.529856
  75,   0.5677, 0.531475
  76,   0.5711, 0.531379
  77,   0.5711, 0.534613
  78,    0.574, 0.533216
  79,    0.574, 0.537135
  80,   0.5744,  0.53794
  81,   0.5779, 0.540891
  82,   0.5805, 0.540488
  83,   0.5805, 0.536016
  84,   0.5902, 0.542405
  85,   0.5902, 0.542873
  86,   0.5902, 0.547396
  87,   0.5902, 0.546933
  88,   0.5919, 0.545117
  89,   0.5919, 0.550968
  90,   0.5919, 0.552635
  91,   0.5925,  0.55434
  92,   0.5952, 0.553181
  93,   0.5952, 0.553863
  94,   0.5971, 0.555008
  95,   0.5971, 0.554058
  96,   0.5984, 0.556528
  97,   0.5984, 0.554256
  98,   0.5995, 0.557621
  99,   0.5995, 0.555457
 100,   0.6018, 0.555972
 101,   0.6018, 0.555367
 102,    0.606, 0.557013
 103,    0.606, 0.558307
 104,    0.606, 0.554158
 105,    0.606,  0.55268
 106,    0.606, 0.561765
 107,   0.6061, 0.562669
 108,   0.6079, 0.559485
 109,   0.6079, 0.563936
 110,   0.6115,  0.56341
 111,   0.6115, 0.563663
 112,   0.6115, 0.566953
 113,   0.6115, 0.565956
 114,   0.6145, 0.566938
 115,   0.6145, 0.564249
 116,   0.6145, 0.569423
 117,   0.6159, 0.570616
 118,   0.6159, 0.570494
 119,   0.6159, 0.573842
 120,   0.6159,   0.5701
 121,   0.6159, 0.567778
 122,   0.6169,  0.56833
 123,   0.6169, 0.568719
 124,   0.6192, 0.569835
 125,   0.6192, 0.569414
 126,   0.6192,  0.57139
 127,   0.6239, 0.574009
 128,   0.6239, 0.572888
 129,   0.6239, 0.572495
 130,   0.6253, 0.574068
 131,   0.6253, 0.575583
 132,   0.6333, 0.575855
 133,   0.6333,  0.57711
 134,   0.6333, 0.575931
 135,   0.6333, 0.577766
 136,   0.6333, 0.579181
 137,   0.6333, 0.580729
 138,   0.6333, 0.579536
 139,   0.6333, 0.579707
 140,   0.6333, 0.581012
 141,   0.6341, 0.583008
 142,   0.6349,  0.58584
 143,   0.6349, 0.584147
 144,   0.6349, 0.588111
 145,   0.6373, 0.587425
 146,   0.6373, 0.582853
 147,   0.6373, 0.585974
 148,   0.6511, 0.585466
 149,   0.6567, 0.583775
 150,   0.6567, 0.588781
 151,   0.6635, 0.591222
 152,   0.6635, 0.594849
 153,   0.6653, 0.597914
 154,   0.6672,  0.60244
 155,   0.6732, 0.607785
 156,   0.6732, 0.605498
 157,   0.6732, 0.605452
 158,   0.6754, 0.606187
 159,   0.6754, 0.608906
 160,   0.6796, 0.609739
 161,   0.6796, 0.612863
 162,   0.6839,  0.61454
 163,   0.6839, 0.613059
 164,   0.6867, 0.617081
 165,   0.6867, 0.621002
 166,   0.6867, 0.623842
 167,   0.6875, 0.624862
 168,   0.6887, 0.629035
 169,   0.6895, 0.624862
 170,   0.6898, 0.629393
 171,   0.6898, 0.630084
 172,   0.6898, 0.629169
 173,   0.6908,  0.63028
 174,   0.6931, 0.630512
 175,   0.6931, 0.633294
 176,   0.6931,  0.63291
 177,   0.6931, 0.633637
 178,   0.6932, 0.633921
 179,   0.6932, 0.632341
 180,   0.6932, 0.627992
 181,   0.6932, 0.625857
 182,   0.6932, 0.629286
 183,   0.6932, 0.630185
 184,   0.6932, 0.635166
 185,   0.6932, 0.634299
 186,   0.6932, 0.632935
 187,   0.6943, 0.631779
 188,    0.696, 0.634927
 189,    0.696, 0.632119
 190,    0.696, 0.631291
 191,   0.6973, 0.636483
 192,   0.6973, 0.636379
 193,   0.6973, 0.635857
 194,   0.6973, 0.632625
 195,   0.6973, 0.638098
 196,   0.6986,  0.64016
 197,    0.702, 0.640262
 198,    0.702, 0.642599
 199,   0.7031, 0.638529
 200,   0.7031, 0.640413
 201,    0.704, 0.637958
 202,   0.7081, 0.639176
 203,   0.7081, 0.639773
 204,   0.7084, 0.638731
 205,   0.7084, 0.634947
 206,   0.7101, 0.641546
 207,   0.7101, 0.641272
 208,   0.7101, 0.640377
 209,   0.7101, 0.642274
 210,   0.7117, 0.643101
 211,   0.7117, 0.644593
 212,   0.7117, 0.643978
 213,   0.7117, 0.645639
 214,   0.7117, 0.641113
 215,   0.7117,  0.64659
 216,   0.7129, 0.648414
 217,   0.7129, 0.642775
 218,   0.7159,  0.64188
 219,   0.7159,  0.64877
 220,   0.7159, 0.649224
 221,   0.7178, 0.651039
 222,   0.7178,  0.64951
 223,   0.7178, 0.648766
 224,   0.7178, 0.647577
 225,   0.7213,  0.64967
 226,   0.7213, 0.650743
 227,   0.7234, 0.650671
 228,   0.7234, 0.647062
 229,   0.7234, 0.650624
 230,   0.7234, 0.653832
 231,   0.7234, 0.652951
 232,   0.7234, 0.655487
 233,   0.7234, 0.654315
 234,   0.7241, 0.655625
 235,   0.7244, 0.656642
 236,   0.7244, 0.656406
 237,   0.7256, 0.653897
 238,   0.7256, 0.656327
 239,   0.7256, 0.655345
 240,   0.7256, 0.658351
 241,   0.7256, 0.652973
 242,   0.7258, 0.652667
 243,   0.7258, 0.652085
 244,   0.7258, 0.655396
 245,   0.7258, 0.656395
 246,   0.7258, 0.651789
 247,   0.7263, 0.651659
 248,   0.7263, 0.655008
 249,   0.7271, 0.654329
 250,   0.7271, 0.654148
 251,   0.7271, 0.651973
 252,   0.7271, 0.654907
 253,   0.7271, 0.653836
 254,   0.7316, 0.654944
 255,   0.7316, 0.655166
 256,   0.7322, 0.654053
 257,   0.7322, 0.655062
 258,   0.7322, 0.662485
 259,   0.7322, 0.664895
 260,   0.7322, 0.660101
 261,   0.7322, 0.655447
 262,   0.7332, 0.656847
 263,   0.7332, 0.658521
 264,   0.7332, 0.661247
 265,   0.7332, 0.662017
 266,   0.7392, 0.661557
 267,   0.7392, 0.663644
 268,   0.7392, 0.661308
 269,   0.7392, 0.659458
 270,   0.7392, 0.657845
 271,   0.7392, 0.657525
 272,   0.7392, 0.660326
 273,   0.7398, 0.663047
 274,   0.7398, 0.662035
 275,   0.7398, 0.664552
 276,   0.7398, 0.658638
 277,   0.7398, 0.661868
 278,    0.742,  0.66226
 279,    0.742,  0.66467
 280,    0.742, 0.660233
 281,    0.742, 0.665435
 282,   0.7428, 0.659858
 283,   0.7428,  0.66423
 284,   0.7469, 0.668635
 285,   0.7469, 0.668895
 286,   0.7469, 0.672146
 287,   0.7469, 0.673634
 288,   0.7469, 0.673391
 289,   0.7469, 0.668548
 290,   0.7469, 0.675155
 291,   0.7469, 0.673005
 292,   0.7469, 0.669144
 293,   0.7475, 0.668719
 294,   0.7475, 0.669796
 295,   0.7475,  0.67345
 296,   0.7475, 0.671011
 297,   0.7475, 0.674529
 298,   0.7475, 0.670826
 299,   0.7475, 0.676981
 300,   0.7475, 0.671194
 301,   0.7475, 0.669951
 302,   0.7475,   0.6655
 303,   0.7475, 0.670492
 304,   0.7475, 0.668793
 305,   0.7476, 0.674368
 306,   0.7498, 0.676125
 307,   0.7498, 0.674783
 308,   0.7498, 0.673634
 309,   0.7498, 0.674511
 310,   0.7498, 0.675044
 311,   0.7499,  0.67347
 312,   0.7499, 0.674207
 313,   0.7499, 0.676237
 314,   0.7499, 0.675172
 315,   0.7499, 0.674504
 316,   0.7499, 0.674263
 317,   0.7499, 0.673732
 318,   0.7516, 0.671938
 319,   0.7516, 0.674181
 320,   0.7516, 0.673342
 321,   0.7516, 0.677638
 322,    0.752, 0.677809
 323,   0.7522, 0.680022
 324,   0.7522, 0.678189
 325,   0.7522, 0.676141
 326,   0.7522, 0.676901
 327,   0.7534, 0.677332
 328,   0.7534, 0.674408
 329,   0.7534, 0.675952
 330,   0.7534, 0.677655
 331,   0.7534, 0.680606
 332,   0.7534, 0.679772
 333,   0.7534, 0.681879
 334,   0.7534, 0.676613
 335,   0.7534, 0.683008
 336,   0.7534, 0.681982
 337,   0.7534, 0.678532
 338,   0.7534, 0.679334
 339,   0.7534, 0.679124
 340,   0.7534, 0.680705
 341,   0.7534, 0.679294
 342,   0.7534, 0.679669
 343,   0.7534, 0.681799
 344,   0.7534, 0.678644
 345,   0.7534, 0.682651
 346,    0.755, 0.680295
 347,    0.755, 0.683323
 348,    0.755, 0.681079
 349,    0.755, 0.675389
 350,    0.755, 0.679578
 351,    0.755, 0.676403
 352,    0.755, 0.679349
 353,    0.755, 0.677463
 354,    0.755, 0.684708
 355,   0.7566,   0.6825
 356,   0.7566, 0.677044
 357,   0.7566, 0.678794
 358,   0.7566, 0.678096
 359,   0.7566, 0.680282
 360,   0.7566, 0.681744
 361,   0.7566,  0.68084
 362,   0.7566, 0.679245
 363,   0.7566, 0.680278
 364,   0.7566, 0.679323
 365,   0.7566, 0.680661
 366,   0.7575, 0.680408
 367,   0.7575, 0.681165
 368,   0.7575, 0.683271
 369,   0.7575, 0.682298
 370,   0.7575, 0.680853
 371,   0.7575, 0.685453
 372,   0.7575, 0.685071
 373,   0.7575, 0.684622
 374,   0.7575, 0.678576
 375,   0.7575, 0.682827
 376,   0.7575, 0.679304
 377,   0.7575, 0.682833
 378,   0.7575,  0.68146
 379,   0.7575, 0.681666
 380,   0.7575, 0.689311
 381,   0.7575, 0.683197
 382,   0.7575, 0.680029
 383,   0.7575, 0.684084
 384,   0.7575,  0.68836
 385,   0.7581, 0.685265
 386,   0.7581, 0.682023
 387,   0.7581, 0.687199
 388,   0.7581, 0.686355
 389,   0.7581, 0.682965
 390,   0.7581, 0.691844
 391,   0.7583, 0.679996
 392,   0.7583, 0.682203
 393,   0.7583, 0.685148
