accuracy,sparse
  0.7942, 0.311258
  0.7941, 0.311258
  0.7941, 0.309934
  0.7941, 0.305298
   0.794, 0.312583
   0.794, 0.307285
   0.794, 0.309934
   0.794, 0.308609
  0.7939, 0.309934
  0.7939, 0.308609
  0.7939, 0.309272
  0.7939, 0.307947
  0.7939, 0.307947
  0.7938, 0.312583
  0.7938, 0.308609
  0.7938, 0.313245
  0.7938, 0.310596
  0.7938, 0.311258
  0.7937, 0.310596
  0.7937, 0.309272
   0.793, 0.310596
  0.7896, 0.307285
  0.7894, 0.307285
  0.7892, 0.311258
  0.7882, 0.311921
  0.7875, 0.309934
  0.7872, 0.315894
  0.7861, 0.308609
  0.7857, 0.308609
  0.7851,  0.30596
  0.7849, 0.310596
  0.7848, 0.309272
  0.7846, 0.307285
  0.7833, 0.315232
  0.7818, 0.312583
  0.7817, 0.312583
  0.7817, 0.307285
  0.7816, 0.311258
  0.7813, 0.311258
  0.7812, 0.310596
   0.781, 0.309272
  0.7808, 0.310596
  0.7805, 0.311258
  0.7796,  0.31457
  0.7796, 0.307285
  0.7785, 0.303973
  0.7783, 0.310596
  0.7777,  0.30596
  0.7771, 0.310596
  0.7769, 0.312583
  0.7768, 0.310596
  0.7768, 0.307947
  0.7759, 0.311258
  0.7755, 0.312583
  0.7755, 0.305298
  0.7754, 0.310596
  0.7751, 0.312583
  0.7747, 0.304636
  0.7745, 0.310596
  0.7742, 0.305298
  0.7737, 0.305298
  0.7734, 0.309272
  0.7728, 0.315232
  0.7727, 0.305298
  0.7725, 0.309272
   0.772, 0.311258
  0.7719, 0.307947
  0.7714, 0.311258
  0.7712, 0.311258
  0.7707, 0.310596
  0.7706, 0.309934
  0.7706, 0.307947
  0.7703, 0.313245
  0.7701, 0.311258
  0.7699, 0.309272
  0.7699, 0.310596
  0.7697, 0.317881
  0.7693, 0.312583
  0.7693, 0.312583
  0.7688, 0.311921
  0.7687, 0.308609
  0.7685, 0.313907
  0.7684, 0.303311
  0.7683, 0.309272
  0.7675, 0.313907
  0.7675, 0.310596
  0.7674, 0.306623
  0.7673, 0.313907
  0.7673, 0.313245
  0.7672, 0.312583
  0.7668, 0.305298
  0.7667, 0.306623
  0.7663,  0.31457
  0.7659, 0.308609
  0.7657, 0.312583
  0.7656, 0.308609
  0.7655, 0.311258
  0.7644, 0.311258
  0.7639, 0.308609
  0.7638, 0.310596
  0.7638, 0.312583
  0.7635, 0.310596
  0.7625, 0.307285
  0.7623, 0.308609
   0.762, 0.309934
  0.7619, 0.304636
  0.7618, 0.309934
  0.7617, 0.306623
  0.7616, 0.315232
  0.7612, 0.308609
   0.761, 0.309272
  0.7609, 0.306623
  0.7602, 0.313245
  0.7595, 0.312583
  0.7589, 0.313907
  0.7588, 0.306623
  0.7587, 0.311258
  0.7586, 0.307285
  0.7584, 0.312583
  0.7581,  0.31457
  0.7579, 0.305298
  0.7578, 0.313907
  0.7572, 0.309934
  0.7567, 0.313245
  0.7566, 0.307285
  0.7565, 0.309934
  0.7558, 0.316556
  0.7555, 0.309934
  0.7553, 0.310596
  0.7551, 0.310596
  0.7546, 0.311258
   0.754, 0.308609
  0.7532, 0.308609
  0.7531, 0.311921
   0.753, 0.307947
  0.7524, 0.309272
  0.7521, 0.311258
  0.7512, 0.308609
  0.7511, 0.307285
   0.751, 0.308609
   0.751, 0.307947
  0.7507, 0.309934
  0.7506, 0.308609
  0.7506, 0.307947
  0.7506, 0.309934
  0.7505, 0.307285
  0.7504, 0.309272
  0.7498,  0.30596
  0.7498,  0.31457
  0.7495,  0.31457
  0.7489, 0.309272
  0.7489, 0.313907
  0.7487, 0.311258
   0.748, 0.311258
  0.7476, 0.313907
  0.7475, 0.307285
  0.7474, 0.313907
  0.7474, 0.311921
  0.7472, 0.306623
  0.7468, 0.313907
  0.7455, 0.307285
  0.7454, 0.305298
   0.745, 0.311258
   0.745, 0.313907
  0.7449, 0.309272
  0.7443, 0.307947
  0.7443, 0.309934
  0.7443, 0.307947
  0.7436, 0.303311
  0.7435, 0.311258
   0.743, 0.312583
  0.7429, 0.311921
  0.7429, 0.306623
  0.7426, 0.311258
  0.7422, 0.309272
   0.742, 0.303973
  0.7407, 0.311921
  0.7406, 0.313907
  0.7406, 0.313907
    0.74, 0.307947
  0.7398, 0.311921
  0.7391, 0.311921
  0.7386, 0.311921
  0.7373, 0.309934
  0.7373,  0.30596
   0.737, 0.315232
  0.7365, 0.309934
  0.7365, 0.312583
  0.7365, 0.312583
   0.736, 0.313245
  0.7354, 0.309272
   0.735, 0.311258
  0.7348, 0.310596
  0.7345, 0.309934
  0.7343, 0.307285
  0.7338,  0.30596
   0.733, 0.305298
  0.7327, 0.315232
  0.7327, 0.309272
  0.7326, 0.310596
  0.7322, 0.311921
  0.7317, 0.308609
  0.7313, 0.311921
  0.7311, 0.311921
  0.7311,  0.31457
  0.7306, 0.310596
  0.7303,  0.30596
  0.7303, 0.308609
  0.7292, 0.310596
  0.7287, 0.309934
  0.7283, 0.311258
  0.7282, 0.307285
   0.728, 0.313245
  0.7264, 0.308609
  0.7262, 0.309272
   0.726, 0.313245
  0.7254, 0.307947
  0.7248, 0.306623
  0.7242, 0.309934
  0.7229, 0.313245
  0.7229, 0.310596
  0.7229, 0.305298
  0.7209, 0.311258
  0.7207, 0.311921
    0.72, 0.312583
  0.7195, 0.313907
  0.7192, 0.312583
  0.7191, 0.312583
  0.7181, 0.308609
  0.7177,  0.32053
  0.7176, 0.316556
  0.7174, 0.313907
   0.717, 0.311921
  0.7164, 0.313907
  0.7151, 0.307285
  0.7149, 0.303311
  0.7149, 0.312583
  0.7149, 0.309272
  0.7144, 0.307947
   0.714, 0.308609
  0.7138, 0.307947
  0.7136, 0.317219
  0.7135, 0.304636
  0.7122, 0.307947
   0.712, 0.311258
  0.7116, 0.313245
  0.7113, 0.309934
  0.7109, 0.309934
  0.7108, 0.307947
  0.7101, 0.313907
  0.7097, 0.309934
  0.7095, 0.301987
   0.709, 0.307285
  0.7075, 0.312583
  0.7071, 0.307947
   0.707, 0.309934
  0.7066, 0.301987
  0.7061, 0.315894
  0.7057, 0.309934
  0.7055, 0.313907
  0.7052, 0.309272
  0.7046, 0.309272
  0.7043, 0.313245
  0.7032, 0.306623
  0.7027, 0.313245
  0.7019, 0.303973
  0.7013, 0.309934
  0.6999, 0.310596
  0.6998, 0.309934
  0.6988, 0.309934
  0.6977, 0.312583
  0.6976, 0.310596
  0.6975, 0.304636
  0.6971, 0.311258
  0.6969, 0.308609
   0.696, 0.313245
   0.695, 0.309272
  0.6948, 0.312583
  0.6946,  0.30596
   0.694,  0.30596
  0.6939,  0.30596
  0.6938,  0.30596
  0.6937, 0.306623
  0.6936, 0.307285
  0.6919, 0.311921
  0.6917, 0.301325
  0.6915, 0.313245
  0.6909, 0.315894
  0.6908, 0.306623
  0.6908, 0.311258
  0.6896, 0.310596
  0.6888, 0.311921
  0.6882,  0.31457
  0.6871, 0.310596
  0.6871, 0.311258
  0.6868, 0.307285
  0.6865, 0.315232
  0.6858, 0.308609
  0.6857,  0.31457
  0.6856, 0.305298
  0.6855, 0.307285
  0.6849, 0.310596
  0.6848,  0.30596
  0.6844, 0.312583
  0.6837, 0.312583
  0.6833, 0.313907
  0.6831, 0.319205
  0.6827, 0.309272
  0.6824, 0.315894
  0.6824, 0.306623
  0.6819, 0.303973
  0.6806, 0.305298
  0.6799, 0.307285
  0.6795, 0.308609
  0.6791, 0.313907
  0.6789, 0.312583
  0.6774, 0.308609
  0.6773, 0.315894
   0.677, 0.303973
  0.6761, 0.310596
  0.6759, 0.311921
  0.6757, 0.307947
  0.6756, 0.309272
  0.6755, 0.307947
  0.6754, 0.309934
  0.6753, 0.312583
  0.6749, 0.311258
  0.6744, 0.309934
  0.6737, 0.307285
  0.6725, 0.309272
  0.6706, 0.311258
  0.6702, 0.307285
  0.6691, 0.313907
   0.669, 0.318543
   0.667, 0.309272
   0.667, 0.318543
  0.6665, 0.311921
  0.6663, 0.303311
  0.6661, 0.311921
  0.6657, 0.308609
  0.6656, 0.307285
  0.6654, 0.306623
  0.6644, 0.311258
   0.663, 0.311258
  0.6621,  0.30596
  0.6614, 0.305298
  0.6602, 0.311921
   0.659, 0.311921
  0.6579, 0.310596
  0.6539, 0.305298
  0.6539, 0.309934
  0.6509, 0.316556
  0.6473, 0.307947
  0.6471, 0.312583
  0.6465, 0.309934
  0.6463, 0.313245
  0.6456, 0.310596
  0.6456, 0.313245
  0.6447, 0.309272
  0.6408, 0.311921
  0.6406, 0.302649
  0.6374, 0.313245
   0.637, 0.303973
  0.6329, 0.309934
  0.6326, 0.313907
  0.6279, 0.305298
  0.6264, 0.310596
  0.6258, 0.306623
  0.6249, 0.310596
  0.6247,  0.30596
  0.6242, 0.311921
  0.6233, 0.302649
  0.6223, 0.311258
  0.6219, 0.307285
  0.6213,  0.31457
  0.6142, 0.308609
  0.6132, 0.309272
   0.613, 0.306623
  0.6126, 0.307285
  0.6046, 0.306623
   0.602, 0.308609
  0.5991, 0.311258
  0.5962,  0.31457
  0.5947, 0.309272
  0.5917, 0.309934
  0.5896, 0.313245
  0.5862, 0.304636
  0.5786, 0.312583
  0.5785, 0.307285
  0.5785, 0.307947
  0.5697, 0.309272
  0.5693, 0.311258
   0.569, 0.307947
  0.5669, 0.315232
   0.566, 0.313907
  0.5514, 0.307285
  0.5179,  0.31457
  0.5082, 0.313245
  0.5017, 0.310596
  0.4919, 0.313907
