gen, roulette_binary_onepoint_best, roulette_binary_onepoint_ave
   1,   0.2136, 0.102451
   2,    0.221, 0.108778
   3,    0.221, 0.112461
   4,   0.2248, 0.114409
   5,   0.2248, 0.120807
   6,   0.2275, 0.116875
   7,   0.2275, 0.120701
   8,   0.2544, 0.121588
   9,   0.2544, 0.125848
  10,   0.2736, 0.126391
  11,   0.2736, 0.126115
  12,   0.2867, 0.129279
  13,   0.2867, 0.126303
  14,   0.2867, 0.128886
  15,   0.2867,  0.13226
  16,   0.2867, 0.134715
  17,   0.2894,  0.13528
  18,   0.2909, 0.138693
  19,   0.3047, 0.144756
  20,   0.3087, 0.148519
  21,   0.3087, 0.158892
  22,   0.3313, 0.165863
  23,   0.3313, 0.183735
  24,   0.3415, 0.193182
  25,   0.3415, 0.199965
  26,   0.3415, 0.205693
  27,   0.3415, 0.213487
  28,   0.3415, 0.218224
  29,   0.3508, 0.221676
  30,   0.3508,  0.22794
  31,   0.3615, 0.229597
  32,   0.3785,  0.24079
  33,   0.3785, 0.240351
  34,   0.3822, 0.246782
  35,   0.3822, 0.246312
  36,   0.3822, 0.247847
  37,   0.3822, 0.243668
  38,   0.3822, 0.244349
  39,   0.3822, 0.248699
  40,   0.3822, 0.250598
  41,   0.3822, 0.254067
  42,   0.3822, 0.259386
  43,   0.3921, 0.260418
  44,   0.3921, 0.263261
  45,   0.3921, 0.260455
  46,   0.3921, 0.267418
  47,   0.3921, 0.267694
  48,   0.3921, 0.269274
  49,   0.3921, 0.271049
  50,   0.3934, 0.270205
  51,    0.418, 0.274604
  52,    0.418,  0.27901
  53,    0.418, 0.278197
  54,    0.418,  0.28609
  55,    0.418, 0.287228
  56,    0.418, 0.289056
  57,    0.418, 0.288742
  58,    0.418, 0.287158
  59,   0.4269,  0.28531
  60,   0.4304, 0.287337
  61,   0.4304, 0.290532
  62,    0.433, 0.289792
  63,   0.4378,  0.28723
  64,   0.4378, 0.288099
  65,   0.4378, 0.291147
  66,   0.4378, 0.297925
  67,   0.4378, 0.292266
  68,   0.4378, 0.299159
  69,    0.443,  0.30382
  70,    0.443, 0.301738
  71,   0.4542, 0.299424
  72,   0.4542, 0.306004
  73,   0.4671, 0.308686
  74,   0.4671, 0.313334
  75,    0.472, 0.314854
  76,    0.472, 0.316229
  77,    0.472, 0.321655
  78,    0.472, 0.323173
  79,    0.472, 0.328853
  80,    0.472, 0.330323
  81,   0.4764, 0.327871
  82,   0.4764,  0.33193
  83,    0.479, 0.329329
  84,    0.479, 0.326093
  85,    0.479, 0.326001
  86,   0.4818, 0.329757
  87,   0.4818, 0.335004
  88,   0.4818, 0.343784
  89,   0.4819,   0.3388
  90,   0.4819, 0.342061
  91,   0.4956,  0.34081
  92,   0.4956, 0.340226
  93,   0.4956, 0.344487
  94,   0.4956, 0.343808
  95,   0.4956, 0.343822
  96,   0.4956, 0.346813
  97,   0.4956, 0.344785
  98,   0.4956, 0.345376
  99,   0.5036, 0.342436
 100,   0.5036, 0.343286
 101,   0.5036, 0.348197
 102,   0.5036,  0.35124
 103,   0.5036, 0.350266
 104,   0.5036, 0.351812
 105,   0.5036, 0.352698
 106,   0.5036, 0.353454
 107,   0.5036, 0.350419
 108,   0.5036, 0.354695
 109,   0.5134, 0.359518
 110,   0.5134, 0.358773
 111,   0.5134, 0.355565
 112,   0.5134, 0.356868
 113,   0.5134,  0.35772
 114,   0.5134, 0.352541
 115,   0.5134, 0.350096
 116,   0.5134, 0.348789
 117,   0.5134, 0.348525
 118,   0.5134, 0.351105
 119,   0.5134, 0.351774
 120,   0.5134, 0.359193
 121,   0.5134, 0.362862
 122,   0.5134, 0.361838
 123,   0.5134, 0.361271
 124,   0.5134, 0.367405
 125,   0.5134, 0.367357
 126,   0.5134, 0.360069
 127,   0.5134, 0.355803
 128,   0.5134, 0.357989
 129,   0.5134,  0.35868
 130,   0.5134, 0.358263
 131,   0.5154, 0.353082
 132,    0.516, 0.357191
 133,    0.516, 0.354945
 134,    0.516, 0.356183
 135,    0.516,  0.35305
 136,    0.516, 0.355584
 137,   0.5167, 0.352645
 138,   0.5167, 0.354445
 139,   0.5187, 0.354955
 140,   0.5189, 0.357525
 141,   0.5189,  0.35487
 142,   0.5189, 0.356818
 143,   0.5189, 0.351841
 144,   0.5189, 0.357035
 145,   0.5189, 0.358688
 146,   0.5189, 0.364446
 147,   0.5189, 0.366466
 148,   0.5288, 0.361985
 149,   0.5288, 0.364527
 150,   0.5288, 0.364377
 151,   0.5288,   0.3751
 152,   0.5288,  0.37536
 153,   0.5288, 0.375216
 154,   0.5288, 0.370168
 155,   0.5288, 0.370664
 156,   0.5288, 0.372032
 157,   0.5288, 0.368607
 158,   0.5351, 0.373329
 159,   0.5351, 0.366253
 160,   0.5351, 0.366356
 161,   0.5351, 0.368805
 162,   0.5351,  0.36841
 163,   0.5351, 0.371017
 164,   0.5351, 0.367983
 165,   0.5351, 0.369417
 166,   0.5351, 0.374065
 167,   0.5351, 0.377786
 168,   0.5351, 0.377324
 169,   0.5351, 0.370778
 170,   0.5351, 0.370867
 171,   0.5351, 0.374211
 172,    0.541, 0.376516
 173,    0.541, 0.376869
 174,    0.541,  0.37428
 175,    0.541, 0.376926
 176,    0.541,  0.37115
 177,    0.541, 0.373772
 178,    0.541, 0.376604
 179,    0.541, 0.380042
 180,    0.541, 0.382408
 181,    0.541, 0.380048
 182,   0.5612,  0.38061
 183,   0.5612, 0.383702
 184,   0.5612, 0.389127
 185,   0.5612, 0.386219
 186,   0.5612, 0.385656
 187,   0.5612, 0.382536
 188,   0.5612, 0.387163
 189,   0.5612, 0.388068
 190,   0.5612, 0.386354
 191,   0.5612, 0.384133
 192,   0.5612,  0.37786
 193,   0.5612, 0.378597
 194,   0.5614, 0.381159
 195,   0.5614,    0.387
 196,   0.5614,  0.38827
 197,   0.5614, 0.385565
 198,   0.5614, 0.389296
 199,   0.5614, 0.388849
 200,   0.5614, 0.389468
 201,   0.5614, 0.391255
 202,   0.5614, 0.395979
 203,   0.5614, 0.394387
 204,   0.5614, 0.389082
 205,   0.5614,  0.39412
 206,   0.5647,  0.39513
 207,   0.5647, 0.392568
 208,   0.5647, 0.394093
 209,   0.5647, 0.397141
 210,   0.5699,  0.39479
 211,   0.5699,   0.3965
 212,   0.5699,  0.39731
 213,   0.5699, 0.397366
 214,   0.5699, 0.399085
 215,   0.5699, 0.403729
 216,   0.5699, 0.402837
