gen, roulette_binary_twopoint_best, roulette_binary_twopoint_ave
   1,   0.2136, 0.102451
   2,   0.2341, 0.109957
   3,   0.2341, 0.108492
   4,   0.2611,  0.11679
   5,   0.2896, 0.116996
   6,   0.2896, 0.119578
   7,   0.2896, 0.119428
   8,   0.2896, 0.122057
   9,   0.2896, 0.123916
  10,   0.2896, 0.131668
  11,   0.2962, 0.137038
  12,   0.2962,  0.14492
  13,   0.2962, 0.141221
  14,   0.2962, 0.146924
  15,   0.3023, 0.155112
  16,   0.3023, 0.163355
  17,   0.3359, 0.171589
  18,   0.3359, 0.182409
  19,   0.3428, 0.183683
  20,   0.3476, 0.192084
  21,   0.3605, 0.197534
  22,   0.3605, 0.210154
  23,   0.3605, 0.218986
  24,   0.3605, 0.228694
  25,   0.3764, 0.242034
  26,   0.3764, 0.241783
  27,   0.3777, 0.252218
  28,   0.3869, 0.253542
  29,   0.3869, 0.258602
  30,   0.3882, 0.263298
  31,   0.4098, 0.265608
  32,   0.4126, 0.271553
  33,   0.4126, 0.271953
  34,    0.414,  0.27048
  35,    0.414, 0.271027
  36,   0.4253, 0.270128
  37,   0.4253, 0.275833
  38,   0.4253, 0.277029
  39,   0.4253, 0.278549
  40,   0.4287, 0.278392
  41,   0.4327,  0.28498
  42,   0.4327, 0.283909
  43,    0.433,  0.27865
  44,   0.4474, 0.287871
  45,   0.4596, 0.291504
  46,   0.4596, 0.293732
  47,   0.4596, 0.298037
  48,   0.4596, 0.297711
  49,   0.4596, 0.301976
  50,   0.4618, 0.306031
  51,   0.4732, 0.308793
  52,   0.4732,  0.31183
  53,   0.4732, 0.317338
  54,   0.4732, 0.316894
  55,   0.4732, 0.317086
  56,   0.4732, 0.312332
  57,   0.4732, 0.307674
  58,   0.4777, 0.310383
  59,   0.4777, 0.312694
  60,   0.4784, 0.316752
  61,   0.4784, 0.319319
  62,   0.4896, 0.323925
  63,   0.4896, 0.326729
  64,   0.4896, 0.321604
  65,   0.4896, 0.318546
  66,   0.4896, 0.323445
  67,   0.4896, 0.325259
  68,   0.4896, 0.325662
  69,   0.4896, 0.329732
  70,   0.5008, 0.332929
  71,   0.5008, 0.334209
  72,   0.5008, 0.334414
  73,   0.5008, 0.338373
  74,   0.5008,  0.34181
  75,   0.5008, 0.343495
  76,   0.5008, 0.342816
  77,   0.5008, 0.343809
  78,   0.5008, 0.343837
  79,   0.5008, 0.345366
  80,   0.5008, 0.344284
  81,   0.5008, 0.348141
  82,   0.5008, 0.348974
  83,   0.5008, 0.353279
