gen, roulette_binary_uniform_best, roulette_binary_uniform_ave
   1,   0.2136, 0.102451
   2,   0.2172, 0.103566
   3,   0.2172, 0.104836
   4,   0.2278, 0.104921
   5,   0.2278, 0.109568
   6,   0.2278,  0.11125
   7,   0.2771, 0.110429
   8,   0.2771, 0.111207
   9,   0.2771, 0.109429
  10,   0.2771, 0.113331
  11,   0.2771,  0.11041
  12,   0.2771, 0.114883
  13,   0.2771, 0.113117
  14,   0.2771, 0.115916
  15,   0.2771, 0.116224
  16,   0.2771, 0.119136
  17,   0.2771, 0.117812
  18,   0.2771, 0.120969
  19,   0.2771, 0.119917
  20,   0.2771, 0.122726
  21,   0.2771, 0.125046
  22,   0.2771, 0.123912
  23,   0.2771, 0.124196
  24,   0.2771, 0.125359
  25,   0.2771, 0.125106
  26,   0.2771, 0.127078
  27,   0.2771, 0.128438
  28,   0.2771, 0.128295
  29,   0.2771, 0.128213
  30,   0.2771, 0.131603
  31,   0.2771, 0.131357
  32,   0.2771, 0.135476
  33,   0.2771, 0.135477
  34,   0.2771,  0.12906
  35,   0.2971, 0.136762
  36,   0.2971, 0.135722
  37,   0.2971, 0.133068
  38,   0.2971, 0.134234
  39,   0.2971, 0.138287
  40,   0.2971,  0.13575
  41,   0.2971, 0.136803
  42,   0.2971, 0.138968
  43,   0.3089, 0.140713
  44,   0.3089, 0.145635
  45,   0.3089, 0.139355
  46,   0.3089, 0.137444
  47,   0.3089, 0.139219
  48,   0.3089, 0.141482
  49,   0.3089, 0.145296
  50,   0.3089, 0.141617
  51,   0.3089,  0.14648
  52,   0.3089, 0.145794
  53,   0.3089, 0.145829
  54,   0.3089, 0.142917
  55,   0.3089, 0.148658
  56,   0.3089, 0.149242
  57,   0.3089, 0.148492
  58,   0.3089, 0.150235
  59,   0.3089, 0.151487
  60,   0.3089, 0.154541
  61,   0.3089, 0.152622
  62,   0.3089, 0.155233
  63,   0.3089, 0.158961
  64,   0.3089, 0.157675
  65,   0.3089, 0.159295
  66,   0.3089, 0.159586
  67,   0.3089, 0.158943
  68,   0.3089, 0.159015
  69,   0.3089, 0.161032
  70,   0.3111, 0.159243
  71,   0.3111, 0.163761
  72,   0.3111, 0.167975
  73,   0.3377, 0.167761
  74,   0.3377, 0.164278
  75,   0.3377, 0.168302
  76,   0.3377, 0.169611
  77,   0.3377, 0.168394
  78,   0.3377, 0.166844
  79,   0.3377, 0.168813
  80,   0.3377, 0.171835
  81,   0.3377, 0.173509
  82,   0.3377, 0.171205
  83,   0.3377,  0.17782
  84,   0.3377, 0.176317
  85,   0.3377,   0.1786
  86,   0.3377, 0.177801
  87,   0.3377, 0.173903
  88,   0.3377, 0.182112
  89,   0.3377,  0.18022
  90,   0.3377, 0.180991
  91,   0.3384, 0.182766
  92,   0.3384, 0.180974
  93,   0.3384, 0.183015
  94,   0.3384, 0.186356
  95,   0.3384, 0.187047
  96,   0.3384, 0.183424
  97,   0.3384, 0.187498
  98,   0.3384, 0.185622
  99,   0.3384, 0.188834
 100,   0.3409,  0.19328
 101,   0.3409, 0.195232
 102,   0.3409, 0.194187
 103,   0.3409, 0.193387
 104,   0.3456, 0.194806
 105,   0.3456, 0.194093
 106,   0.3456, 0.195882
 107,   0.3456, 0.192518
 108,   0.3456,  0.18966
 109,   0.3579, 0.189229
 110,   0.3579, 0.191198
 111,   0.3579, 0.190545
 112,   0.3579,   0.1918
 113,   0.3579, 0.193926
 114,   0.3579,   0.1957
 115,    0.387, 0.201013
 116,    0.387, 0.204742
 117,    0.387, 0.203224
 118,    0.387, 0.204419
 119,    0.387, 0.208052
 120,    0.387, 0.209742
 121,    0.387, 0.212749
 122,    0.387, 0.210683
 123,    0.387, 0.211381
 124,    0.387, 0.216046
 125,    0.387, 0.214709
 126,    0.387, 0.220245
 127,    0.387, 0.220826
 128,   0.3953, 0.221887
 129,   0.3953,  0.22398
 130,   0.3953, 0.221958
 131,   0.3953, 0.219899
 132,   0.3953, 0.227611
 133,   0.3953, 0.225843
 134,   0.3953, 0.224825
 135,   0.3953,  0.22397
 136,   0.3953,  0.22693
 137,   0.3953, 0.230738
 138,   0.3953, 0.226854
 139,   0.3953, 0.230524
 140,   0.3953, 0.229069
 141,   0.3953,  0.23108
 142,   0.3953, 0.230044
 143,   0.3953, 0.231335
 144,   0.3953, 0.234869
 145,   0.3971, 0.234449
 146,   0.3971, 0.232382
 147,   0.3971, 0.232276
 148,   0.3971, 0.237478
 149,   0.3971, 0.243719
 150,   0.3971, 0.242132
 151,   0.3987,  0.24132
 152,   0.3987, 0.241709
 153,   0.3988, 0.240147
 154,   0.3988, 0.241995
 155,   0.4091, 0.240665
 156,   0.4091, 0.241874
 157,   0.4332, 0.246611
 158,   0.4332, 0.249101
 159,   0.4332,  0.24331
 160,   0.4332, 0.246503
 161,   0.4332, 0.248262
 162,   0.4332, 0.250398
 163,   0.4332, 0.257406
 164,   0.4332,  0.25212
 165,   0.4332, 0.253486
 166,   0.4332, 0.254561
 167,   0.4332, 0.251663
 168,   0.4382, 0.256076
 169,   0.4382, 0.254916
 170,   0.4382, 0.255285
 171,   0.4382, 0.256163
 172,   0.4382, 0.256426
 173,   0.4382, 0.262989
 174,   0.4382, 0.262773
 175,   0.4382, 0.268752
 176,   0.4382, 0.260072
 177,   0.4382, 0.269479
 178,   0.4382, 0.267521
 179,   0.4382, 0.268563
 180,   0.4382, 0.269208
