gen, roulette_float_onepoint_best, roulette_float_onepoint_ave
   1,   0.2046, 0.102435
   2,   0.2161, 0.105777
   3,    0.227, 0.111458
   4,    0.227, 0.113081
   5,   0.2292, 0.116044
   6,   0.2293,  0.12139
   7,    0.255, 0.121104
   8,    0.255, 0.123421
   9,    0.255, 0.126328
  10,    0.255, 0.127976
  11,    0.255, 0.132097
  12,    0.255,  0.13522
  13,   0.2666, 0.142183
  14,   0.2666, 0.144607
  15,   0.2666,  0.14472
  16,   0.2666,  0.14556
  17,   0.2689, 0.149615
  18,    0.291, 0.156385
  19,    0.291, 0.157134
  20,    0.291,  0.16424
  21,    0.291, 0.167414
  22,   0.3248, 0.173344
  23,   0.3248, 0.175488
  24,   0.3248, 0.176798
  25,   0.3248, 0.187861
  26,   0.3248, 0.191094
  27,   0.3248, 0.193668
  28,   0.3248, 0.198796
  29,   0.3248, 0.199842
  30,   0.3248, 0.202505
  31,   0.3248, 0.205066
  32,   0.3248, 0.210238
  33,   0.3248, 0.207918
  34,   0.3248, 0.207502
  35,   0.3248, 0.206829
  36,   0.3358, 0.211296
  37,   0.3358,  0.21056
  38,   0.3608, 0.210784
  39,   0.3608, 0.213197
  40,   0.3608, 0.214606
  41,   0.3608, 0.211886
  42,   0.3668, 0.212723
  43,   0.3668, 0.212481
  44,   0.3668, 0.217085
  45,   0.3675,  0.21214
  46,   0.3684,  0.22158
  47,   0.3684,  0.22969
  48,   0.3783, 0.239521
  49,     0.38, 0.252553
  50,     0.38, 0.264729
  51,   0.3832, 0.266522
  52,   0.3832, 0.273365
  53,   0.3832, 0.275828
  54,   0.3922, 0.275494
  55,   0.4016, 0.276263
  56,   0.4016, 0.273718
  57,   0.4016, 0.277521
  58,   0.4016, 0.279355
  59,   0.4016,  0.27907
  60,   0.4016, 0.278046
  61,   0.4021, 0.276692
  62,   0.4021, 0.280867
  63,   0.4038, 0.279677
  64,    0.404,  0.28084
  65,    0.404, 0.280528
  66,    0.404, 0.278856
  67,   0.4091,  0.28049
  68,   0.4192, 0.282136
  69,   0.4192, 0.282039
  70,   0.4192, 0.282775
  71,   0.4192, 0.278751
  72,   0.4192, 0.283118
  73,   0.4192, 0.284297
  74,    0.425,  0.28969
  75,    0.427, 0.291299
  76,   0.4314, 0.291055
  77,   0.4417, 0.293491
  78,   0.4417, 0.294056
  79,   0.4417, 0.295255
  80,   0.4417, 0.289614
  81,   0.4466, 0.291058
  82,   0.4476, 0.290004
  83,   0.4476, 0.294181
  84,   0.4476, 0.291505
  85,   0.4476, 0.292444
  86,   0.4476, 0.288034
  87,   0.4622, 0.296702
  88,   0.4715, 0.295911
  89,   0.4715, 0.302548
  90,   0.4715, 0.311109
  91,   0.4715, 0.309817
  92,   0.4715, 0.308429
  93,   0.4715, 0.310185
  94,   0.4715, 0.310582
  95,   0.4715,  0.31275
  96,   0.4715, 0.312988
  97,   0.4715, 0.318873
  98,   0.4715, 0.312309
  99,   0.4715, 0.323308
 100,   0.4715, 0.320705
 101,   0.4715, 0.320657
 102,   0.4715, 0.319646
 103,   0.4715, 0.327361
 104,   0.4715, 0.333617
 105,   0.4715,  0.33338
 106,   0.4715, 0.327278
 107,   0.4715, 0.325587
 108,   0.4715, 0.330318
 109,   0.4715,  0.32735
 110,   0.4715, 0.324612
 111,   0.4715, 0.324284
 112,   0.4715, 0.321842
 113,   0.4715,  0.32077
 114,   0.4718,  0.32569
 115,   0.4718, 0.323774
 116,   0.4718, 0.323632
 117,   0.4761, 0.326087
 118,   0.4838, 0.320693
 119,   0.4838, 0.319896
 120,   0.4861, 0.320929
 121,   0.4861, 0.323763
 122,   0.4861, 0.323329
 123,   0.4861, 0.324495
 124,   0.4861, 0.326074
 125,   0.4861, 0.329577
 126,   0.4861, 0.329883
 127,   0.4861,  0.33775
 128,   0.4861, 0.343518
 129,   0.4861, 0.343831
 130,   0.4881, 0.347347
 131,   0.4881, 0.349026
 132,   0.4881, 0.352715
 133,   0.4904,  0.34717
 134,   0.4945,  0.35016
 135,   0.5054, 0.357823
 136,   0.5054, 0.362556
 137,   0.5054, 0.365707
 138,   0.5074,  0.35769
 139,   0.5074,  0.36222
 140,   0.5074, 0.363972
 141,   0.5074, 0.360789
 142,   0.5074, 0.353025
 143,   0.5074, 0.358132
 144,   0.5074, 0.353475
 145,   0.5074, 0.354355
 146,   0.5074, 0.351041
 147,   0.5074,  0.35875
 148,   0.5074, 0.358408
 149,   0.5074, 0.359468
 150,   0.5074, 0.360109
 151,   0.5074, 0.361382
 152,   0.5074, 0.361682
 153,   0.5074, 0.362831
 154,   0.5074,  0.36042
 155,   0.5074, 0.361609
 156,   0.5074, 0.359757
 157,   0.5074, 0.365641
 158,   0.5074, 0.361709
 159,   0.5074,   0.3618
 160,   0.5074, 0.361732
 161,   0.5074, 0.364574
 162,   0.5074, 0.366821
 163,   0.5074, 0.373345
 164,   0.5074, 0.373601
 165,   0.5074, 0.370956
 166,   0.5074, 0.373414
 167,   0.5074, 0.371209
 168,   0.5074, 0.373158
 169,   0.5212, 0.373697
 170,   0.5212, 0.370848
 171,   0.5212, 0.372893
 172,   0.5212, 0.368562
 173,   0.5212,  0.36728
 174,   0.5212, 0.368215
 175,   0.5212, 0.373164
 176,   0.5212, 0.372237
 177,   0.5212,  0.36873
 178,   0.5212, 0.367512
 179,   0.5212, 0.372699
 180,   0.5212, 0.375418
 181,   0.5212, 0.370575
 182,   0.5212, 0.370292
 183,   0.5212, 0.364637
 184,   0.5231, 0.366559
 185,   0.5231, 0.366872
 186,   0.5231, 0.373665
 187,   0.5231, 0.366987
 188,   0.5231, 0.371716
 189,   0.5231, 0.365777
 190,   0.5231, 0.365931
 191,   0.5231, 0.363389
 192,   0.5231,  0.36535
 193,   0.5231, 0.365413
 194,   0.5231, 0.368267
 195,   0.5231, 0.373152
 196,   0.5231, 0.375169
 197,   0.5231,  0.37805
 198,   0.5231, 0.378394
 199,   0.5231, 0.374489
 200,   0.5231, 0.369793
 201,   0.5231, 0.372215
 202,   0.5231, 0.375038
 203,   0.5231, 0.377533
 204,   0.5231, 0.375318
 205,   0.5231, 0.382325
