gen, roulette_float_twopoint_best, roulette_float_twopoint_ave
   1,   0.2046, 0.102435
   2,   0.2776, 0.109435
   3,   0.2776, 0.111516
   4,   0.2776, 0.115576
   5,   0.2776, 0.121714
   6,   0.2816, 0.122786
   7,   0.2861,  0.12966
   8,   0.2861, 0.133718
   9,   0.2924,  0.14124
  10,   0.3363, 0.147988
  11,   0.3363, 0.152029
  12,   0.3363, 0.164032
  13,   0.3363, 0.177071
  14,   0.3391, 0.182192
  15,   0.3391,  0.19351
  16,   0.3526, 0.209172
  17,   0.3526, 0.213842
  18,   0.3531, 0.219836
  19,   0.3635, 0.229748
  20,   0.3636, 0.237685
  21,   0.3636,  0.23936
  22,   0.3821, 0.247629
  23,   0.3821,  0.25097
  24,   0.3821,   0.2553
  25,   0.3821, 0.259113
  26,   0.3821, 0.257788
  27,     0.39, 0.258351
  28,   0.3949, 0.258585
  29,   0.3949, 0.260509
  30,   0.3949, 0.265781
  31,   0.3949, 0.266073
  32,   0.3973, 0.268766
  33,   0.3989, 0.267818
  34,   0.3989, 0.273666
  35,   0.3989, 0.275401
  36,   0.3989, 0.272264
  37,   0.4062, 0.274878
  38,   0.4062, 0.276148
  39,   0.4082, 0.276971
  40,   0.4082, 0.278241
  41,   0.4082,  0.28019
  42,   0.4082, 0.278643
  43,   0.4082, 0.278759
  44,   0.4082, 0.279768
  45,   0.4086, 0.278399
  46,   0.4086, 0.281656
  47,   0.4156, 0.284268
  48,   0.4156, 0.286653
  49,   0.4158, 0.288526
  50,   0.4224, 0.289445
  51,   0.4224, 0.287432
  52,   0.4224, 0.287577
  53,   0.4315, 0.289499
  54,   0.4315, 0.295521
  55,   0.4355, 0.295507
  56,   0.4355, 0.291958
  57,   0.4355, 0.296176
  58,   0.4355, 0.298431
  59,   0.4355, 0.296978
  60,   0.4361,  0.30177
  61,   0.4361, 0.298235
  62,   0.4361, 0.298246
  63,   0.4427, 0.300987
  64,   0.4427, 0.303701
  65,   0.4427, 0.305294
  66,   0.4427, 0.303371
  67,   0.4427, 0.308619
  68,   0.4427, 0.308141
  69,   0.4571, 0.307784
  70,   0.4571, 0.309058
  71,   0.4571, 0.310798
  72,   0.4583, 0.314617
  73,   0.4583, 0.308386
  74,   0.4583, 0.310739
  75,   0.4583, 0.308919
  76,   0.4583, 0.306407
  77,   0.4583, 0.310228
  78,   0.4583, 0.318782
  79,   0.4583, 0.317704
  80,   0.4585, 0.319032
  81,   0.4585, 0.324266
  82,   0.4613, 0.318748
  83,    0.463, 0.320301
  84,    0.463, 0.324669
  85,   0.4771, 0.324668
  86,   0.4823, 0.330176
  87,   0.4823, 0.330535
  88,   0.4823, 0.338576
  89,   0.4823, 0.335223
  90,   0.4823, 0.340104
  91,   0.4823, 0.342479
  92,    0.496, 0.336722
  93,    0.496, 0.344029
  94,    0.496, 0.345648
  95,    0.496, 0.347464
  96,    0.496,  0.34705
  97,    0.496,  0.34343
  98,   0.4996, 0.348085
  99,   0.4996, 0.352365
 100,   0.4996, 0.349322
 101,   0.4996, 0.353951
 102,   0.4996,   0.3501
 103,   0.4996, 0.356665
 104,   0.4996, 0.354215
 105,   0.4996, 0.354013
 106,   0.4996,  0.35881
 107,   0.4996, 0.355288
 108,   0.4996, 0.358681
 109,   0.4996, 0.357386
 110,   0.4996, 0.356858
 111,   0.4996, 0.354568
 112,   0.4996, 0.353222
 113,   0.4996, 0.356033
 114,   0.4996, 0.353845
 115,   0.4996,  0.35145
 116,   0.4996, 0.352626
 117,   0.4996, 0.353148
 118,   0.4996, 0.354572
 119,   0.4996, 0.356521
 120,   0.4996, 0.358267
 121,   0.4996, 0.357115
 122,   0.5029, 0.357776
 123,   0.5029, 0.355134
 124,   0.5029, 0.356884
 125,   0.5029, 0.358211
 126,   0.5029, 0.362107
 127,   0.5029, 0.365999
 128,   0.5071, 0.363927
 129,   0.5071, 0.366259
 130,   0.5071,  0.36321
 131,   0.5071, 0.358532
 132,   0.5071,   0.3571
 133,   0.5071, 0.362968
 134,   0.5071,  0.36385
 135,   0.5113, 0.361356
 136,   0.5113, 0.360465
 137,   0.5186, 0.368979
 138,   0.5186, 0.363572
 139,   0.5186, 0.361072
 140,   0.5186, 0.355962
 141,   0.5186, 0.361997
 142,   0.5186, 0.361908
 143,   0.5221,  0.36013
 144,   0.5235,  0.35634
