gen, roulette_float_uniform_best, roulette_float_uniform_ave
   1,   0.2046, 0.102435
   2,   0.2286, 0.104412
   3,   0.2286, 0.106068
   4,   0.2286, 0.109196
   5,   0.2286, 0.103172
   6,   0.2286, 0.109134
   7,   0.2286, 0.108943
   8,   0.2429, 0.107712
   9,   0.2429, 0.114903
  10,   0.2429, 0.115627
  11,   0.2429, 0.113031
  12,   0.2429, 0.114023
  13,   0.2586, 0.111855
  14,   0.2586, 0.111045
  15,   0.2586, 0.114942
  16,   0.2586, 0.110909
  17,   0.2586,  0.11316
  18,   0.2586, 0.113848
  19,   0.2586, 0.115038
  20,   0.2586, 0.113664
  21,   0.2586, 0.117513
  22,   0.2586,   0.1182
  23,   0.2586, 0.120253
  24,   0.2674, 0.121182
  25,   0.2674, 0.122589
  26,   0.2674, 0.122548
  27,   0.2674, 0.119906
  28,   0.2674, 0.120431
  29,   0.2674, 0.122246
  30,   0.2674, 0.124832
  31,   0.2674, 0.123394
  32,   0.2674, 0.125748
  33,   0.2674, 0.128155
  34,   0.2674, 0.127411
  35,   0.2674,  0.12885
  36,   0.2674, 0.132257
  37,   0.2674,  0.13308
  38,   0.2674, 0.130964
  39,   0.2674, 0.136303
  40,   0.2674, 0.134679
  41,   0.2674, 0.137615
  42,   0.2769, 0.135185
  43,   0.2769, 0.135722
  44,   0.2769, 0.138436
  45,   0.2769, 0.139397
  46,   0.2769, 0.140026
  47,   0.2769, 0.139976
  48,   0.2769, 0.146811
  49,   0.2873, 0.144243
  50,   0.2899, 0.148747
  51,   0.2899, 0.144623
  52,   0.2899, 0.148067
  53,   0.2899, 0.150242
  54,   0.2899, 0.145735
  55,   0.2899, 0.152617
  56,    0.322, 0.151022
  57,    0.322, 0.150744
  58,    0.322, 0.148164
  59,    0.322, 0.155608
  60,    0.322, 0.157409
  61,    0.322, 0.159047
  62,    0.322,  0.15844
  63,    0.322, 0.159613
  64,    0.322, 0.158205
  65,    0.322, 0.162201
  66,    0.322, 0.158036
  67,    0.322, 0.158571
  68,    0.322, 0.163204
  69,    0.322, 0.167688
  70,    0.322, 0.172553
  71,    0.322, 0.172036
  72,    0.322, 0.173346
  73,    0.322, 0.169288
  74,    0.322, 0.173385
  75,    0.322, 0.174987
  76,   0.3252, 0.172499
  77,   0.3252, 0.171518
  78,   0.3252, 0.176036
  79,   0.3252, 0.176563
  80,   0.3252, 0.178212
  81,   0.3256, 0.183503
  82,   0.3258, 0.184114
  83,   0.3258, 0.184875
  84,   0.3258, 0.186266
  85,   0.3258, 0.185876
  86,   0.3258, 0.184041
  87,   0.3258, 0.183561
  88,   0.3258, 0.186574
  89,   0.3405,  0.19143
  90,   0.3405, 0.189208
  91,   0.3405, 0.190751
  92,   0.3405, 0.185149
  93,   0.3405, 0.191133
  94,   0.3405, 0.191026
  95,   0.3405, 0.187902
  96,   0.3459, 0.189635
  97,   0.3459, 0.191881
