gen, roulette_scalar_uniform_best, roulette_scalar_uniform_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.108732
   3,   0.2485, 0.111181
   4,   0.2485, 0.108601
   5,   0.2485, 0.111203
   6,   0.2485, 0.111773
   7,   0.2485,  0.11293
   8,   0.2485, 0.112494
   9,   0.2485,  0.11161
  10,   0.2485, 0.109659
  11,   0.2485,   0.1124
  12,   0.2485, 0.113047
  13,   0.2485, 0.111829
  14,   0.2485, 0.113721
  15,   0.2485, 0.115047
  16,   0.2485, 0.113203
  17,   0.2774, 0.116484
  18,   0.2774, 0.116535
  19,   0.2774, 0.110784
  20,   0.2774, 0.116337
  21,   0.2774, 0.117574
  22,   0.2774, 0.118231
  23,   0.3277, 0.120609
  24,   0.3277, 0.121132
  25,   0.3277, 0.120208
  26,   0.3277, 0.116059
  27,   0.3277, 0.122158
  28,   0.3277, 0.122385
  29,   0.3277, 0.123567
  30,   0.3277, 0.127122
  31,   0.3277, 0.122649
  32,   0.3277,  0.13142
  33,   0.3277,  0.12885
  34,   0.3277,  0.12745
  35,   0.3277, 0.132504
  36,   0.3277, 0.130626
  37,   0.3277, 0.134573
  38,   0.3277, 0.138672
  39,   0.3277,  0.13667
  40,   0.3277, 0.134741
  41,   0.3277,  0.13528
  42,   0.3277, 0.134036
  43,   0.3277, 0.137776
  44,   0.3277, 0.137179
  45,   0.3277, 0.141401
  46,   0.3277, 0.139134
  47,   0.3277, 0.141856
  48,   0.3277, 0.139948
  49,   0.3277, 0.140345
  50,   0.3277, 0.142264
  51,   0.3277, 0.143592
  52,   0.3277, 0.145251
  53,   0.3277,  0.14824
  54,   0.3277, 0.150293
  55,   0.3277,  0.15134
  56,   0.3277, 0.153676
  57,   0.3451, 0.156341
  58,   0.3451, 0.156053
  59,   0.3451, 0.161276
  60,   0.3451, 0.162763
  61,   0.3451, 0.162406
  62,   0.3451, 0.158643
  63,   0.3451, 0.163938
  64,   0.3451, 0.165064
  65,   0.3451, 0.166498
  66,   0.3451, 0.168191
  67,   0.3451, 0.168046
  68,   0.3451, 0.168838
  69,   0.3451, 0.173489
  70,   0.3451, 0.175761
  71,   0.3354, 0.173471
  72,   0.3354, 0.173617
  73,   0.3354, 0.171998
  74,   0.3377, 0.173518
  75,   0.3377,   0.1693
  76,   0.3377, 0.174577
  77,   0.3377, 0.172515
  78,   0.3377, 0.174014
  79,   0.3377, 0.177207
  80,   0.3377, 0.176107
  81,   0.3377, 0.180189
  82,   0.3377,  0.18053
  83,   0.3377, 0.177784
  84,   0.3377, 0.181529
  85,   0.3377, 0.180024
  86,   0.3377, 0.181427
  87,   0.3377, 0.182487
  88,   0.3377, 0.187153
  89,   0.3377,  0.18763
  90,   0.3377, 0.183857
  91,   0.3377, 0.184397
  92,   0.3377, 0.187538
  93,   0.3453,  0.18729
  94,   0.3453, 0.184043
  95,   0.3443, 0.186058
  96,   0.3443, 0.186461
  97,   0.3443, 0.191973
  98,   0.3443, 0.192631
  99,   0.3443,  0.19455
 100,   0.3443, 0.198122
 101,   0.3443,   0.1964
 102,   0.3443, 0.194812
 103,   0.3443, 0.194565
 104,   0.3443, 0.199668
 105,   0.3443, 0.202201
 106,   0.3443, 0.199748
 107,   0.3544, 0.202193
 108,   0.3544, 0.204391
 109,   0.3544, 0.199746
 110,   0.3544, 0.205407
 111,   0.3544, 0.206738
 112,   0.3544, 0.209082
 113,   0.4211, 0.209943
 114,   0.4211, 0.209674
 115,   0.4211,  0.21352
 116,   0.4211, 0.212753
 117,   0.4211, 0.215141
 118,   0.4211, 0.214693
 119,   0.4211, 0.217323
 120,   0.4211, 0.216941
 121,   0.4211,  0.22098
