accuracy,sparse
  0.7311, 0.464901
  0.7264,  0.46755
  0.7334, 0.459603
  0.7261, 0.466887
  0.7269, 0.462914
  0.7275, 0.460927
  0.7239, 0.464238
  0.7316, 0.455629
  0.7219, 0.464901
  0.7279, 0.457616
  0.7248, 0.460265
  0.7241, 0.460927
  0.7186, 0.466225
  0.7259, 0.457616
  0.7292, 0.454305
  0.7251, 0.458278
  0.7284, 0.454967
  0.7197, 0.463576
  0.7288, 0.454305
    0.73,  0.45298
  0.7272, 0.455629
  0.7089, 0.462914
  0.7025, 0.458278
  0.6942, 0.446358
  0.6889,  0.44702
  0.6762,  0.44702
  0.6766, 0.445695
  0.6657, 0.451656
  0.6474,  0.46755
  0.6516, 0.462252
  0.6547,  0.45894
  0.6604,  0.45298
  0.6471, 0.459603
  0.6528, 0.449669
  0.6458, 0.453642
  0.6519,  0.44702
  0.6469, 0.448344
  0.6477, 0.446358
  0.6328, 0.457616
  0.6437, 0.446358
  0.6258, 0.462914
  0.6277,  0.45894
  0.6348, 0.451656
  0.6314, 0.453642
  0.6347, 0.449007
  0.6323, 0.450993
  0.6227, 0.457616
  0.6255, 0.453642
  0.6303, 0.447682
  0.6255, 0.445695
  0.6219, 0.449007
    0.62, 0.450331
  0.6154, 0.454305
  0.6132, 0.456291
  0.6242, 0.441722
  0.6074, 0.456954
   0.605,  0.45894
  0.6073, 0.456291
  0.6124, 0.449007
  0.6004, 0.459603
   0.593, 0.464238
  0.5997, 0.455629
  0.6047, 0.450331
  0.6143, 0.440397
  0.6017, 0.450993
  0.5982, 0.454305
  0.5954, 0.456954
  0.6003, 0.450993
   0.594, 0.456954
  0.6028, 0.447682
  0.6224, 0.427815
  0.5973, 0.452318
  0.6016, 0.447682
   0.602, 0.446358
  0.5939, 0.454305
  0.5918, 0.456291
  0.5887, 0.456954
   0.591, 0.454305
  0.5863,  0.45894
   0.588, 0.456291
   0.597, 0.445695
  0.5921, 0.450331
  0.5949, 0.445695
  0.5888, 0.449007
  0.5734, 0.462914
  0.5952, 0.440397
  0.5857, 0.449007
  0.5905, 0.443709
  0.5838, 0.449007
  0.5808, 0.451656
  0.5819, 0.450331
   0.588, 0.443709
   0.587, 0.444371
   0.583, 0.448344
  0.5768,  0.45298
  0.5793, 0.450331
  0.5831, 0.445695
  0.5876,  0.44106
  0.5763, 0.452318
  0.5892, 0.438411
  0.5613, 0.464901
  0.5824, 0.443709
  0.5712, 0.453642
  0.5823, 0.441722
  0.5656, 0.458278
  0.5812,  0.44106
   0.569,  0.45298
  0.5881,  0.43245
   0.572, 0.448344
  0.5683, 0.451656
  0.5828, 0.437086
  0.5753, 0.443046
  0.5885, 0.429801
  0.5689, 0.448344
  0.5667, 0.450331
  0.5718, 0.444371
  0.5762, 0.439073
  0.5718, 0.441722
  0.5718,  0.44106
  0.5645, 0.448344
  0.5534, 0.458278
    0.56, 0.450993
   0.564, 0.443709
  0.5577, 0.449669
  0.5635, 0.443709
  0.5645,  0.44106
  0.5562, 0.448344
  0.5545, 0.449669
  0.5691, 0.433775
  0.5574, 0.445033
  0.5524, 0.449669
  0.5536, 0.447682
  0.5471, 0.453642
  0.5443, 0.456291
   0.536, 0.464238
  0.5399, 0.460265
  0.5591, 0.440397
  0.5517, 0.447682
  0.5628, 0.435762
   0.559, 0.439073
  0.5533, 0.444371
  0.5454, 0.451656
  0.5434, 0.452318
  0.5456, 0.449007
  0.5507, 0.443046
  0.5458, 0.447682
  0.5496, 0.443709
  0.5417, 0.450331
  0.5427, 0.449007
  0.5511, 0.437086
  0.5406,  0.44702
  0.5351, 0.452318
  0.5462,  0.44106
  0.5446, 0.442384
  0.5393, 0.447682
  0.5402, 0.444371
  0.5388, 0.445033
  0.5382, 0.445033
  0.5415, 0.441722
  0.5322, 0.450993
