gen, roulette_scalar_onepoint_best, roulette_scalar_onepoint_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.107235
   3,   0.2327, 0.114169
   4,   0.2278, 0.113596
   5,    0.265,  0.11923
   6,    0.265, 0.118481
   7,    0.265, 0.120139
   8,    0.265, 0.123728
   9,    0.265, 0.124983
  10,    0.265, 0.127459
  11,   0.2654, 0.128856
  12,   0.2748, 0.130135
  13,   0.2748, 0.134125
  14,   0.2748, 0.140487
  15,   0.2748,  0.14669
  16,   0.2748, 0.154515
  17,   0.2748, 0.156325
  18,   0.2748, 0.163126
  19,   0.2771, 0.169478
  20,   0.2771, 0.172315
  21,   0.2771, 0.172912
  22,   0.2771, 0.179631
  23,   0.2771,  0.18209
  24,   0.3087, 0.181347
  25,   0.3087, 0.183023
  26,   0.3087, 0.188211
  27,   0.3087, 0.192567
  28,   0.3087, 0.196093
  29,   0.3087, 0.198925
  30,    0.319, 0.203216
  31,   0.3438, 0.203681
  32,   0.3438, 0.205896
  33,   0.3438, 0.208201
  34,   0.3438, 0.214719
  35,   0.3438, 0.214707
  36,   0.3438,  0.22128
  37,   0.3581, 0.227983
  38,   0.3533, 0.231873
  39,   0.3533, 0.232762
  40,   0.3533, 0.234945
  41,   0.3712, 0.240304
  42,   0.3692, 0.243502
  43,   0.3692, 0.247213
  44,   0.3692, 0.247518
  45,   0.3866, 0.253125
  46,   0.3866, 0.251704
  47,   0.3874, 0.253502
  48,   0.3874, 0.253036
  49,   0.3874, 0.257167
  50,   0.3874, 0.261912
  51,   0.3874, 0.262723
  52,   0.3874, 0.265722
  53,   0.3874, 0.266421
  54,   0.3954, 0.266307
  55,   0.3954, 0.270712
  56,   0.3954, 0.270759
  57,   0.3954, 0.270081
  58,   0.3954, 0.265976
  59,   0.3954,  0.26733
  60,   0.3954, 0.272763
  61,   0.3954, 0.272772
  62,   0.3999, 0.275624
  63,   0.3999, 0.276584
  64,   0.3999, 0.274601
  65,   0.3999, 0.274403
  66,    0.406,  0.27362
  67,    0.406,  0.27005
  68,    0.406, 0.275497
  69,    0.406, 0.276157
  70,    0.406, 0.272238
  71,   0.3935,  0.27371
  72,   0.3935, 0.274893
  73,   0.3935, 0.275864
  74,   0.3935, 0.274269
  75,   0.4163, 0.275672
  76,   0.4163, 0.277223
  77,   0.4049, 0.279079
  78,   0.4239, 0.282143
  79,   0.4265, 0.286544
  80,   0.4265, 0.283051
  81,   0.4265,  0.28442
  82,   0.4265,  0.28836
  83,   0.4265,  0.28695
  84,   0.4265, 0.283536
  85,   0.4265, 0.284911
  86,   0.4265,  0.28732
  87,   0.4369, 0.288589
  88,   0.4369, 0.288865
  89,   0.4572, 0.294504
  90,   0.4572, 0.293726
  91,   0.4572, 0.300214
  92,   0.4572, 0.291767
  93,   0.4572, 0.288513
  94,   0.4572,  0.28528
  95,   0.4572, 0.294562
  96,   0.4572, 0.300125
  97,   0.4572, 0.300213
  98,   0.4572, 0.297302
  99,   0.4592,  0.30088
 100,   0.4592, 0.300691
 101,   0.4592, 0.301854
 102,   0.4592, 0.300603
 103,   0.4706, 0.300189
 104,   0.4706, 0.309404
 105,   0.4706, 0.309671
 106,   0.4706, 0.308992
 107,   0.4706, 0.311673
 108,   0.4706, 0.311945
 109,   0.4637, 0.315539
 110,   0.4783, 0.317674
 111,   0.4783, 0.317397
 112,   0.4783, 0.320427
 113,   0.4776, 0.322255
 114,   0.4887, 0.327905
 115,   0.4887, 0.328765
 116,   0.4913, 0.327899
 117,   0.4943, 0.325949
 118,   0.4943, 0.335662
 119,   0.4943, 0.336664
 120,   0.4943, 0.341364
 121,   0.4943, 0.344265
 122,   0.4928, 0.344368
 123,   0.5071, 0.344132
 124,   0.5071, 0.345718
 125,   0.4899, 0.343972
 126,   0.5004, 0.343592
 127,   0.5004, 0.345295
 128,   0.5004,  0.34515
 129,   0.5004, 0.348517
 130,   0.5004, 0.352976
 131,   0.5055, 0.355753
 132,   0.5055, 0.357636
 133,   0.5055, 0.355318
 134,   0.5055,  0.35785
 135,   0.5055, 0.354414
 136,    0.529, 0.358074
 137,    0.529, 0.361651
 138,    0.529, 0.362736
 139,    0.529, 0.363276
 140,    0.529, 0.364077
 141,    0.529,   0.3669
 142,    0.529, 0.368297
 143,    0.529, 0.369572
 144,    0.529, 0.372887
 145,    0.529,  0.37458
 146,    0.529, 0.377299
 147,    0.529, 0.374455
 148,    0.531, 0.370958
 149,    0.531, 0.373191
 150,    0.531, 0.377214
 151,   0.5464, 0.374178
 152,   0.5464, 0.376743
 153,   0.5464, 0.379737
 154,   0.5464,  0.37672
 155,   0.5439, 0.378908
 156,   0.5439, 0.383191
 157,   0.5439,  0.38013
 158,   0.5439, 0.380007
 159,   0.5439, 0.380379
 160,   0.5439, 0.380524
 161,   0.5577,  0.37604
 162,   0.5577, 0.372052
 163,   0.5577,  0.37577
 164,   0.5577, 0.370302
 165,   0.5577, 0.370545
 166,   0.5577, 0.368566
 167,   0.5577,  0.37672
 168,   0.5577, 0.375789
 169,   0.5577, 0.374328
 170,   0.5577, 0.376943
 171,   0.5577, 0.378227
 172,   0.5577, 0.377174
 173,   0.5577, 0.379942
 174,   0.5577, 0.375828
 175,   0.5577, 0.380917
 176,   0.5577, 0.374677
 177,   0.5577,   0.3786
 178,   0.5577, 0.383519
 179,   0.5577, 0.382662
 180,   0.5577, 0.381474
 181,   0.5577, 0.387354
 182,   0.5577, 0.385204
 183,   0.5577, 0.387026
 184,   0.5577, 0.388174
 185,   0.5577, 0.391231
 186,   0.5577, 0.388253
 187,   0.5571, 0.393342
 188,    0.563, 0.399412
 189,    0.563, 0.396686
 190,    0.563, 0.394432
 191,    0.563, 0.390143
 192,   0.5615, 0.388256
 193,   0.5615, 0.390634
 194,   0.5619, 0.389031
 195,   0.5619,  0.38627
 196,   0.5619, 0.388863
 197,   0.5619, 0.393081
 198,   0.5774, 0.397734
 199,   0.5774, 0.398212
 200,   0.5774, 0.395452
 201,   0.5774, 0.393431
 202,   0.5774, 0.400093
 203,   0.5774, 0.404738
 204,   0.5774, 0.401566
 205,   0.5774, 0.401656
 206,   0.5774, 0.406376
 207,   0.5774, 0.401024
 208,   0.5774, 0.401895
 209,   0.5774, 0.406882
 210,   0.5774, 0.406808
 211,   0.5774, 0.407162
 212,   0.5774, 0.411533
 213,   0.5774, 0.412968
 214,   0.5774,  0.41876
 215,   0.5801, 0.418519
 216,   0.5801, 0.412748
 217,   0.5801,  0.41907
 218,   0.5717, 0.414068
 219,    0.586, 0.413777
 220,    0.586,  0.41473
 221,   0.5721,   0.4176
 222,   0.5721, 0.418536
 223,   0.5721, 0.414432
 224,   0.5721,  0.41791
 225,   0.5721, 0.414753
 226,   0.5721, 0.416833
 227,   0.5721, 0.412732
 228,   0.5721, 0.410699
 229,   0.5721, 0.414432
 230,   0.5721, 0.415976
 231,   0.5721, 0.421322
 232,   0.5721, 0.414848
 233,   0.5721, 0.415657
 234,   0.5701, 0.415201
 235,   0.5766, 0.418991
 236,   0.5803, 0.422644
 237,   0.5803, 0.425123
 238,   0.5794, 0.427716
 239,   0.5794, 0.425071
 240,   0.5794, 0.428559
 241,   0.5794, 0.425606
 242,   0.5794, 0.427559
 243,   0.5794, 0.423378
 244,   0.5829,  0.42709
 245,   0.5829, 0.432306
 246,   0.5791, 0.432357
 247,   0.5791,  0.42935
 248,   0.5844, 0.430268
 249,   0.5844, 0.434212
 250,   0.5844, 0.438049
 251,   0.5844, 0.437293
 252,   0.6026, 0.435065
 253,   0.6026, 0.435091
 254,   0.6026, 0.429914
 255,   0.6026,  0.43149
 256,    0.602, 0.431726
 257,    0.602, 0.434625
 258,    0.602, 0.427535
 259,    0.602, 0.427534
 260,    0.602, 0.431144
 261,    0.602, 0.430444
 262,    0.602, 0.433775
 263,    0.602, 0.428373
 264,    0.602, 0.430995
 265,    0.602, 0.433882
 266,    0.602, 0.429642
 267,    0.602, 0.427266
 268,    0.602, 0.431634
 269,    0.602, 0.431407
 270,    0.602, 0.427886
 271,    0.602, 0.431174
 272,    0.602,  0.42922
 273,    0.602, 0.422787
 274,    0.602, 0.426025
 275,    0.602, 0.431993
 276,    0.602, 0.428258
 277,    0.602,  0.43583
 278,    0.602, 0.435714
 279,    0.602, 0.434762
 280,    0.602, 0.430277
 281,    0.602, 0.434379
