accuracy,sparse
  0.7528, 0.441722
  0.7552, 0.438411
  0.7501, 0.442384
  0.7556, 0.435762
  0.7521, 0.439073
  0.7551, 0.435762
  0.7535, 0.437086
   0.755, 0.435099
   0.751, 0.439073
  0.7515, 0.438411
  0.7495, 0.440397
  0.7521, 0.437748
  0.7492, 0.440397
  0.7524, 0.437086
  0.7543, 0.435099
  0.7527, 0.436424
  0.7507, 0.438411
  0.7512, 0.437748
  0.7531, 0.435762
  0.7535, 0.435099
  0.7197, 0.437748
  0.7115, 0.437086
  0.7122,  0.43245
  0.7078, 0.436424
  0.7039, 0.435762
  0.6981, 0.439735
   0.704, 0.431126
  0.7074, 0.427152
  0.6948, 0.435099
  0.6902, 0.433775
  0.6889, 0.433113
   0.678, 0.438411
  0.6819, 0.433775
  0.6869, 0.428477
  0.6694, 0.435762
  0.6779, 0.427152
  0.6655,  0.43245
  0.6574, 0.439735
  0.6592, 0.437748
  0.6571, 0.435099
  0.6611, 0.429801
  0.6543, 0.434437
  0.6537, 0.434437
  0.6433, 0.443709
  0.6527, 0.431126
  0.6639, 0.419868
  0.6473, 0.436424
  0.6459, 0.437748
  0.6518, 0.431788
  0.6387, 0.440397
   0.647, 0.431788
  0.6322, 0.443046
  0.6402, 0.430464
  0.6479, 0.422517
    0.64, 0.429139
   0.633, 0.435762
  0.6485, 0.419205
  0.6258, 0.440397
  0.6316, 0.433775
  0.6494, 0.413907
   0.629,  0.43245
  0.6259, 0.433113
  0.6204, 0.438411
  0.6332, 0.425166
  0.6191, 0.439073
  0.6214, 0.436424
  0.6262, 0.430464
  0.6294,  0.42649
  0.6147,  0.44106
  0.6238, 0.431788
  0.6156, 0.438411
  0.6266, 0.425166
  0.6198, 0.431788
   0.618,  0.43245
  0.6185, 0.430464
  0.6198, 0.428477
  0.6067, 0.438411
  0.6129, 0.431126
  0.6061, 0.437748
  0.6164,  0.42649
  0.6144, 0.428477
  0.6041, 0.437748
  0.6065,  0.43245
  0.5979, 0.436424
  0.6082, 0.423841
  0.5986, 0.433113
  0.6085, 0.421192
   0.599, 0.430464
  0.5975, 0.431788
  0.5955, 0.433113
  0.5966, 0.429139
  0.5924, 0.433113
  0.5991, 0.425166
  0.5976,  0.42649
   0.584, 0.438411
  0.5909, 0.431126
  0.5947,  0.42649
  0.5898, 0.431126
  0.5981,  0.42053
  0.5754, 0.439073
  0.5892, 0.423179
  0.5834, 0.427815
  0.5792, 0.431788
   0.577, 0.433113
  0.5825, 0.427152
  0.5749, 0.433775
  0.5822, 0.424503
  0.5757, 0.430464
   0.573,  0.43245
   0.577, 0.427815
   0.571, 0.433775
  0.5641, 0.440397
  0.5672,  0.43245
  0.5608, 0.438411
  0.5759, 0.423179
  0.5774, 0.421192
  0.5738, 0.424503
  0.5664, 0.431788
  0.5732, 0.423841
  0.5643, 0.431788
  0.5676, 0.428477
  0.5594, 0.436424
  0.5579, 0.437086
  0.5709, 0.423179
  0.5614, 0.431788
  0.5583, 0.434437
  0.5604, 0.431788
   0.551, 0.440397
  0.5713, 0.419868
  0.5561, 0.434437
  0.5547, 0.435762
  0.5553, 0.435099
  0.5613, 0.427815
  0.5651, 0.423841
  0.5507, 0.437748
  0.5642, 0.423179
  0.5558, 0.431126
   0.563, 0.423841
  0.5494, 0.435762
  0.5568, 0.427815
  0.5584, 0.425828
  0.5524, 0.431788
   0.564, 0.419868
  0.5614, 0.419868
  0.5483, 0.430464
  0.5526, 0.425166
  0.5506,  0.42649
  0.5461, 0.430464
  0.5404, 0.433775
  0.5401, 0.433113
  0.5352, 0.437086
  0.5433, 0.427815
  0.5385, 0.431126
  0.5324, 0.435762
  0.5533,  0.41457
  0.5433, 0.423179
  0.5399, 0.424503
  0.5309, 0.433113
  0.5363, 0.425828
  0.5418, 0.419868
   0.528, 0.433113
  0.5278, 0.433113
  0.5356, 0.424503
  0.5284, 0.431126
  0.5401, 0.419205
  0.5378, 0.421192
   0.529, 0.429801
  0.5243, 0.434437
  0.5281, 0.429801
  0.5309,  0.42649
  0.5349, 0.421854
  0.5203, 0.435762
  0.5164, 0.439073
  0.5219,  0.43245
  0.5282, 0.425828
  0.5216, 0.431788
  0.5352, 0.417219
  0.5207, 0.431126
  0.5264, 0.425166
   0.529, 0.422517
   0.534, 0.417219
  0.5149, 0.435762
  0.5254, 0.424503
   0.511, 0.438411
   0.522, 0.427152
  0.5214, 0.427152
   0.515, 0.433113
  0.5097, 0.438411
  0.5205, 0.427152
    0.52, 0.427152
  0.5131, 0.433775
  0.5084, 0.437086
   0.517, 0.428477
  0.5224, 0.422517
  0.5156, 0.428477
  0.5114, 0.431788
  0.5084, 0.431788
  0.5087, 0.430464
  0.5049, 0.433775
  0.5145, 0.422517
  0.5097, 0.425828
   0.506, 0.429139
   0.499, 0.435762
  0.4967, 0.437748
  0.5097, 0.423179
  0.5098, 0.422517
  0.4946, 0.435099
  0.5096, 0.419205
  0.5043, 0.424503
  0.4975, 0.431126
  0.4987, 0.429139
  0.4957, 0.431788
  0.4993, 0.425828
  0.5029, 0.421854
  0.4903, 0.434437
  0.4936, 0.431126
   0.503, 0.421192
  0.4879, 0.435099
  0.4892, 0.433775
  0.4947, 0.425828
  0.4965, 0.423841
  0.4943, 0.425828
  0.5055,  0.41457
  0.4909, 0.429139
  0.4968, 0.423179
    0.49, 0.427815
  0.4834, 0.433113
  0.4939, 0.422517
  0.4829, 0.433113
  0.4895,  0.42649
  0.4815,  0.43245
  0.4855, 0.427815
  0.4782,  0.43245
  0.4806, 0.429801
  0.4882, 0.421854
  0.4842, 0.425828
  0.4766,  0.43245
  0.4825,  0.42649
  0.4798, 0.429139
    0.47, 0.438411
  0.4736, 0.434437
  0.4782, 0.429801
  0.4736, 0.433775
  0.4781, 0.429139
  0.4731, 0.431788
  0.4687, 0.435762
  0.4678, 0.435762
  0.4752, 0.427815
  0.4764,  0.42649
  0.4689, 0.433775
  0.4685, 0.433775
  0.4726, 0.429139
  0.4697, 0.431788
  0.4819, 0.419205
  0.4668, 0.433775
  0.4732,  0.42649
   0.476, 0.423179
  0.4671, 0.431788
  0.4633, 0.433775
  0.4723, 0.423841
  0.4659, 0.429801
  0.4645, 0.428477
  0.4726, 0.419868
  0.4738, 0.418543
  0.4637, 0.427815
  0.4615, 0.427152
  0.4671, 0.421192
  0.4615,  0.42649
  0.4611,  0.42649
  0.4571, 0.430464
  0.4567, 0.429801
  0.4513, 0.435099
  0.4617, 0.424503
  0.4588, 0.427152
  0.4585, 0.427152
  0.4606, 0.423841
  0.4675, 0.416556
  0.4593, 0.423841
  0.4691, 0.412583
  0.4455, 0.434437
  0.4527,  0.42649
  0.4487, 0.430464
  0.4454, 0.433113
   0.453, 0.425166
   0.454, 0.423841
  0.4592, 0.418543
  0.4548, 0.422517
   0.444, 0.433113
  0.4516, 0.425166
  0.4509, 0.425828
  0.4504, 0.425828
  0.4434,  0.43245
  0.4414, 0.433775
  0.4478, 0.425828
  0.4376, 0.435762
    0.45, 0.422517
  0.4414, 0.429801
   0.444, 0.427152
  0.4419, 0.428477
  0.4396, 0.429801
  0.4372, 0.430464
   0.438, 0.428477
  0.4341, 0.431126
   0.435, 0.429801
  0.4317,  0.43245
   0.433, 0.431126
  0.4423, 0.421192
  0.4336, 0.429801
  0.4365,  0.42649
   0.445, 0.417881
  0.4352, 0.427152
  0.4379, 0.423841
   0.434, 0.425828
  0.4371, 0.422517
  0.4368, 0.421192
  0.4345, 0.422517
  0.4325, 0.424503
  0.4257, 0.428477
  0.4301, 0.419868
  0.4233, 0.425166
  0.4168, 0.430464
  0.4169, 0.429801
  0.4181, 0.427815
  0.4172, 0.427815
  0.4148, 0.428477
  0.4259, 0.417219
  0.4165, 0.423179
  0.4207, 0.418543
  0.4132, 0.425166
    0.41, 0.425828
  0.4171, 0.418543
  0.4062, 0.428477
  0.4033, 0.431126
  0.4016, 0.429801
  0.3999, 0.431126
  0.3995, 0.431126
  0.4051, 0.423841
  0.4003, 0.428477
  0.3845, 0.443046
   0.389, 0.437086
     0.4, 0.425828
  0.4087, 0.416556
  0.4039,  0.42053
  0.3967,  0.42649
  0.4018, 0.421192
  0.3991, 0.423841
  0.3973, 0.424503
  0.4015, 0.419868
  0.3952, 0.425828
  0.3914, 0.429139
  0.3936,  0.42649
  0.3878, 0.430464
  0.3911, 0.427152
  0.3976,  0.42053
  0.3901, 0.425828
   0.392, 0.422517
   0.387, 0.425828
   0.383, 0.429801
   0.388,  0.42053
   0.379, 0.429139
  0.3716, 0.435099
  0.3755, 0.428477
  0.3736, 0.429139
  0.3807, 0.421192
  0.3793, 0.421854
  0.3649, 0.434437
   0.365, 0.427815
  0.3703, 0.419868
  0.3626, 0.425828
  0.3668, 0.418543
  0.3601, 0.421192
  0.3506, 0.430464
  0.3474, 0.431788
  0.3459, 0.431126
   0.353, 0.423841
  0.3559, 0.416556
  0.3453,  0.42649
  0.3399, 0.429801
  0.3424, 0.425828
