gen, roulette_scalar_twopoint_best, roulette_scalar_twopoint_ave
   1,   0.2261, 0.100111
   2,   0.2261,  0.10735
   3,   0.2261,  0.11348
   4,   0.2261, 0.118331
   5,   0.2663, 0.118215
   6,   0.2663,  0.12553
   7,   0.2663, 0.125885
   8,   0.2663, 0.123402
   9,   0.2663, 0.124058
  10,   0.2663, 0.127141
  11,   0.2663,  0.12684
  12,   0.2731, 0.130421
  13,   0.2731, 0.130125
  14,   0.2731, 0.135885
  15,   0.2959, 0.137496
  16,   0.2959, 0.144196
  17,   0.2959, 0.156359
  18,   0.3205, 0.163711
  19,   0.3205, 0.168784
  20,   0.3219, 0.177446
  21,   0.3219, 0.186731
  22,   0.3174, 0.189463
  23,   0.3174, 0.197943
  24,   0.3199, 0.197027
  25,   0.3606, 0.200487
  26,   0.3779, 0.205793
  27,   0.3779,  0.20719
  28,   0.3779, 0.215773
  29,   0.3779,  0.22351
  30,   0.3755, 0.225815
  31,   0.4006, 0.227965
  32,   0.4006, 0.228928
  33,   0.4006, 0.234931
  34,    0.384,  0.23722
  35,   0.4254, 0.241663
  36,   0.4254,  0.24449
  37,   0.4254, 0.247586
  38,   0.4335, 0.247443
  39,   0.4335, 0.254124
  40,   0.4335, 0.254771
  41,    0.438, 0.256087
  42,    0.438, 0.256163
  43,    0.438, 0.259581
  44,    0.438, 0.261433
  45,    0.438,  0.26271
  46,    0.438, 0.265958
  47,    0.438, 0.269879
  48,    0.438, 0.268744
  49,    0.438,  0.27102
  50,    0.438, 0.271583
  51,   0.4221, 0.273637
  52,   0.4221, 0.274176
  53,   0.4221, 0.284792
  54,   0.4221, 0.284648
  55,   0.4502, 0.281593
  56,   0.4502, 0.281701
  57,   0.4502, 0.282775
  58,   0.4502, 0.284625
  59,   0.4502, 0.284141
  60,   0.4502, 0.288547
  61,   0.4502, 0.291532
  62,   0.4502, 0.289864
  63,   0.4502, 0.294153
  64,   0.4502, 0.295056
  65,   0.4502, 0.290837
  66,   0.4485, 0.299357
  67,   0.4485, 0.304911
  68,   0.4485, 0.302121
  69,   0.4485, 0.298678
  70,   0.4485,  0.29812
  71,   0.4485,  0.29816
  72,   0.4485,  0.29572
  73,   0.4485, 0.298319
  74,   0.4606, 0.295175
  75,   0.4676, 0.300757
  76,   0.4676, 0.305555
  77,   0.4676, 0.306731
  78,   0.4676, 0.305667
  79,   0.4709, 0.305496
  80,   0.4709, 0.303136
  81,   0.4709, 0.305686
  82,   0.4709, 0.304957
  83,   0.4709, 0.315143
  84,   0.4762, 0.317293
  85,   0.4706, 0.319283
  86,   0.4706, 0.322083
  87,   0.4974, 0.317971
  88,   0.4974, 0.309453
  89,   0.4974, 0.307936
  90,   0.4974, 0.304763
  91,   0.4974, 0.306412
  92,   0.4974, 0.320671
  93,   0.4974, 0.316356
  94,   0.4974, 0.322535
  95,   0.4974,  0.32215
  96,   0.4974,  0.32549
  97,   0.4974, 0.328924
  98,   0.4974, 0.322932
  99,   0.4974, 0.322624
 100,   0.4974, 0.329429
 101,   0.4974, 0.327206
 102,   0.4974,  0.33048
 103,   0.4974, 0.329182
 104,   0.4974, 0.328633
 105,   0.4974, 0.327971
 106,   0.4974, 0.335366
 107,   0.4974, 0.335016
 108,   0.4974, 0.333282
 109,   0.4974, 0.329693
 110,   0.4974, 0.324515
 111,   0.4974, 0.327132
 112,   0.4974, 0.322778
 113,   0.4974, 0.331162
 114,   0.4974, 0.335375
 115,   0.4974, 0.330352
 116,   0.4974, 0.330935
 117,   0.4974, 0.328934
 118,   0.4974, 0.336677
 119,   0.4974,  0.33845
 120,   0.4968, 0.332734
 121,   0.4968, 0.333363
 122,   0.5107, 0.335627
 123,   0.5107, 0.336838
 124,   0.5107, 0.335997
 125,   0.5107, 0.341919
 126,   0.5107, 0.331689
 127,   0.5107, 0.334332
 128,   0.5107, 0.340946
 129,   0.5107, 0.342647
 130,   0.5107, 0.349325
 131,   0.5107, 0.348871
 132,   0.5107, 0.349415
 133,   0.5107, 0.349154
 134,   0.5107,  0.34383
 135,   0.5107, 0.347365
 136,   0.5107, 0.347122
 137,   0.5107, 0.354787
 138,   0.5107, 0.362956
 139,   0.5198,  0.35798
 140,   0.5198, 0.354047
 141,   0.5198, 0.351249
 142,   0.5198, 0.356056
 143,   0.5198, 0.352632
 144,   0.5198, 0.356056
 145,   0.5198, 0.353296
 146,   0.5198,  0.35586
 147,   0.5198, 0.360237
 148,   0.5198, 0.366255
 149,   0.5198, 0.364314
 150,   0.5198, 0.366596
 151,   0.5198, 0.365986
 152,   0.5198, 0.369567
 153,   0.5198, 0.369685
 154,   0.5198, 0.367606
 155,   0.5198, 0.366699
 156,   0.5198, 0.361499
 157,   0.5198,  0.36803
 158,   0.5198, 0.368413
 159,   0.5247, 0.361665
 160,   0.5247, 0.364631
 161,   0.5247, 0.357654
 162,   0.5233, 0.357771
 163,   0.5233, 0.361219
 164,   0.5233, 0.365728
 165,   0.5233, 0.371758
 166,   0.5233, 0.372215
 167,   0.5308, 0.372669
 168,   0.5308, 0.377583
 169,   0.5308, 0.372117
 170,   0.5309, 0.369765
 171,   0.5309, 0.364289
 172,   0.5309, 0.365005
 173,   0.5309, 0.361487
 174,   0.5309, 0.366207
 175,   0.5309, 0.362075
 176,   0.5309, 0.365469
 177,   0.5309,  0.36041
 178,   0.5309, 0.363807
 179,   0.5309, 0.369514
 180,   0.5309,  0.37332
 181,   0.5309, 0.369565
 182,   0.5309, 0.372751
 183,   0.5309, 0.374511
 184,   0.5309,  0.38174
 185,   0.5309, 0.381491
 186,   0.5326,  0.37286
 187,   0.5326, 0.374454
 188,   0.5326, 0.383938
 189,   0.5326,  0.38253
 190,    0.543, 0.374523
 191,    0.543, 0.376534
 192,    0.543, 0.374632
 193,    0.543, 0.381873
 194,    0.543, 0.385877
 195,    0.543, 0.379054
 196,    0.543, 0.379284
 197,    0.543,  0.38085
 198,    0.543,  0.37636
 199,   0.5443, 0.378622
 200,   0.5443, 0.380687
 201,   0.5443, 0.383832
 202,   0.5506, 0.380633
 203,   0.5506, 0.372355
 204,   0.5506, 0.376619
 205,   0.5506, 0.377234
 206,   0.5506, 0.378256
 207,   0.5506, 0.374446
 208,   0.5506, 0.374507
 209,   0.5506, 0.372184
 210,   0.5506, 0.374479
 211,   0.5506, 0.367952
 212,   0.5506, 0.371574
 213,   0.5506, 0.369709
