accuracy,sparse
  0.7885, 0.464901
  0.7813, 0.468874
  0.7852, 0.464238
  0.7871, 0.462252
  0.7831, 0.465563
  0.7819, 0.466225
  0.7844, 0.463576
  0.7841, 0.463576
  0.7812, 0.466225
  0.7752, 0.472185
  0.7785, 0.468874
  0.7761, 0.470861
  0.7811, 0.465563
  0.7758, 0.470861
  0.7822, 0.463576
  0.7801, 0.465563
  0.7746, 0.470861
  0.7763, 0.468874
  0.7814, 0.463576
  0.7734, 0.471523
  0.7755, 0.466225
  0.7805, 0.459603
  0.7672, 0.466225
  0.7692, 0.463576
  0.7584, 0.463576
   0.755, 0.462914
  0.7493, 0.461589
  0.7508, 0.458278
  0.7332, 0.470861
  0.7417, 0.460265
   0.723, 0.471523
  0.7313, 0.460265
  0.7291, 0.462252
   0.722, 0.466225
   0.727, 0.460265
  0.7312, 0.454967
  0.7342, 0.451656
  0.7245, 0.460265
  0.7269, 0.456954
  0.7204,  0.45894
  0.7235, 0.455629
  0.7136, 0.459603
  0.7107, 0.462252
  0.7106, 0.460265
  0.6998, 0.458278
  0.7031, 0.453642
  0.7009, 0.455629
  0.6967, 0.455629
  0.6929, 0.456954
  0.6843, 0.460927
  0.6756, 0.468212
  0.6817, 0.461589
  0.6812, 0.461589
  0.6831, 0.457616
  0.6718,  0.46755
  0.6761, 0.461589
  0.6718, 0.464901
  0.6701, 0.466225
  0.6789, 0.456954
  0.6687, 0.466887
  0.6748, 0.457616
  0.6743, 0.456291
  0.6726, 0.457616
  0.6671, 0.460927
  0.6586, 0.468874
  0.6672, 0.457616
  0.6595, 0.463576
  0.6641, 0.456291
  0.6743, 0.444371
  0.6732, 0.444371
  0.6541, 0.460265
  0.6476, 0.465563
  0.6469, 0.464238
  0.6471, 0.462252
  0.6542, 0.450993
  0.6453,  0.45894
  0.6437, 0.460265
   0.638, 0.465563
  0.6633, 0.439073
  0.6464, 0.454305
  0.6402, 0.459603
  0.6368, 0.461589
   0.634, 0.460265
  0.6325, 0.461589
  0.6393,  0.45298
  0.6364, 0.454967
  0.6314, 0.459603
  0.6299, 0.460927
  0.6382, 0.452318
  0.6346, 0.454967
   0.637, 0.452318
  0.6212, 0.464901
  0.6234, 0.462252
  0.6398, 0.445033
  0.6254, 0.457616
  0.6274, 0.454967
  0.6231,  0.45894
   0.617, 0.463576
  0.6173, 0.462914
  0.6245, 0.455629
  0.6173, 0.462252
  0.6175, 0.461589
  0.6185, 0.457616
  0.6211, 0.454967
  0.6194, 0.456291
  0.6145, 0.460265
  0.6116, 0.460265
  0.6199, 0.449669
  0.6146, 0.454305
  0.6047, 0.462252
  0.6073, 0.459603
  0.6072,  0.45894
  0.5846, 0.480132
  0.6156, 0.449007
  0.6038,  0.45894
   0.609, 0.451656
  0.5916, 0.468212
  0.6021, 0.456291
  0.5924, 0.462252
  0.6009, 0.453642
  0.5929, 0.460927
  0.5934, 0.460265
  0.6076, 0.444371
   0.583, 0.468874
  0.6037, 0.447682
  0.5987, 0.452318
  0.5923, 0.456954
  0.5895, 0.459603
  0.5846, 0.464238
  0.5862, 0.461589
  0.5841, 0.463576
  0.5841, 0.463576
  0.5892, 0.458278
  0.5893, 0.455629
  0.5856, 0.458278
  0.5857, 0.457616
  0.5847, 0.456954
  0.5919, 0.448344
  0.5655, 0.472848
   0.575, 0.461589
  0.5733, 0.462914
  0.5752,  0.45894
  0.5753, 0.458278
  0.5871, 0.446358
  0.5824, 0.450331
  0.5663, 0.465563
  0.5692, 0.462252
  0.5818, 0.449007
  0.5716,  0.45894
  0.5868, 0.443709
  0.5767, 0.453642
  0.5674, 0.462914
  0.5831,  0.44702
  0.5652, 0.464901
  0.5708,  0.45894
  0.5878,  0.44106
  0.5603, 0.468212
   0.573, 0.454967
  0.5667, 0.460265
  0.5649, 0.461589
  0.5671,  0.45894
  0.5661, 0.459603
  0.5755, 0.449669
  0.5719,  0.45298
  0.5669, 0.457616
  0.5652,  0.45894
  0.5612, 0.461589
  0.5647, 0.456954
  0.5571, 0.463576
  0.5709, 0.449669
  0.5624, 0.456954
  0.5642, 0.454305
  0.5584, 0.459603
  0.5522, 0.463576
  0.5518, 0.462914
  0.5422, 0.472185
  0.5455, 0.464901
  0.5574,  0.45298
  0.5496, 0.460265
   0.554, 0.454967
  0.5628, 0.445033
  0.5548, 0.449669
  0.5427, 0.460927
  0.5459, 0.457616
  0.5352, 0.466225
  0.5356, 0.464901
  0.5453, 0.454305
  0.5445, 0.454967
  0.5454, 0.452318
  0.5377, 0.456954
  0.5401, 0.453642
  0.5353, 0.458278
   0.535, 0.456954
  0.5374, 0.453642
