accuracy,sparse
  0.2485, 0.356954
  0.2215, 0.354305
  0.2261, 0.339735
   0.197, 0.366225
  0.2357, 0.325828
  0.1951, 0.348344
  0.1994, 0.339735
   0.213, 0.324503
  0.1965, 0.338411
  0.1839, 0.349007
  0.1925, 0.340397
  0.1885, 0.340397
  0.1999, 0.328477
  0.2111, 0.317219
  0.1879, 0.338411
  0.1813, 0.343046
  0.2038, 0.319205
  0.1717, 0.350331
   0.185, 0.335762
  0.1505, 0.369536
  0.1779,  0.34106
  0.1773,  0.34106
  0.1666, 0.351656
   0.183, 0.333775
  0.1742, 0.341722
  0.1728, 0.342384
  0.1741,  0.34106
  0.1834, 0.331126
  0.1752, 0.339073
  0.1794, 0.333775
  0.1583, 0.354305
  0.1721, 0.339073
  0.1651, 0.345695
  0.1647, 0.345695
  0.1666,  0.34106
  0.2031, 0.303973
  0.1655, 0.339073
  0.1766, 0.325828
  0.1501, 0.351656
  0.1802,  0.32053
  0.1553, 0.343046
  0.1625, 0.335099
  0.1899, 0.307285
  0.1516, 0.344371
  0.1476,  0.34702
  0.1242, 0.368874
  0.1598,  0.33245
  0.1431, 0.348344
  0.1619, 0.329139
  0.1446, 0.343709
  0.1504, 0.337748
  0.1457, 0.341722
   0.156, 0.331126
   0.152, 0.335099
  0.1467, 0.339073
  0.1712,  0.31457
  0.1495, 0.335762
  0.1522,  0.33245
  0.1495, 0.334437
  0.1405, 0.343046
   0.149, 0.333775
  0.1469, 0.334437
  0.1449, 0.336424
  0.1462, 0.335099
    0.16,  0.32053
  0.1429, 0.337086
   0.142, 0.337748
  0.1462, 0.333113
  0.1243, 0.354967
  0.1438, 0.335099
  0.1443, 0.334437
  0.1555, 0.323179
    0.14, 0.337748
   0.159, 0.318543
  0.1381, 0.339073
  0.1426, 0.334437
  0.1651, 0.311921
   0.144,  0.33245
   0.138, 0.338411
  0.1453, 0.330464
  0.1384, 0.337086
  0.1316, 0.343709
  0.1279,  0.34702
  0.1354, 0.339073
  0.1291, 0.345033
  0.1455, 0.328477
   0.122, 0.351656
  0.1298, 0.343709
  0.1228, 0.349669
  0.1418, 0.330464
  0.1268, 0.345033
  0.1367, 0.335099
  0.1083, 0.362914
  0.1372, 0.333775
   0.126, 0.344371
   0.118, 0.352318
  0.1371, 0.333113
  0.1131, 0.356954
  0.1328, 0.337086
  0.1345, 0.335099
  0.1369,  0.33245
  0.1247, 0.344371
  0.1284, 0.340397
  0.1302, 0.338411
  0.1276, 0.339735
  0.1103, 0.356954
  0.1243, 0.342384
  0.1281, 0.338411
  0.1221, 0.344371
  0.1081, 0.358278
  0.1168, 0.348344
  0.1222, 0.342384
  0.1241, 0.340397
  0.1419, 0.322517
   0.116, 0.348344
  0.1346, 0.328477
  0.1233, 0.339735
   0.119, 0.343709
  0.1182, 0.343709
  0.1238, 0.337748
  0.1141,  0.34702
  0.1444, 0.316556
  0.1309, 0.329801
  0.1434, 0.316556
  0.1185,  0.34106
  0.1118, 0.347682
   0.132, 0.327152
  0.1184, 0.340397
  0.1303, 0.328477
  0.1074, 0.350993
  0.1237, 0.334437
  0.1136, 0.344371
  0.1102, 0.347682
  0.1361, 0.321192
  0.1032, 0.353642
  0.1243,  0.33245
  0.1155,  0.34106
   0.118, 0.338411
  0.1405, 0.315894
  0.1323, 0.323841
  0.1064, 0.349669
  0.1162, 0.339735
  0.1236, 0.331788
  0.1182, 0.337086
  0.1358, 0.319205
  0.1053, 0.349669
  0.1271, 0.327815
  0.1024, 0.352318
  0.1216, 0.333113
  0.1381, 0.316556
  0.1173, 0.337086
  0.1338, 0.319868
  0.1232, 0.330464
  0.1051, 0.348344
  0.1044, 0.349007
  0.0904, 0.362914
  0.1061,  0.34702
  0.1383,  0.31457
  0.1062, 0.346358
  0.1214, 0.331126
  0.1259,  0.32649
  0.1046, 0.347682
  0.1348, 0.317219
  0.1075, 0.344371
  0.1327, 0.318543
  0.1107, 0.340397
  0.1072, 0.343709
  0.1144, 0.336424
  0.1037,  0.34702
  0.1191, 0.331126
  0.1064, 0.343709
  0.1191, 0.329801
  0.0917, 0.356954
  0.1027, 0.345695
   0.119, 0.329139
   0.095,  0.35298
  0.1191, 0.328477
  0.1155, 0.331788
  0.1108, 0.336424
  0.1041, 0.342384
  0.0954, 0.350993
  0.1065, 0.339073
  0.1302, 0.315232
  0.1221, 0.323179
  0.1021, 0.343046
  0.0953, 0.349669
  0.1307, 0.313907
  0.1279, 0.316556
  0.1168, 0.327152
  0.1061, 0.337748
   0.103, 0.340397
  0.0949, 0.348344
  0.1068, 0.336424
  0.1114, 0.331788
  0.1164,  0.32649
  0.0969, 0.345695
  0.1147, 0.327815
  0.1027, 0.339073
  0.1066, 0.335099
    0.12, 0.321192
  0.1073, 0.333775
  0.1004, 0.340397
  0.1083,  0.33245
  0.1159, 0.324503
  0.0994, 0.340397
  0.1177, 0.321854
  0.0918, 0.347682
   0.097, 0.342384
  0.0927, 0.346358
  0.1043, 0.334437
  0.1082, 0.329801
  0.1009, 0.337086
  0.0962, 0.341722
  0.1054,  0.33245
   0.108, 0.329801
  0.1113,  0.32649
  0.1223, 0.315232
  0.1062, 0.331126
  0.0934, 0.343709
     0.1, 0.337086
  0.1018, 0.335099
  0.0949,  0.34106
  0.1174, 0.318543
   0.116, 0.319868
  0.1146, 0.321192
   0.103,  0.33245
  0.1161, 0.319205
  0.0935, 0.341722
  0.1045, 0.330464
  0.0965, 0.338411
  0.1051, 0.329801
  0.0839, 0.350993
   0.083, 0.351656
  0.1036, 0.330464
  0.1032, 0.330464
  0.0983, 0.335099
  0.1246, 0.308609
  0.1128, 0.319868
  0.0986, 0.333775
  0.0991, 0.333113
  0.0873, 0.344371
   0.103, 0.328477
  0.0855, 0.345695
  0.1027, 0.328477
  0.0869, 0.343709
  0.0869, 0.343709
  0.1107, 0.319868
  0.0908, 0.339735
   0.111, 0.319205
  0.1021, 0.327815
  0.0879, 0.341722
  0.1162, 0.313245
  0.0861, 0.343046
  0.0977, 0.331126
  0.1043, 0.324503
  0.0921, 0.336424
  0.1018,  0.32649
  0.0783, 0.349669
  0.0888, 0.339073
  0.0947, 0.333113
  0.1012,  0.32649
  0.0805,  0.34702
  0.1054, 0.321854
  0.1085, 0.318543
  0.0906, 0.336424
  0.0985, 0.327815
  0.0779, 0.348344
  0.0705, 0.355629
  0.0782, 0.347682
  0.0722,  0.35298
  0.1023, 0.322517
  0.0834,  0.34106
  0.1036,  0.32053
  0.1029, 0.321192
  0.0918, 0.331788
  0.0957, 0.327815
  0.0954, 0.327815
  0.0914, 0.331788
  0.0827, 0.340397
  0.1034, 0.319205
  0.1093, 0.313245
  0.0841, 0.338411
  0.1008, 0.321192
  0.0921, 0.329801
  0.1005, 0.321192
    0.09, 0.331126
  0.0923, 0.328477
  0.0815, 0.339073
  0.0788, 0.341722
  0.0886, 0.331788
  0.0737, 0.345695
  0.0908, 0.328477
  0.0861, 0.333113
   0.099, 0.319868
  0.0831, 0.335762
  0.0903, 0.328477
  0.0778, 0.340397
  0.0926, 0.325166
   0.109, 0.308609
  0.0751, 0.341722
  0.0777, 0.339073
  0.0863, 0.330464
  0.0701, 0.346358
  0.0872, 0.329139
  0.1077, 0.308609
  0.0948, 0.321192
  0.0825, 0.331788
  0.0857, 0.328477
   0.083, 0.330464
  0.1027, 0.310596
  0.0946, 0.318543
  0.0864,  0.32649
  0.0823, 0.330464
  0.0902, 0.322517
  0.0875, 0.325166
  0.0688, 0.343046
  0.0888, 0.322517
  0.0711, 0.339735
  0.0716, 0.339073
  0.0881, 0.322517
  0.0846, 0.325828
  0.0838,  0.32649
  0.0738, 0.336424
  0.0835,  0.32649
  0.0897, 0.319868
  0.0657, 0.343709
  0.0801, 0.329139
  0.0838, 0.325166
  0.0874, 0.321192
   0.051, 0.356291
  0.0687, 0.338411
  0.0831, 0.323841
  0.0678, 0.339073
  0.0837, 0.322517
  0.0768, 0.329139
  0.0886, 0.317219
   0.072, 0.333775
   0.089, 0.316556
  0.0787,  0.32649
  0.0751, 0.329801
  0.1022, 0.302649
   0.051, 0.353642
  0.0844, 0.319868
  0.0717,  0.33245
  0.0742, 0.329801
  0.0827, 0.321192
  0.0755, 0.327815
  0.0949, 0.307947
  0.0655, 0.337086
  0.0794, 0.323179
  0.0635, 0.339073
   0.082,  0.32053
  0.0746, 0.327815
  0.0818,  0.32053
  0.0671, 0.335099
  0.0643, 0.337748
  0.0614, 0.340397
  0.0614, 0.340397
  0.0632, 0.338411
  0.0783, 0.323179
  0.0768, 0.323841
  0.0647, 0.335099
  0.0608, 0.338411
  0.0828, 0.315232
  0.0726, 0.325166
  0.0785, 0.319205
  0.0667, 0.329139
  0.0791, 0.316556
  0.0426, 0.352318
  0.0737, 0.321192
  0.0486, 0.345695
  0.0562, 0.337748
  0.0548, 0.339073
  0.0498, 0.343709
  0.0652, 0.325828
   0.059, 0.331788
  0.0442, 0.346358
  0.0823, 0.307947
  0.0662, 0.323841
  0.0392, 0.350331
  0.0543, 0.335099
  0.0814, 0.307285
  0.0731,  0.31457
  0.0482, 0.337748
  0.0711,  0.31457
  0.0523, 0.331788
  0.0589, 0.321192
  0.0635, 0.316556
  0.0788, 0.300662
  0.0389, 0.340397
  0.0598, 0.319205
  0.0538, 0.324503
  0.0624, 0.313907
  0.0428,  0.33245
  0.0331, 0.335762
  0.0286, 0.339735
  0.0183, 0.340397
    0.02, 0.335099
  0.0265, 0.325166
  0.0233, 0.303311
