gen, roulette_ternary_onepoint_best, roulette_ternary_onepoint_ave
   1,   0.2261, 0.100111
   2,   0.2261,  0.10734
   3,   0.2327, 0.112644
   4,   0.2327, 0.115395
   5,   0.2327, 0.119948
   6,   0.2677, 0.118514
   7,   0.2677, 0.118151
   8,   0.2677, 0.119553
   9,   0.2717, 0.120375
  10,    0.276, 0.123855
  11,   0.2858, 0.131016
  12,   0.2858, 0.140053
  13,   0.2858, 0.146366
  14,   0.2881, 0.157993
  15,   0.2881, 0.162621
  16,   0.2881, 0.171847
  17,   0.3383, 0.177708
  18,   0.3383, 0.190005
  19,   0.3468, 0.193677
  20,   0.3468, 0.197303
  21,   0.3468, 0.197278
  22,   0.3468, 0.199188
  23,   0.3468, 0.209127
  24,   0.3468, 0.209051
  25,   0.3468, 0.217476
  26,   0.3468, 0.219187
  27,   0.3468, 0.220949
  28,   0.3468, 0.217753
  29,   0.3468, 0.222922
  30,   0.3468, 0.224162
  31,   0.3795, 0.225545
  32,   0.3795, 0.224653
  33,   0.3795, 0.230961
  34,   0.3795, 0.232073
  35,   0.3795, 0.231784
  36,   0.3795, 0.236435
  37,   0.3795, 0.229904
  38,   0.3795, 0.236401
  39,   0.3795, 0.237209
  40,   0.3795, 0.239233
  41,   0.3795,  0.24141
  42,   0.3795, 0.244923
  43,   0.3795, 0.244747
  44,   0.3795,  0.24486
  45,   0.3824,  0.25034
  46,   0.3825, 0.255865
  47,   0.3861, 0.253244
  48,   0.4027, 0.256031
  49,   0.4027, 0.259396
  50,   0.4027, 0.262191
  51,   0.4203, 0.260872
  52,   0.4203, 0.264577
  53,   0.4371, 0.269109
  54,   0.4371, 0.266022
  55,   0.4371,   0.2642
  56,   0.4371, 0.270761
  57,   0.4371, 0.267761
  58,   0.4371, 0.265482
  59,   0.4371, 0.270258
  60,   0.4371, 0.273902
  61,   0.4382, 0.280138
  62,   0.4382, 0.282786
  63,   0.4382, 0.288364
  64,   0.4382, 0.284961
  65,   0.4382, 0.290305
  66,   0.4382, 0.296006
  67,   0.4382, 0.302413
  68,   0.4489, 0.307866
  69,   0.4489, 0.309301
  70,   0.4489, 0.318015
  71,   0.4489, 0.321631
  72,   0.4489, 0.324887
  73,   0.4489, 0.327577
  74,   0.4489,    0.325
  75,   0.4489, 0.322949
  76,   0.4489, 0.326569
  77,   0.4521, 0.326387
  78,   0.4643, 0.330691
  79,   0.4643, 0.329022
  80,   0.4643,  0.33037
  81,   0.4687, 0.333694
  82,   0.4687, 0.334064
  83,   0.4687, 0.336864
  84,   0.4687, 0.334523
  85,   0.4687, 0.334567
  86,   0.4687, 0.334439
  87,   0.4687, 0.333315
  88,   0.4687, 0.335606
  89,   0.4759, 0.337917
  90,   0.4759,  0.33951
  91,   0.4759, 0.344218
  92,   0.4759, 0.342992
  93,   0.4759, 0.339345
  94,   0.4849, 0.336702
  95,   0.4849, 0.338264
  96,   0.4849, 0.347104
  97,   0.4849, 0.352073
  98,   0.4901, 0.350381
  99,   0.4901, 0.352031
 100,   0.4901, 0.352004
 101,   0.4901, 0.355237
 102,   0.4901, 0.355557
 103,   0.4901, 0.350638
 104,   0.4901, 0.353071
 105,   0.4901, 0.348835
 106,   0.4901, 0.350318
 107,   0.4901, 0.345999
 108,   0.4901, 0.344967
 109,   0.4901, 0.348806
 110,   0.4901, 0.351054
 111,   0.4901, 0.348424
 112,   0.4901, 0.344502
 113,   0.4901,  0.35129
 114,   0.4901, 0.350913
 115,   0.4901,  0.34768
 116,   0.4901, 0.344681
 117,   0.4901,  0.34143
 118,   0.4901, 0.344312
 119,   0.4901, 0.347611
 120,   0.4935, 0.346583
 121,   0.4935, 0.356787
 122,   0.4935,  0.35394
 123,   0.4935, 0.354124
 124,   0.4935, 0.354289
 125,   0.4935, 0.350545
 126,   0.4935, 0.352454
 127,   0.4935, 0.349903
 128,    0.495, 0.356031
 129,    0.495, 0.355572
 130,   0.4952, 0.355509
 131,   0.4986, 0.358543
 132,   0.4986, 0.357774
 133,   0.5043, 0.357489
 134,   0.5043, 0.354067
 135,   0.5043, 0.351504
 136,   0.5153,  0.35222
 137,   0.5153, 0.350041
 138,   0.5153, 0.352483
 139,   0.5153, 0.354961
 140,   0.5153, 0.356816
 141,   0.5153, 0.350844
 142,   0.5153, 0.350812
 143,   0.5153, 0.353792
 144,   0.5153, 0.351736
 145,    0.524,  0.35946
 146,    0.524, 0.359051
 147,    0.524, 0.364971
 148,     0.53, 0.366991
 149,     0.53, 0.370187
 150,     0.53, 0.367957
 151,     0.53, 0.378339
 152,     0.53, 0.374378
 153,     0.53,   0.3732
 154,     0.53, 0.377293
 155,     0.53, 0.369746
 156,   0.5339, 0.368217
 157,   0.5339, 0.368374
 158,   0.5339, 0.379231
 159,   0.5339, 0.377789
 160,   0.5339, 0.376566
 161,   0.5339,  0.37857
 162,   0.5339, 0.371745
 163,   0.5339, 0.372183
 164,    0.535, 0.369781
 165,    0.535, 0.367094
 166,    0.535, 0.373856
 167,    0.535, 0.377843
 168,    0.535, 0.379107
 169,    0.535, 0.380331
 170,    0.535, 0.377105
 171,    0.535, 0.374882
 172,   0.5364, 0.376571
 173,   0.5364, 0.379905
 174,   0.5364, 0.382462
 175,   0.5364, 0.381646
 176,   0.5364, 0.382486
 177,   0.5364, 0.386294
 178,   0.5364, 0.381249
 179,   0.5364,  0.37197
 180,   0.5364, 0.376263
 181,   0.5364, 0.373572
 182,   0.5391, 0.376914
 183,   0.5391, 0.377958
 184,   0.5412, 0.377181
 185,   0.5412, 0.382653
 186,   0.5412, 0.386626
 187,   0.5412, 0.386548
 188,   0.5476, 0.388029
 189,   0.5476, 0.389921
 190,   0.5476, 0.390963
 191,   0.5476, 0.396864
 192,   0.5512, 0.392769
 193,   0.5512, 0.395555
 194,   0.5512, 0.402921
 195,   0.5512, 0.401073
 196,   0.5512, 0.393445
 197,   0.5512, 0.391197
 198,   0.5512, 0.392704
 199,   0.5512, 0.393654
 200,   0.5571, 0.392711
 201,   0.5571, 0.393393
 202,   0.5571, 0.398575
 203,   0.5571, 0.401847
 204,   0.5571, 0.398885
 205,   0.5571, 0.403868
 206,   0.5571, 0.403228
 207,   0.5571, 0.395359
 208,   0.5571, 0.392741
 209,   0.5571,  0.39312
 210,   0.5571, 0.397844
 211,   0.5571, 0.400695
 212,   0.5571, 0.393043
 213,   0.5625, 0.402123
 214,   0.5625, 0.401359
 215,   0.5625, 0.404153
 216,   0.5625, 0.406447
 217,   0.5625, 0.407623
 218,   0.5625, 0.403415
 219,   0.5625,   0.4026
 220,   0.5625, 0.399141
 221,   0.5626, 0.403285
 222,   0.5626, 0.406768
 223,   0.5626, 0.403857
 224,   0.5626, 0.409355
 225,   0.5657, 0.404554
 226,   0.5657, 0.408652
 227,   0.5657,  0.41214
 228,   0.5657, 0.403549
 229,   0.5657, 0.399099
 230,   0.5657, 0.404121
 231,   0.5657, 0.401375
 232,   0.5657, 0.400656
 233,   0.5657,  0.40352
 234,   0.5657,  0.39846
 235,   0.5657, 0.405143
