accuracy,sparse
  0.7754, 0.311258
   0.771, 0.313907
  0.7698, 0.309934
  0.7698, 0.309934
  0.7698, 0.315232
  0.7697, 0.312583
  0.7695, 0.310596
  0.7694, 0.311258
  0.7681, 0.316556
   0.768, 0.309272
  0.7679, 0.313245
  0.7675, 0.311258
  0.7674, 0.317881
  0.7672, 0.307285
  0.7671, 0.311921
  0.7671, 0.311921
  0.7671, 0.313907
   0.767, 0.313907
  0.7669, 0.313245
  0.7662, 0.315232
  0.7619, 0.311258
  0.7474,  0.31457
  0.7327, 0.307947
  0.7237, 0.306623
  0.7178, 0.313907
  0.7164, 0.310596
  0.7076, 0.313907
  0.7055,  0.32053
  0.7049, 0.313245
  0.7033, 0.310596
   0.697, 0.321854
  0.6961, 0.317219
  0.6922, 0.315894
   0.692, 0.309272
  0.6893, 0.316556
  0.6891, 0.311258
  0.6889, 0.311258
  0.6874, 0.313245
  0.6847, 0.310596
  0.6847, 0.313245
  0.6841, 0.319205
  0.6835, 0.315894
   0.683, 0.315232
  0.6802, 0.315894
  0.6763,  0.31457
  0.6756, 0.309272
  0.6742, 0.315894
  0.6741, 0.312583
  0.6609, 0.309272
  0.6574, 0.315232
   0.656, 0.313907
  0.6489, 0.313245
  0.6452, 0.317881
  0.6451, 0.309272
   0.645,  0.31457
  0.6441, 0.313245
  0.6438, 0.313245
  0.6436, 0.310596
  0.6407, 0.315232
   0.638, 0.319868
   0.637, 0.319205
  0.6355, 0.309934
  0.6347,  0.31457
  0.6341, 0.309934
  0.6328,  0.32053
  0.6286, 0.309272
  0.6262, 0.313907
  0.6248, 0.318543
  0.6213, 0.315232
  0.6198, 0.313245
  0.6196, 0.316556
  0.6176, 0.319868
   0.617, 0.319205
  0.6168, 0.310596
  0.6165, 0.307285
  0.6139, 0.309272
  0.6136, 0.316556
  0.6131,  0.32053
  0.6119, 0.312583
   0.609, 0.317881
  0.6088, 0.313245
  0.6078, 0.316556
  0.6069, 0.317219
  0.6066, 0.306623
  0.6048,  0.31457
  0.6045, 0.309934
   0.604, 0.313245
  0.6035, 0.311921
  0.6024, 0.324503
  0.6016, 0.312583
  0.6014, 0.311258
  0.6012, 0.327152
  0.6007, 0.309934
  0.6005, 0.307947
  0.6001, 0.313245
  0.5996, 0.323841
  0.5994, 0.310596
  0.5991, 0.315232
  0.5988, 0.321854
  0.5987, 0.313907
   0.597, 0.307285
  0.5969, 0.315232
  0.5969, 0.307285
  0.5963, 0.313245
   0.596, 0.315894
  0.5954, 0.307947
   0.594, 0.315894
  0.5934, 0.315894
  0.5928, 0.311921
  0.5917, 0.312583
