gen, roulette_ternary_twopoint_best, roulette_ternary_twopoint_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.107455
   3,   0.2261, 0.115361
   4,   0.2399, 0.116535
   5,   0.2399, 0.119471
   6,   0.2399, 0.122119
   7,   0.2477, 0.124228
   8,   0.2732, 0.122482
   9,   0.2805, 0.132396
  10,   0.2805, 0.131416
  11,   0.2807, 0.133987
  12,   0.2807,  0.13391
  13,   0.2807, 0.133958
  14,   0.2807, 0.143418
  15,   0.2807, 0.150667
  16,   0.2909, 0.157391
  17,   0.3067, 0.165076
  18,   0.3067, 0.168681
  19,   0.3067, 0.172303
  20,   0.3302, 0.173827
  21,   0.3392, 0.180313
  22,   0.3392, 0.184453
  23,   0.3392, 0.187082
  24,   0.3392, 0.198999
  25,   0.3409,  0.20526
  26,   0.3504, 0.214622
  27,   0.3619, 0.220633
  28,   0.3619, 0.223597
  29,   0.3619, 0.229823
  30,   0.3619, 0.235166
  31,   0.3619, 0.240722
  32,    0.373, 0.242411
  33,   0.3851,  0.24344
  34,   0.4032, 0.249196
  35,   0.4032, 0.254088
  36,   0.4038, 0.259122
  37,   0.4084,  0.26776
  38,   0.4084, 0.263462
  39,   0.4084, 0.265023
  40,   0.4084, 0.269327
  41,   0.4084, 0.272443
  42,   0.4264,  0.27281
  43,   0.4264, 0.280035
  44,   0.4264, 0.277665
  45,   0.4269, 0.279757
  46,   0.4269, 0.281004
  47,   0.4352, 0.286317
  48,   0.4352,  0.28496
  49,   0.4352, 0.287132
  50,   0.4352, 0.289874
  51,   0.4352, 0.288803
  52,   0.4565, 0.297523
  53,   0.4565, 0.296873
  54,   0.4565,  0.30012
  55,   0.4565, 0.300058
  56,   0.4565, 0.297096
  57,   0.4565, 0.295406
  58,   0.4565,  0.29054
  59,   0.4607, 0.297745
  60,   0.4607, 0.304519
  61,   0.4643, 0.302403
  62,   0.4643, 0.303631
  63,   0.4643, 0.302459
  64,   0.4643,  0.30754
  65,   0.4673, 0.309058
  66,   0.4744, 0.314072
  67,   0.4744,  0.32213
  68,   0.4744,  0.32083
  69,   0.4744, 0.326398
  70,   0.4744, 0.327364
  71,   0.4744, 0.322875
  72,   0.4903, 0.312063
  73,   0.4903, 0.320872
  74,   0.5053, 0.327677
  75,   0.5053, 0.329555
  76,   0.5053, 0.328673
  77,   0.5053, 0.328338
  78,   0.5053,  0.32963
  79,   0.5053, 0.332254
  80,   0.5053, 0.334224
  81,   0.5053, 0.331601
  82,   0.5053, 0.331688
  83,   0.5057, 0.327697
  84,   0.5057, 0.343894
  85,   0.5057, 0.348177
  86,   0.5057, 0.357168
  87,    0.507, 0.357302
  88,    0.507, 0.358316
  89,    0.507, 0.353509
  90,   0.5158, 0.362365
  91,   0.5181, 0.369743
  92,   0.5181, 0.370359
  93,   0.5181, 0.371188
  94,   0.5181,  0.36992
  95,   0.5241, 0.370288
  96,   0.5241, 0.371395
  97,   0.5251, 0.369327
  98,   0.5251, 0.366149
  99,   0.5251,  0.36327
 100,   0.5251, 0.364538
 101,   0.5251,  0.36798
 102,   0.5251, 0.370895
 103,   0.5251, 0.374824
 104,   0.5251, 0.380549
 105,   0.5251, 0.384732
 106,   0.5251,  0.39323
 107,   0.5251, 0.387431
 108,   0.5251, 0.386322
 109,   0.5251, 0.385808
 110,   0.5251, 0.383271
 111,   0.5359, 0.384452
 112,   0.5359, 0.379377
 113,   0.5359,  0.37635
 114,   0.5359, 0.383005
 115,   0.5359, 0.382155
 116,   0.5359, 0.384487
 117,   0.5359, 0.383254
 118,   0.5359, 0.382993
 119,   0.5359, 0.384645
 120,   0.5359, 0.371249
 121,   0.5359, 0.374425
 122,   0.5359, 0.381052
 123,   0.5359, 0.381421
 124,   0.5359, 0.384301
 125,   0.5565, 0.386831
 126,   0.5565, 0.385853
 127,   0.5565, 0.387315
 128,   0.5565, 0.385959
 129,   0.5565, 0.387757
 130,   0.5565, 0.394813
 131,   0.5565, 0.389938
 132,   0.5565, 0.388692
 133,   0.5565, 0.382161
 134,   0.5565, 0.378241
 135,   0.5565, 0.379398
 136,   0.5565, 0.384245
 137,   0.5565, 0.389046
 138,   0.5565, 0.396305
 139,   0.5565, 0.393774
 140,   0.5565,  0.39868
 141,   0.5565, 0.395947
 142,   0.5565, 0.399807
 143,   0.5565, 0.397579
 144,   0.5565, 0.400566
 145,   0.5565, 0.401554
 146,   0.5565,  0.39486
 147,   0.5565, 0.395215
 148,   0.5565, 0.390797
 149,   0.5565, 0.389927
 150,   0.5565, 0.391292
 151,    0.563, 0.394976
