accuracy,sparse
  0.7599, 0.305298
  0.7568, 0.304636
  0.7566, 0.309272
   0.755, 0.309934
  0.7547, 0.311921
  0.7538,  0.30596
  0.7536, 0.312583
  0.7535, 0.311921
  0.7535, 0.310596
  0.7534, 0.313907
  0.7534, 0.303311
  0.7532, 0.311921
  0.7529, 0.313245
  0.7528, 0.307285
  0.7527, 0.310596
  0.7525, 0.311921
   0.752,  0.31457
   0.752, 0.311921
  0.7516, 0.309934
  0.7516, 0.310596
  0.7388, 0.301987
  0.7292, 0.307947
  0.7254, 0.309272
  0.7143, 0.311921
  0.7106, 0.309934
  0.7097, 0.309934
  0.7042, 0.317219
  0.7025, 0.303311
  0.7016, 0.311921
  0.7013, 0.310596
  0.7011, 0.317881
  0.6993, 0.313245
  0.6967, 0.307285
  0.6959, 0.318543
  0.6951, 0.312583
  0.6949, 0.306623
  0.6938, 0.307947
  0.6929, 0.309272
  0.6925,  0.30596
  0.6907, 0.311258
  0.6898, 0.307947
  0.6893, 0.317881
  0.6864, 0.306623
  0.6843, 0.312583
  0.6834, 0.315232
  0.6803,  0.31457
  0.6777, 0.309272
  0.6748, 0.315894
  0.6745, 0.309934
  0.6733, 0.311921
  0.6733, 0.308609
  0.6721, 0.309272
  0.6721, 0.309272
  0.6709, 0.309272
  0.6689, 0.313907
  0.6689, 0.316556
  0.6677,  0.30596
  0.6655, 0.305298
  0.6636, 0.321192
  0.6617, 0.311921
  0.6595, 0.303311
  0.6578, 0.315232
  0.6574, 0.315894
  0.6561, 0.315894
   0.655, 0.316556
  0.6542, 0.311921
   0.654, 0.313907
  0.6508, 0.313907
  0.6498, 0.310596
  0.6448, 0.305298
  0.6443, 0.303973
  0.6438, 0.315894
  0.6434, 0.315894
  0.6422, 0.313907
  0.6411, 0.300662
  0.6404, 0.309272
  0.6365, 0.311921
  0.6353, 0.315894
  0.6349, 0.306623
  0.6344, 0.312583
  0.6326, 0.309272
  0.6324, 0.311921
  0.6285, 0.310596
  0.6282, 0.324503
   0.628, 0.313907
  0.6279, 0.307947
  0.6265, 0.305298
  0.6203, 0.317881
  0.6185, 0.317881
  0.6182, 0.322517
  0.6179, 0.312583
  0.6169, 0.309934
  0.6166, 0.315894
  0.6161, 0.315232
  0.6147,  0.30596
  0.6137, 0.307947
  0.6132, 0.313245
  0.6131, 0.310596
  0.6104, 0.312583
  0.6098, 0.315894
  0.6089, 0.318543
  0.6074, 0.310596
  0.6065, 0.315894
  0.6057, 0.311921
  0.6048, 0.317219
  0.6043, 0.317219
  0.6039, 0.310596
  0.6035, 0.310596
  0.6025, 0.310596
  0.6021, 0.311921
  0.6017, 0.313245
  0.6012,  0.30596
  0.6002, 0.313907
  0.5987, 0.315894
  0.5983,  0.30596
  0.5978, 0.313245
  0.5978, 0.317219
  0.5955, 0.317881
  0.5951, 0.315232
  0.5941, 0.307285
  0.5929, 0.306623
  0.5901,  0.30596
  0.5888, 0.323179
  0.5868, 0.309934
  0.5856, 0.311921
  0.5856,  0.32649
   0.583, 0.306623
  0.5812, 0.313245
  0.5804, 0.309934
  0.5802, 0.319205
  0.5795, 0.307947
  0.5793, 0.307947
  0.5784, 0.313245
  0.5783, 0.317881
  0.5783, 0.312583
  0.5739, 0.316556
  0.5736, 0.317219
  0.5735, 0.311921
  0.5725, 0.309272
  0.5724, 0.311258
  0.5715, 0.308609
  0.5693, 0.302649
   0.564, 0.312583
  0.5639, 0.319205
  0.5619, 0.315894
  0.5595, 0.316556
  0.5595, 0.309272
  0.5579, 0.317881
  0.5569, 0.316556
  0.5557,  0.32053
   0.555, 0.323841
  0.5538, 0.311258
  0.5537, 0.317881
  0.5532, 0.312583
  0.5531, 0.307947
  0.5521, 0.319205
   0.552, 0.313245
  0.5516, 0.312583
   0.551, 0.319205
  0.5487, 0.315232
  0.5486, 0.319205
  0.5483, 0.316556
  0.5482, 0.307947
  0.5479, 0.311921
  0.5464, 0.307285
  0.5461, 0.319205
   0.546,  0.31457
  0.5448, 0.301987
  0.5433, 0.316556
  0.5431, 0.316556
  0.5428, 0.316556
  0.5427, 0.321192
  0.5426, 0.304636
  0.5426, 0.315894
  0.5422, 0.321192
  0.5413, 0.322517
  0.5392, 0.306623
   0.539, 0.312583
  0.5387, 0.316556
  0.5387, 0.313245
  0.5385, 0.307947
  0.5372, 0.316556
  0.5359, 0.303973
  0.5351,  0.30596
  0.5351, 0.315894
  0.5345, 0.317881
  0.5338, 0.305298
  0.5293,  0.31457
  0.5291, 0.312583
   0.529, 0.323841
  0.5286, 0.307947
   0.527, 0.313907
  0.5257, 0.311258
  0.5257, 0.321192
  0.5253, 0.318543
  0.5251, 0.306623
  0.5251, 0.313907
  0.5247, 0.321854
  0.5246, 0.319868
  0.5237, 0.305298
  0.5234,  0.31457
  0.5233, 0.315232
  0.5233, 0.322517
  0.5216, 0.316556
  0.5213, 0.311921
  0.5198,  0.32053
  0.5198, 0.312583
  0.5196, 0.317219
  0.5187, 0.315232
  0.5185, 0.307285
  0.5184, 0.305298
  0.5183, 0.311921
   0.517, 0.321854
  0.5168, 0.307285
  0.5161, 0.313245
  0.5155, 0.310596
  0.5153, 0.315232
  0.5149,  0.30596
  0.5138, 0.306623
  0.5121, 0.307285
  0.5121, 0.315894
  0.5113,      0.3
   0.511, 0.304636
  0.5096, 0.312583
  0.5094, 0.302649
  0.5087, 0.317219
  0.5073, 0.305298
  0.5071, 0.312583
  0.5067,  0.31457
  0.5065, 0.309934
  0.5057, 0.301987
  0.5048, 0.310596
   0.503, 0.316556
  0.5009, 0.316556
  0.5009, 0.309272
  0.5009, 0.298013
  0.5005, 0.310596
  0.4997, 0.315894
  0.4987, 0.317219
  0.4984,  0.31457
  0.4972, 0.305298
  0.4959, 0.313907
  0.4958, 0.307947
  0.4954, 0.305298
  0.4937, 0.319205
  0.4907, 0.317881
  0.4891,  0.32053
  0.4876,  0.31457
  0.4873,  0.30596
