gen, roulette_ternary_uniform_best, roulette_ternary_uniform_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.108837
   3,   0.2628, 0.111007
   4,   0.2628, 0.111495
   5,   0.2628,   0.1112
   6,   0.2628, 0.110868
   7,   0.2628, 0.109605
   8,   0.2628, 0.110121
   9,   0.2628, 0.111975
  10,   0.2697, 0.115757
  11,   0.2697, 0.113193
  12,   0.2697,  0.11502
  13,   0.2697, 0.115557
  14,   0.2697,  0.11833
  15,   0.2697, 0.114996
  16,   0.2697, 0.118624
  17,   0.2697, 0.117116
  18,   0.2697, 0.113419
  19,   0.2697, 0.123291
  20,   0.2697, 0.121753
  21,   0.2697, 0.121071
  22,   0.2697, 0.121004
  23,   0.2697, 0.121421
  24,   0.2697,  0.12389
  25,   0.2697, 0.122221
  26,   0.2697, 0.121385
  27,   0.2697, 0.120472
  28,   0.2697, 0.128193
  29,   0.2697,  0.12715
  30,   0.2697, 0.127459
  31,   0.2697, 0.126551
  32,   0.2697, 0.123656
  33,   0.2697,  0.12691
  34,    0.272, 0.127467
  35,    0.272, 0.130679
  36,    0.272, 0.129543
  37,    0.272, 0.130933
  38,   0.2728, 0.134661
  39,   0.2728, 0.132472
  40,   0.2728,  0.12907
  41,   0.2728, 0.131472
  42,   0.3234, 0.134726
  43,   0.3234, 0.131158
  44,   0.3234, 0.135027
  45,   0.3234, 0.134627
  46,   0.3234, 0.134897
  47,   0.3234, 0.136078
  48,   0.3234, 0.135048
  49,   0.3234, 0.135273
  50,   0.3234, 0.137277
  51,   0.3234, 0.140645
  52,   0.3234, 0.146719
  53,   0.3234, 0.146777
  54,   0.3234, 0.144488
  55,   0.3234, 0.147959
  56,   0.3234, 0.148397
  57,   0.3234, 0.149685
  58,   0.3234, 0.149471
  59,   0.3234, 0.152975
  60,   0.3234, 0.150391
  61,   0.3767, 0.155665
  62,   0.3767, 0.149868
  63,   0.3767,  0.15764
  64,   0.3767, 0.159497
  65,   0.3767, 0.161087
  66,   0.3767, 0.161552
  67,   0.3767, 0.161568
  68,   0.3767, 0.164739
  69,   0.3767, 0.164245
  70,   0.3767, 0.162535
  71,   0.3767, 0.166954
  72,   0.3767, 0.171427
  73,   0.3767, 0.165437
  74,   0.3767, 0.173669
  75,   0.3767, 0.176279
  76,   0.3767, 0.178472
  77,   0.3767, 0.176297
  78,   0.3767, 0.175547
  79,   0.3767, 0.179366
  80,   0.3767, 0.184452
  81,   0.3767, 0.185287
  82,   0.3767, 0.188504
  83,   0.3767, 0.183988
  84,   0.3767, 0.181545
  85,   0.3767, 0.188575
  86,   0.3767, 0.193094
  87,   0.3767, 0.191375
  88,   0.3767, 0.197225
  89,   0.3811, 0.201636
  90,   0.3811, 0.199377
  91,   0.3811, 0.202248
  92,   0.3811, 0.207614
