accuracy,sparse
  0.7862, 0.315232
  0.7842, 0.310596
  0.7841,  0.31457
  0.7834, 0.315894
  0.7832, 0.318543
  0.7831, 0.311921
   0.783, 0.311921
  0.7823, 0.317881
  0.7821,  0.31457
   0.782, 0.313245
  0.7809, 0.315232
  0.7808, 0.309934
  0.7806, 0.313907
  0.7805,  0.31457
  0.7803, 0.311921
  0.7803,  0.32053
  0.7803,  0.31457
  0.7799, 0.313245
  0.7798, 0.316556
  0.7797, 0.318543
   0.772, 0.318543
  0.7452, 0.313245
  0.7351, 0.323179
  0.7345, 0.307947
  0.7276,  0.31457
  0.7275, 0.315232
  0.7269, 0.311258
  0.7245, 0.313245
  0.7161, 0.312583
  0.7125, 0.310596
  0.7078,  0.31457
  0.7046,  0.31457
  0.7019, 0.300662
  0.7004, 0.306623
  0.6961,  0.31457
  0.6942, 0.315894
  0.6942, 0.317881
  0.6902, 0.317881
  0.6895, 0.313907
   0.686, 0.311258
   0.683, 0.312583
  0.6822, 0.310596
  0.6821, 0.313907
  0.6821, 0.315894
  0.6809, 0.319868
  0.6784, 0.309272
  0.6721, 0.310596
  0.6702, 0.318543
  0.6696, 0.310596
  0.6694, 0.311921
  0.6691, 0.309272
   0.668, 0.309934
  0.6674, 0.301325
  0.6669, 0.319205
  0.6649, 0.308609
  0.6646,  0.31457
   0.664,  0.32053
  0.6636, 0.313907
  0.6635, 0.316556
  0.6614,  0.32649
  0.6602, 0.319205
  0.6589, 0.298676
  0.6582,  0.31457
  0.6571, 0.311258
  0.6551, 0.317881
  0.6537, 0.317219
  0.6509, 0.317219
  0.6506,  0.30596
  0.6503, 0.315232
  0.6499, 0.319868
  0.6498, 0.308609
  0.6472, 0.310596
  0.6461,  0.32649
  0.6434, 0.316556
  0.6431, 0.317219
  0.6396, 0.318543
  0.6383, 0.313245
  0.6363, 0.310596
   0.633, 0.315894
  0.6315, 0.321192
   0.631, 0.301325
  0.6308, 0.306623
  0.6307, 0.307285
  0.6301, 0.315232
  0.6301, 0.318543
    0.63,  0.32053
  0.6297, 0.305298
  0.6279, 0.321192
  0.6266,  0.31457
   0.624, 0.316556
  0.6238, 0.309934
  0.6213, 0.316556
  0.6198, 0.319205
  0.6186, 0.322517
  0.6182, 0.315894
  0.6167, 0.311258
  0.6144, 0.311921
  0.6143, 0.310596
  0.6142, 0.303311
  0.6141, 0.315232
  0.6141, 0.310596
  0.6132,  0.31457
  0.6123, 0.312583
  0.6117, 0.313245
  0.6101, 0.329139
  0.6091, 0.311258
  0.6088, 0.313245
  0.6067, 0.329801
  0.6058, 0.321854
  0.6053, 0.313245
  0.6038, 0.319205
  0.6035, 0.311921
  0.6034, 0.315894
  0.6033, 0.319205
  0.6032, 0.313907
  0.6004, 0.313907
  0.6001, 0.322517
  0.5994, 0.309934
  0.5983, 0.313245
  0.5982, 0.310596
  0.5974, 0.311921
  0.5971, 0.323841
  0.5963,  0.30596
  0.5959, 0.321854
  0.5935, 0.310596
  0.5933,  0.32053
  0.5927, 0.311921
  0.5922, 0.323179
   0.592, 0.323841
  0.5915,  0.31457
  0.5912, 0.315894
  0.5912, 0.323841
  0.5882, 0.307285
   0.588, 0.325166
  0.5879, 0.319205
  0.5874, 0.307285
  0.5869, 0.319868
  0.5851, 0.319868
  0.5844, 0.315894
  0.5841, 0.312583
   0.583, 0.322517
  0.5826, 0.310596
  0.5826, 0.328477
  0.5821,  0.32053
  0.5819,  0.31457
  0.5807, 0.311921
  0.5807, 0.312583
    0.58, 0.309272
  0.5786, 0.306623
  0.5772, 0.323179
  0.5766, 0.312583
  0.5759, 0.315232
  0.5756, 0.309934
  0.5755,  0.31457
  0.5753,  0.31457
  0.5745, 0.321192
   0.573, 0.319205
  0.5727, 0.309934
  0.5722, 0.310596
  0.5717, 0.311921
    0.57, 0.313907
  0.5696, 0.311258
   0.569,  0.32053
  0.5665, 0.324503
  0.5661, 0.311258
  0.5652, 0.310596
  0.5651, 0.309934
  0.5647,  0.32649
  0.5643, 0.322517
  0.5643, 0.321854
  0.5634, 0.313907
  0.5634, 0.311258
  0.5626, 0.315894
  0.5608,  0.32053
  0.5607, 0.309272
  0.5602, 0.313907
    0.56, 0.318543
  0.5582, 0.307285
  0.5578, 0.307947
  0.5573, 0.321192
  0.5564, 0.311258
  0.5562, 0.315232
  0.5556, 0.321192
  0.5555, 0.308609
   0.555, 0.315894
  0.5548,  0.32649
  0.5544, 0.316556
  0.5531, 0.305298
  0.5529, 0.313907
  0.5529, 0.307285
   0.552, 0.313907
  0.5512, 0.317219
   0.551, 0.311921
  0.5507, 0.319868
  0.5495,  0.31457
  0.5493,  0.31457
   0.549, 0.308609
  0.5481, 0.313907
   0.546, 0.313245
  0.5458, 0.306623
  0.5442, 0.317881
  0.5441,  0.31457
  0.5437, 0.319205
  0.5436, 0.305298
  0.5434, 0.316556
  0.5432, 0.315232
  0.5427, 0.329801
  0.5425, 0.321854
  0.5419, 0.313245
  0.5415, 0.315894
  0.5414, 0.319868
   0.541, 0.318543
  0.5408, 0.328477
    0.54, 0.319868
  0.5391, 0.323841
  0.5389, 0.323179
  0.5376, 0.322517
  0.5374, 0.324503
  0.5372, 0.323179
  0.5359, 0.317881
  0.5345, 0.315894
  0.5337, 0.309272
  0.5322, 0.319205
  0.5315, 0.312583
  0.5307, 0.312583
  0.5304, 0.309934
  0.5299, 0.313907
  0.5298, 0.312583
  0.5292, 0.327152
  0.5282, 0.319868
  0.5277,  0.31457
  0.5274, 0.306623
  0.5272,  0.31457
  0.5269,  0.31457
  0.5262,  0.32649
  0.5259, 0.317219
   0.523, 0.325828
  0.5222, 0.306623
    0.52,  0.31457
  0.5194, 0.309272
  0.5184, 0.303973
  0.5169, 0.322517
  0.5161, 0.323841
  0.5158, 0.309272
   0.514, 0.310596
  0.5134, 0.322517
  0.5132, 0.309272
  0.5128, 0.315232
  0.5122, 0.312583
  0.5122,  0.32649
  0.5108, 0.325828
  0.5106, 0.321854
  0.5097, 0.312583
  0.5095, 0.311921
  0.5075,  0.31457
   0.507, 0.323841
  0.5062, 0.319868
  0.5043, 0.311258
  0.5043, 0.316556
   0.504, 0.311258
  0.5016, 0.317881
  0.5014, 0.317219
  0.4993, 0.317219
  0.4992,  0.31457
   0.499, 0.311258
  0.4969, 0.307285
  0.4963, 0.310596
  0.4939, 0.330464
  0.4938, 0.302649
  0.4927, 0.319868
  0.4923, 0.317881
  0.4919, 0.315232
  0.4917, 0.309934
  0.4916, 0.299338
  0.4908, 0.322517
  0.4906, 0.313245
  0.4902, 0.308609
  0.4897, 0.317881
  0.4889,  0.31457
   0.488,  0.31457
  0.4855, 0.313907
  0.4849, 0.321192
  0.4842, 0.316556
  0.4838, 0.313245
  0.4834, 0.309272
  0.4826,  0.32053
  0.4814, 0.312583
  0.4812, 0.315232
  0.4808, 0.306623
  0.4794, 0.316556
  0.4793, 0.311921
   0.479, 0.321854
  0.4789,  0.30596
  0.4789, 0.323179
  0.4788, 0.310596
  0.4782, 0.315894
  0.4781, 0.316556
  0.4775, 0.318543
  0.4771, 0.315894
  0.4766, 0.309272
  0.4764,  0.30596
  0.4755, 0.325166
  0.4751, 0.317219
  0.4744, 0.315894
  0.4743, 0.319868
  0.4706, 0.323179
  0.4688, 0.310596
  0.4687, 0.327152
  0.4676, 0.319868
  0.4674,  0.32053
  0.4668, 0.323179
  0.4659, 0.304636
  0.4638, 0.304636
  0.4625, 0.331126
  0.4622, 0.319205
    0.46, 0.327815
  0.4592, 0.325828
  0.4578, 0.309272
  0.4576, 0.310596
