gen, tournament_binary_onepoint_best, tournament_binary_onepoint_ave
   1,   0.2136, 0.102451
   2,   0.2231, 0.112459
   3,   0.2231, 0.115734
   4,    0.269, 0.150124
   5,   0.2841, 0.185302
   6,   0.3041, 0.221134
   7,   0.3123, 0.245903
   8,   0.3209, 0.265492
   9,   0.3235,  0.27422
  10,   0.3368, 0.292162
  11,   0.3456,  0.29331
  12,   0.3504, 0.304959
  13,   0.3581, 0.308536
  14,   0.3612, 0.317502
  15,    0.373, 0.329204
  16,    0.379, 0.325337
  17,    0.395, 0.336307
  18,   0.4228, 0.355393
  19,   0.4228, 0.354924
  20,   0.4328, 0.375104
  21,   0.4328, 0.384046
  22,   0.4395, 0.395528
  23,   0.4395, 0.399002
  24,   0.4424, 0.403552
  25,    0.454, 0.408651
  26,   0.4581, 0.413874
  27,   0.4581, 0.413159
  28,   0.4629, 0.421901
  29,   0.4682,  0.42437
  30,   0.4682, 0.426005
  31,   0.4736, 0.425383
  32,   0.4742, 0.431456
  33,   0.4742, 0.433601
  34,   0.4748, 0.431453
  35,   0.4778, 0.435077
  36,   0.4778, 0.439763
  37,   0.4816, 0.439746
  38,   0.4828, 0.446288
  39,   0.4845, 0.442608
  40,   0.4849, 0.442657
  41,   0.4872,  0.44488
  42,   0.4888, 0.448937
  43,   0.4902, 0.447318
  44,   0.4936, 0.454247
  45,   0.4936, 0.448989
  46,   0.4936, 0.456088
  47,   0.4969, 0.456108
  48,   0.4969, 0.458672
  49,   0.5018, 0.460001
  50,   0.5018,  0.46176
  51,   0.5043, 0.462631
  52,   0.5076, 0.466668
  53,   0.5116, 0.467456
  54,   0.5125, 0.470856
  55,   0.5125, 0.471471
  56,   0.5125, 0.472625
  57,   0.5125, 0.473511
  58,   0.5136, 0.473838
  59,   0.5136, 0.476408
  60,    0.514,  0.47485
  61,   0.5142, 0.477986
  62,   0.5148, 0.480961
  63,   0.5148, 0.477327
  64,   0.5173,  0.47415
  65,   0.5173, 0.476195
  66,   0.5178, 0.476396
  67,   0.5178, 0.482512
  68,   0.5182, 0.481593
  69,   0.5182, 0.481014
  70,   0.5202, 0.478456
  71,   0.5202, 0.478588
  72,   0.5203, 0.478628
  73,   0.5211, 0.482736
  74,   0.5211, 0.486549
  75,   0.5211, 0.488173
  76,   0.5222, 0.483612
  77,   0.5222, 0.488124
  78,   0.5229,  0.48842
  79,   0.5243, 0.486832
  80,   0.5254, 0.487185
  81,   0.5255, 0.489026
  82,   0.5255, 0.489392
  83,   0.5258, 0.488091
  84,   0.5265, 0.488858
  85,   0.5265, 0.488229
  86,    0.527, 0.490526
  87,   0.5287, 0.489237
  88,   0.5287, 0.491805
  89,   0.5292,  0.48977
  90,   0.5292, 0.492382
  91,   0.5315, 0.490217
  92,   0.5315, 0.493188
  93,   0.5328, 0.493028
