gen, tournament_binary_twopoint_best, tournament_binary_twopoint_ave
   1,   0.2136, 0.102451
   2,   0.2148, 0.116722
   3,   0.2162, 0.124841
   4,   0.2524, 0.131935
   5,   0.2674, 0.137589
   6,   0.2781, 0.156303
   7,   0.2786, 0.187424
   8,   0.2899, 0.220268
   9,    0.312, 0.235236
  10,   0.3148, 0.248442
  11,    0.324, 0.255536
  12,   0.3413, 0.264455
  13,    0.365, 0.277834
  14,   0.3701, 0.287632
  15,   0.3771, 0.298611
  16,   0.3837, 0.311475
  17,   0.3837, 0.320352
  18,   0.3868, 0.336957
  19,   0.3933,  0.34113
  20,   0.3947, 0.350407
  21,   0.3988, 0.345811
  22,   0.4082, 0.348418
  23,   0.4128, 0.352924
  24,   0.4233,  0.36123
  25,   0.4239, 0.356368
  26,   0.4323, 0.363146
  27,   0.4323, 0.373817
  28,   0.4393,  0.37092
  29,   0.4393, 0.374299
  30,   0.4461, 0.381311
  31,   0.4546,  0.38674
  32,   0.4546,  0.39668
  33,   0.4615,  0.40247
  34,   0.4651, 0.411063
  35,   0.4664, 0.415812
  36,   0.4664, 0.413314
  37,   0.4689, 0.415699
  38,   0.4729, 0.414869
  39,   0.4729, 0.415462
  40,   0.4729, 0.415067
  41,   0.4758, 0.416745
  42,   0.4758, 0.416849
  43,   0.4758, 0.421555
  44,   0.4777, 0.422029
  45,   0.4777, 0.422824
  46,   0.4799, 0.428112
  47,   0.4874, 0.429962
  48,   0.4874,  0.43016
  49,   0.4915,  0.43507
  50,   0.4915, 0.433423
  51,   0.4989, 0.438136
  52,   0.5028, 0.445352
  53,   0.5048, 0.446269
  54,   0.5048, 0.451405
  55,   0.5063, 0.453353
  56,   0.5109, 0.460155
  57,   0.5202,  0.46093
  58,   0.5202, 0.463327
  59,   0.5308, 0.466792
  60,   0.5308, 0.468983
  61,   0.5355, 0.475804
  62,   0.5355, 0.477919
  63,   0.5392, 0.486418
  64,   0.5418, 0.489897
  65,   0.5418, 0.487945
  66,   0.5486, 0.488026
  67,   0.5493, 0.492123
  68,   0.5548, 0.499382
  69,   0.5552, 0.504211
  70,   0.5578, 0.506227
  71,   0.5603, 0.507559
  72,    0.561,  0.51072
  73,    0.564, 0.508955
  74,   0.5654, 0.509712
  75,   0.5659,   0.5151
  76,   0.5665, 0.514048
  77,   0.5712, 0.515095
  78,   0.5717, 0.515363
  79,   0.5717, 0.516815
  80,   0.5739, 0.519904
  81,   0.5856, 0.518176
  82,   0.5856, 0.521487
  83,   0.5952, 0.519318
  84,   0.5957, 0.526941
  85,   0.5957, 0.534381
  86,    0.597, 0.533968
  87,   0.5973, 0.536148
  88,   0.6116, 0.537186
  89,   0.6116, 0.541854
  90,   0.6129, 0.548562
  91,   0.6129, 0.553394
  92,   0.6129,  0.55232
  93,   0.6164, 0.558588
  94,   0.6164, 0.556482
  95,   0.6164, 0.558662
  96,   0.6188, 0.560688
  97,   0.6188, 0.561298
  98,   0.6214,  0.56414
  99,   0.6214, 0.563926
 100,   0.6215,   0.5661
 101,   0.6256, 0.566345
 102,   0.6256, 0.568294
 103,   0.6256, 0.567665
 104,   0.6276, 0.568905
 105,   0.6277, 0.570663
 106,    0.632,  0.57162
 107,    0.632, 0.573649
 108,    0.632, 0.575691
 109,    0.632, 0.574183
 110,    0.632, 0.576895
 111,   0.6326, 0.577057
 112,   0.6332, 0.573299
 113,    0.638, 0.580368
 114,    0.638, 0.581203
 115,   0.6392, 0.581266
 116,   0.6392, 0.578681
 117,     0.64, 0.581618
 118,   0.6415, 0.583877
 119,   0.6421,   0.5875
 120,   0.6433, 0.591627
 121,   0.6433,  0.58678
 122,   0.6433, 0.582334
 123,   0.6469, 0.586123
 124,   0.6491, 0.588125
 125,   0.6512, 0.593014
 126,   0.6512, 0.584309
 127,   0.6512, 0.586804
 128,   0.6528, 0.592135
 129,   0.6528, 0.596196
 130,   0.6528, 0.595412
 131,   0.6545, 0.595266
 132,   0.6572,  0.59237
 133,   0.6625,  0.59423
 134,   0.6625,  0.59424
 135,   0.6644, 0.598641
 136,   0.6647,  0.59928
 137,   0.6647, 0.602216
 138,   0.6705, 0.603928
 139,   0.6705, 0.599479
 140,   0.6705, 0.598857
 141,   0.6705, 0.598473
 142,   0.6751, 0.596495
