gen, tournament_binary_uniform_best, tournament_binary_uniform_ave
   1,   0.2136, 0.102451
   2,   0.2137,  0.10632
   3,   0.2137,   0.1104
   4,   0.2414, 0.118202
   5,   0.2414, 0.144012
   6,   0.2834, 0.151777
   7,    0.299, 0.178662
   8,   0.3191, 0.207856
   9,   0.3523, 0.239229
  10,   0.3665, 0.248248
  11,   0.3809, 0.272218
  12,   0.4027, 0.298019
  13,   0.4298, 0.316415
  14,   0.4298, 0.321409
  15,   0.4496, 0.341126
  16,   0.4496, 0.369457
  17,    0.462, 0.382572
  18,   0.4668, 0.397291
  19,   0.4779, 0.415026
  20,   0.4838, 0.418282
  21,    0.496,  0.43069
  22,    0.496, 0.431712
  23,   0.5128, 0.438328
  24,   0.5128,  0.44767
  25,    0.513, 0.450993
  26,   0.5149, 0.457629
  27,   0.5268, 0.466362
  28,   0.5268, 0.468309
  29,   0.5268, 0.473034
  30,   0.5321, 0.484765
  31,   0.5321, 0.488852
  32,   0.5325, 0.489608
  33,   0.5375, 0.497512
  34,   0.5375, 0.499101
  35,   0.5439, 0.500858
  36,   0.5443, 0.505473
  37,    0.553,   0.5102
  38,   0.5585, 0.506106
  39,   0.5621, 0.508982
  40,   0.5695, 0.512496
  41,   0.5754, 0.517114
  42,   0.5787, 0.522254
  43,   0.5906, 0.534533
  44,   0.6005, 0.533024
  45,   0.6116,   0.5414
  46,   0.6116, 0.553522
  47,   0.6146,  0.56223
  48,   0.6231, 0.567639
  49,   0.6231, 0.575141
  50,   0.6272, 0.577551
  51,   0.6272, 0.579031
  52,   0.6328, 0.582003
  53,   0.6341, 0.583558
  54,   0.6341, 0.584469
  55,   0.6397,  0.58691
  56,   0.6397, 0.587932
  57,   0.6402,  0.59039
  58,   0.6418,  0.59473
  59,   0.6426, 0.597642
  60,   0.6456, 0.598821
  61,   0.6487,  0.59764
  62,   0.6487, 0.597659
  63,    0.654, 0.603415
  64,    0.654, 0.605362
  65,    0.654, 0.607052
  66,   0.6567, 0.611486
  67,   0.6567, 0.613334
  68,   0.6588, 0.617391
  69,   0.6623,  0.61859
  70,   0.6623,  0.61375
  71,   0.6633, 0.618033
  72,    0.664, 0.617818
  73,   0.6654, 0.627638
  74,   0.6684, 0.627814
  75,   0.6685, 0.627709
  76,   0.6688, 0.627928
  77,   0.6702, 0.631367
  78,   0.6723, 0.626784
  79,   0.6723, 0.629137
  80,   0.6723, 0.629824
  81,   0.6729, 0.629581
  82,   0.6729, 0.631594
  83,   0.6777, 0.634169
  84,   0.6777,  0.63472
  85,    0.683, 0.636718
  86,   0.6996, 0.638245
  87,   0.6996, 0.639328
  88,   0.6996, 0.647826
  89,   0.6996,  0.65248
  90,    0.701, 0.657378
  91,   0.7027, 0.658217
  92,   0.7027,   0.6609
  93,   0.7027, 0.660802
  94,   0.7041, 0.661712
  95,   0.7041, 0.660281
  96,   0.7055, 0.662272
  97,   0.7057, 0.662903
  98,   0.7088, 0.665222
  99,   0.7088, 0.662051
 100,   0.7093, 0.663449
 101,   0.7093, 0.664486
 102,   0.7112,   0.6689
 103,   0.7121, 0.671496
 104,   0.7121, 0.670704
 105,   0.7123, 0.665946
 106,   0.7128, 0.670892
 107,   0.7135, 0.669626
 108,   0.7144, 0.669345
 109,   0.7173, 0.671435
 110,   0.7173, 0.670334
 111,   0.7176, 0.674077
 112,   0.7254, 0.674501
 113,   0.7254, 0.674441
 114,   0.7254, 0.675596
 115,   0.7254, 0.674996
 116,   0.7254, 0.675496
 117,   0.7318, 0.678807
 118,   0.7318, 0.677154
 119,   0.7318, 0.680641
 120,   0.7318, 0.682668
 121,   0.7319, 0.680418
 122,   0.7319, 0.679724
 123,   0.7319, 0.678031
 124,   0.7319,  0.67869
 125,   0.7319,  0.68211
 126,    0.732, 0.682421
 127,   0.7325,  0.68297
 128,   0.7338, 0.680868
 129,   0.7338, 0.680479
 130,   0.7347, 0.684281
 131,   0.7365,  0.68057
 132,   0.7365, 0.682028
 133,   0.7365, 0.683537
 134,   0.7372, 0.686496
 135,   0.7372, 0.687726
 136,   0.7372, 0.683639
 137,   0.7378, 0.684472
 138,   0.7378, 0.686103
 139,   0.7381, 0.688457
 140,   0.7395, 0.685508
 141,     0.74, 0.682914
 142,   0.7405, 0.680928
 143,   0.7413, 0.689645
 144,   0.7429, 0.687754
 145,   0.7433, 0.690723
 146,   0.7433, 0.691479
 147,   0.7469, 0.693424
 148,   0.7469, 0.694237
 149,   0.7469, 0.696693
 150,   0.7469, 0.695548
 151,   0.7469, 0.695916
 152,   0.7469, 0.697496
 153,   0.7469, 0.701993
 154,   0.7475, 0.697984
 155,   0.7483, 0.697388
 156,    0.749, 0.695906
 157,    0.749, 0.696754
 158,    0.749,  0.69872
 159,    0.749, 0.699363
 160,   0.7492, 0.703405
 161,   0.7492, 0.699132
 162,   0.7492, 0.694676
 163,   0.7504, 0.698409
 164,   0.7511, 0.698343
 165,   0.7511,  0.69775
 166,   0.7524, 0.696825
 167,   0.7524, 0.703366
 168,   0.7525, 0.702235
 169,   0.7525, 0.703992
 170,   0.7525,  0.70289
 171,   0.7525, 0.698976
 172,   0.7532, 0.702614
 173,   0.7532, 0.700787
 174,   0.7532, 0.699226
 175,   0.7532, 0.702541
 176,   0.7532, 0.702238
 177,   0.7532, 0.700661
 178,   0.7532, 0.700683
 179,   0.7532, 0.701987
 180,   0.7532, 0.701605
 181,   0.7535, 0.702593
 182,   0.7536, 0.707998
 183,   0.7536, 0.705597
 184,   0.7536, 0.704972
 185,   0.7536, 0.703329
 186,   0.7546, 0.703183
 187,   0.7546, 0.705857
