gen, tournament_float_onepoint_best, tournament_float_onepoint_ave
   1,   0.2046, 0.102435
   2,   0.2046, 0.093458
   3,    0.231, 0.119109
   4,   0.2594, 0.146514
   5,   0.2761, 0.185102
   6,   0.2786, 0.224989
   7,   0.3079, 0.250479
   8,   0.3079, 0.254798
   9,   0.3313, 0.284839
  10,   0.3313, 0.291088
  11,   0.3449, 0.301271
  12,    0.349, 0.309993
  13,   0.3613, 0.317245
  14,   0.3667, 0.324095
  15,   0.3699, 0.328203
  16,    0.386,  0.34151
  17,   0.3861, 0.337671
  18,   0.3958, 0.352378
  19,   0.3958, 0.343952
  20,   0.3988, 0.359793
  21,   0.4032, 0.366648
  22,   0.4111, 0.364373
  23,   0.4111, 0.381148
  24,   0.4136, 0.378916
  25,   0.4167, 0.381438
  26,   0.4194, 0.384658
  27,   0.4228, 0.389778
  28,   0.4244,  0.38881
  29,   0.4272, 0.394728
  30,   0.4296, 0.397906
  31,   0.4296, 0.397696
  32,   0.4299,  0.39833
  33,   0.4305,  0.40265
  34,   0.4305, 0.401209
  35,   0.4348, 0.405726
  36,   0.4348, 0.405546
  37,   0.4378, 0.408315
  38,   0.4378, 0.411509
  39,   0.4402, 0.416052
  40,   0.4432, 0.416957
  41,   0.4432, 0.415934
  42,   0.4461, 0.419083
  43,   0.4461, 0.421917
  44,   0.4463, 0.424433
  45,   0.4475, 0.423259
  46,   0.4475, 0.424348
  47,   0.4496, 0.426508
  48,   0.4496, 0.426759
  49,   0.4508, 0.428833
  50,   0.4512, 0.428206
  51,   0.4531, 0.430876
  52,   0.4531, 0.428315
  53,   0.4542,  0.43095
  54,   0.4558, 0.430346
  55,   0.4572,  0.43473
  56,   0.4572, 0.436912
  57,   0.4575, 0.434633
  58,   0.4603, 0.434354
  59,   0.4603, 0.437428
  60,   0.4613, 0.439747
  61,   0.4613, 0.440439
  62,   0.4624, 0.438925
  63,   0.4624, 0.439459
  64,   0.4636, 0.444741
  65,   0.4636, 0.445048
  66,   0.4646, 0.442459
  67,   0.4646, 0.442933
  68,   0.4657, 0.443883
  69,   0.4657,  0.44423
  70,   0.4664, 0.446292
  71,   0.4664,  0.44548
  72,   0.4664, 0.444997
  73,   0.4664, 0.443146
  74,   0.4667, 0.443512
  75,   0.4676, 0.443752
  76,   0.4687,  0.44966
  77,   0.4687, 0.444541
  78,    0.469, 0.447688
  79,   0.4693, 0.449488
  80,     0.47, 0.449424
  81,     0.47, 0.449362
  82,   0.4701, 0.451926
  83,   0.4712, 0.451389
  84,   0.4713, 0.450052
  85,   0.4713, 0.452202
  86,   0.4713, 0.449641
  87,    0.472, 0.451795
  88,    0.472, 0.453119
  89,    0.472, 0.453159
  90,   0.4724, 0.449406
  91,   0.4724,  0.45193
  92,   0.4726, 0.452994
  93,   0.4734, 0.453651
  94,   0.4734, 0.454851
  95,   0.4734,  0.45406
  96,   0.4738, 0.455806
  97,    0.474, 0.455601
  98,   0.4742, 0.454513
  99,   0.4744, 0.456654
 100,   0.4744, 0.455483
 101,   0.4744, 0.458548
 102,   0.4746, 0.457121
