gen, tournament_float_twopoint_best, tournament_float_twopoint_ave
   1,   0.2046, 0.102435
   2,   0.2091, 0.112525
   3,   0.2391, 0.125314
   4,   0.2405, 0.130911
   5,   0.2719, 0.155045
   6,   0.2861, 0.166183
   7,   0.2885, 0.191134
   8,   0.2924, 0.200524
   9,   0.3356, 0.210915
  10,   0.3356, 0.215968
  11,   0.3356, 0.226124
  12,   0.3438, 0.259953
  13,   0.3483, 0.287946
  14,   0.3616, 0.308099
  15,   0.3719, 0.319039
  16,   0.3808, 0.324447
  17,   0.3972, 0.333002
  18,   0.3975, 0.341932
  19,   0.4167, 0.350741
  20,   0.4167, 0.353815
  21,   0.4196, 0.358319
  22,   0.4317, 0.371307
  23,   0.4317, 0.369144
  24,   0.4433,  0.38148
  25,   0.4494, 0.387448
  26,   0.4494, 0.393366
  27,   0.4611, 0.403494
  28,    0.466, 0.404918
  29,   0.4767, 0.407508
  30,   0.4767,  0.40815
  31,   0.4767, 0.411983
  32,   0.4812, 0.413917
  33,   0.4838, 0.419534
  34,   0.4861, 0.425035
  35,   0.4861, 0.417466
  36,   0.4861, 0.416271
  37,   0.4861, 0.423297
  38,   0.4861, 0.423164
  39,   0.4861,  0.42418
  40,   0.4881, 0.426732
  41,   0.4891, 0.426433
  42,   0.4928, 0.425319
  43,   0.4928,  0.42781
  44,   0.4928, 0.427236
  45,   0.4935, 0.433061
  46,   0.4953, 0.441955
  47,   0.4953, 0.441258
  48,   0.5069, 0.441685
  49,   0.5069, 0.448075
  50,   0.5162, 0.451196
  51,   0.5162, 0.453257
  52,   0.5162, 0.455002
  53,   0.5242, 0.458316
  54,   0.5321, 0.459916
  55,   0.5321, 0.468479
  56,   0.5368, 0.467267
  57,   0.5368, 0.469808
  58,   0.5504, 0.478047
  59,   0.5504, 0.482581
  60,   0.5524, 0.489788
  61,   0.5524, 0.486678
  62,   0.5524, 0.489792
  63,   0.5524, 0.492602
  64,   0.5533, 0.489725
  65,   0.5533,  0.49304
  66,   0.5552, 0.490703
  67,   0.5633, 0.498004
  68,   0.5633, 0.493165
  69,   0.5633,   0.4969
  70,   0.5633, 0.502239
  71,   0.5652, 0.505689
  72,   0.5652, 0.507226
  73,   0.5652, 0.503779
  74,   0.5683,   0.5035
  75,   0.5683, 0.500106
  76,   0.5683, 0.505394
  77,   0.5683, 0.504502
  78,   0.5755, 0.501867
  79,   0.5755, 0.502071
  80,   0.5755, 0.507302
  81,   0.5766, 0.512787
  82,   0.5773,  0.51216
  83,   0.5791, 0.518042
  84,   0.5835, 0.517754
  85,   0.5835, 0.517757
  86,   0.5847, 0.515549
  87,   0.5853, 0.516675
  88,   0.5853, 0.518052
  89,   0.5866, 0.516568
  90,   0.5869, 0.520237
  91,   0.5869, 0.521451
  92,   0.5894, 0.521708
  93,   0.5894, 0.522561
  94,   0.5894,  0.52599
  95,   0.5901, 0.526954
  96,   0.5921, 0.525592
  97,   0.5921, 0.525173
  98,   0.5921, 0.525711
  99,   0.5921, 0.529523
 100,   0.5921, 0.524173
 101,   0.5921, 0.523974
 102,   0.5948, 0.521848
 103,   0.5948, 0.527363
 104,   0.5965, 0.528421
 105,   0.5965,  0.52932
 106,   0.5965, 0.529987
 107,   0.5965, 0.525883
 108,   0.5965, 0.521269
 109,   0.5965,  0.52909
 110,   0.5965, 0.532934
 111,   0.5965, 0.528682
 112,   0.5965,   0.5351
 113,   0.5965, 0.532806
 114,   0.5974, 0.528364
 115,   0.5974, 0.530004
 116,   0.5974,  0.53668
 117,   0.5974, 0.535819
 118,   0.5996, 0.535697
 119,   0.5996, 0.534432
 120,      0.6, 0.534373
 121,   0.6028, 0.534344
 122,   0.6028, 0.533338
 123,   0.6028,  0.52969
 124,   0.6028, 0.526894
 125,   0.6028,   0.5324
 126,   0.6028, 0.534244
 127,   0.6028, 0.533509
 128,   0.6028, 0.531998
 129,   0.6028, 0.536952
 130,   0.6039, 0.540613
 131,   0.6039,  0.54099
 132,   0.6049,  0.53969
 133,   0.6059,  0.54436
 134,   0.6076, 0.545886
 135,   0.6076, 0.545972
