gen, tournament_float_uniform_best, tournament_float_uniform_ave
   1,   0.2046, 0.102435
   2,   0.2185, 0.104163
   3,   0.2303, 0.117371
   4,   0.2866, 0.123294
   5,    0.289,  0.13531
   6,    0.289, 0.154731
   7,   0.3032, 0.169179
   8,   0.3497,  0.19773
   9,   0.3497, 0.226902
  10,   0.3767, 0.267466
  11,   0.4049, 0.300599
  12,   0.4115, 0.327441
  13,   0.4266, 0.334888
  14,   0.4275, 0.343812
  15,   0.4395, 0.370188
  16,   0.4395, 0.361946
  17,   0.4488, 0.376621
  18,   0.4494, 0.396463
  19,    0.475, 0.400266
  20,   0.4981, 0.409911
  21,   0.4981, 0.421683
  22,   0.4981, 0.434931
  23,   0.5054,  0.45459
  24,    0.513, 0.461082
  25,    0.513, 0.457658
  26,   0.5179, 0.471539
  27,   0.5245, 0.480403
  28,   0.5248, 0.480075
  29,   0.5278, 0.484825
  30,   0.5356, 0.486553
  31,   0.5399, 0.485919
  32,   0.5418, 0.496688
  33,   0.5455, 0.493699
  34,   0.5455, 0.501152
  35,    0.555, 0.507808
  36,   0.5561, 0.508943
  37,   0.5561, 0.513924
  38,   0.5623, 0.519124
  39,   0.5623, 0.517022
  40,   0.5644, 0.521697
  41,   0.5652, 0.526022
  42,   0.5701, 0.525047
  43,   0.5706, 0.526558
  44,   0.5706, 0.525051
  45,   0.5774, 0.527046
  46,   0.5774, 0.525958
  47,   0.5774, 0.531647
  48,   0.5791, 0.532644
  49,   0.5791, 0.535821
  50,   0.5801, 0.534275
  51,   0.5817, 0.538908
  52,   0.5817,  0.54052
  53,   0.5822, 0.540241
  54,   0.5842,  0.54237
  55,   0.5847, 0.543995
  56,   0.5869, 0.545184
  57,   0.5872, 0.547386
  58,   0.5879, 0.543375
  59,   0.5934,  0.55026
  60,   0.5934, 0.545344
  61,   0.5934,  0.54431
  62,   0.5934, 0.550638
  63,   0.5934, 0.548442
  64,   0.5946, 0.554112
  65,    0.595, 0.555623
  66,   0.5979, 0.555002
  67,   0.5979,  0.55896
  68,   0.5983, 0.553199
  69,   0.5983, 0.554905
  70,   0.6005, 0.556362
  71,   0.6005, 0.557273
  72,   0.6005, 0.559013
  73,   0.6005,  0.56286
  74,   0.6015, 0.559506
  75,   0.6022, 0.561909
  76,   0.6022, 0.560904
  77,   0.6022, 0.562971
  78,   0.6045, 0.562461
  79,   0.6055, 0.559311
  80,   0.6064, 0.562575
  81,   0.6082, 0.567267
  82,   0.6082, 0.569199
  83,   0.6082, 0.568479
  84,     0.61, 0.571351
  85,     0.61, 0.572196
  86,     0.61, 0.572397
  87,   0.6102,  0.57426
  88,   0.6107, 0.572016
  89,   0.6142, 0.571709
  90,   0.6142, 0.577078
  91,   0.6142, 0.578383
  92,   0.6142, 0.575031
  93,   0.6142, 0.576097
  94,   0.6142, 0.575254
  95,   0.6142, 0.576166
  96,   0.6152, 0.578196
  97,   0.6152, 0.578349
  98,   0.6155,  0.57804
  99,   0.6162, 0.577135
 100,   0.6162, 0.576761
 101,   0.6162, 0.580292
 102,   0.6166, 0.574859
 103,   0.6166, 0.578709
 104,   0.6173, 0.573889
 105,   0.6177, 0.575818
 106,   0.6192, 0.569899
