accuracy,sparse
  0.8108, 0.615232
  0.8113,  0.61457
  0.8111,  0.61457
  0.8109,  0.61457
  0.8101, 0.615232
  0.8101, 0.615232
  0.8101, 0.615232
  0.8107,  0.61457
    0.81, 0.615232
  0.8088, 0.615894
  0.8093, 0.615232
  0.8106, 0.613907
  0.8106, 0.613907
  0.8119, 0.612583
  0.8097,  0.61457
   0.809, 0.615232
  0.8102, 0.613907
  0.8102, 0.613907
  0.8102, 0.613907
  0.8094,  0.61457
  0.8107, 0.612583
  0.8014, 0.615894
   0.801, 0.615232
  0.8022, 0.612583
  0.8013, 0.611921
  0.8005, 0.612583
  0.8014, 0.611258
  0.7994, 0.613245
  0.8033, 0.609272
  0.7959,  0.61457
  0.7969, 0.613245
  0.7997, 0.609934
   0.796, 0.612583
  0.7975, 0.609272
  0.7979, 0.607285
  0.7956, 0.609272
  0.7933, 0.610596
  0.7908, 0.612583
  0.7902, 0.612583
  0.7935, 0.609272
  0.7895, 0.613245
  0.7919, 0.610596
  0.7918, 0.610596
  0.7895, 0.612583
  0.7886, 0.611921
  0.7866, 0.613907
  0.7871, 0.613245
   0.791, 0.609272
  0.7892, 0.610596
  0.7872, 0.612583
  0.7855, 0.613907
  0.7858, 0.612583
  0.7884, 0.609934
   0.786, 0.611258
   0.786, 0.611258
  0.7858, 0.611258
  0.7854, 0.610596
  0.7844, 0.611258
  0.7906, 0.604636
  0.7812, 0.613907
  0.7864, 0.607285
  0.7854, 0.607947
  0.7816, 0.610596
  0.7819, 0.609934
  0.7829, 0.608609
  0.7807, 0.609934
  0.7807, 0.609934
   0.784, 0.606623
  0.7838, 0.606623
  0.7804, 0.609934
  0.7843, 0.605298
  0.7819, 0.607285
  0.7785, 0.610596
  0.7763, 0.612583
  0.7793, 0.608609
  0.7758, 0.611921
  0.7759, 0.611258
  0.7729, 0.613907
  0.7786, 0.607947
  0.7742, 0.611921
  0.7754, 0.610596
  0.7764, 0.608609
  0.7787,  0.60596
  0.7767, 0.607947
  0.7762, 0.607947
  0.7747, 0.609272
  0.7768, 0.606623
  0.7722, 0.610596
  0.7753, 0.607285
  0.7749, 0.606623
  0.7695, 0.611921
  0.7653, 0.615232
  0.7716, 0.607947
  0.7663, 0.613245
  0.7709, 0.608609
  0.7719, 0.607285
  0.7678, 0.611258
   0.765, 0.613907
