gen, tournament_scalar_uniform_best, tournament_scalar_uniform_ave
   1,   0.2261, 0.100111
   2,   0.2461, 0.101487
   3,   0.2461, 0.110004
   4,   0.2461, 0.126023
   5,   0.2962, 0.157557
   6,   0.2962, 0.181896
   7,   0.3308,  0.20508
   8,   0.3352, 0.228974
   9,   0.3352,   0.2304
  10,   0.3628, 0.259235
  11,   0.3628, 0.280835
  12,   0.3823, 0.289125
  13,   0.3897, 0.308104
  14,   0.4002, 0.328739
  15,   0.4127, 0.332969
  16,   0.4168, 0.341486
  17,   0.4218, 0.355945
  18,   0.4361, 0.370991
  19,   0.4434, 0.382687
  20,   0.4434, 0.391705
  21,   0.4474, 0.398256
  22,   0.4548, 0.395193
  23,   0.4586, 0.397399
  24,    0.466, 0.409191
  25,   0.4729, 0.408545
  26,   0.4729, 0.412795
  27,    0.485, 0.424019
  28,   0.4899,  0.42752
  29,   0.4959, 0.431039
  30,    0.497, 0.443005
  31,   0.4998, 0.446056
  32,   0.4998, 0.446384
  33,   0.5049, 0.454235
  34,   0.5085, 0.456949
  35,   0.5091, 0.455838
  36,   0.5143,  0.46433
  37,   0.5169, 0.464307
  38,   0.5184, 0.465847
  39,   0.5304,  0.47101
  40,   0.5356, 0.474192
  41,   0.5422, 0.477321
  42,   0.5524, 0.475414
  43,   0.5429, 0.489787
  44,   0.5429, 0.485989
  45,   0.5521, 0.489511
  46,   0.5601, 0.487242
  47,   0.5601, 0.491761
  48,   0.5594, 0.490057
  49,   0.5656,  0.49999
  50,   0.5708, 0.502075
  51,    0.573, 0.507246
  52,   0.5741, 0.506594
  53,   0.5741, 0.508589
  54,   0.5772, 0.509734
  55,   0.5749,  0.51621
  56,   0.5856, 0.519276
  57,   0.5856, 0.520712
  58,   0.5895, 0.523728
  59,   0.5898, 0.529299
  60,   0.5898, 0.526829
  61,   0.5904, 0.529642
  62,   0.5904,  0.53185
  63,   0.5915, 0.535352
  64,   0.5922, 0.537177
  65,   0.5957, 0.537539
  66,    0.594, 0.535212
  67,    0.594, 0.535919
  68,   0.5903, 0.537859
  69,    0.595, 0.536149
  70,   0.5969, 0.545437
  71,   0.6004, 0.545449
  72,   0.6004,  0.53975
  73,   0.6041,  0.53862
  74,   0.6041, 0.541764
  75,    0.606, 0.539833
  76,   0.6098, 0.544483
  77,   0.6117, 0.548048
  78,   0.6297, 0.549445
  79,   0.6297, 0.556277
  80,   0.6355, 0.563004
  81,   0.6445, 0.568663
  82,   0.6499, 0.575735
  83,   0.6499, 0.586282
  84,    0.652, 0.585262
  85,    0.652, 0.590086
  86,    0.652, 0.586953
  87,    0.652,  0.59174
  88,    0.652, 0.588369
  89,    0.652, 0.592014
  90,   0.6509, 0.593222
  91,   0.6509, 0.590656
  92,   0.6569, 0.589166
  93,   0.6569, 0.595403
  94,   0.6556, 0.587825
  95,    0.658, 0.595012
  96,   0.6684, 0.593273
  97,   0.6725,  0.59035
  98,   0.6725, 0.597846
  99,   0.6725, 0.597233
 100,   0.6744, 0.604026
 101,   0.6753, 0.600011
 102,   0.6753, 0.601487
 103,   0.6753, 0.598213
 104,   0.6753,  0.60633
 105,   0.6782, 0.603139
 106,   0.6819, 0.609082
 107,   0.6819, 0.612866
 108,   0.6736, 0.607864
 109,   0.6836, 0.614492
 110,   0.6836, 0.607039
 111,   0.6811, 0.608342
 112,   0.6811, 0.605741
 113,   0.6811, 0.605356
 114,   0.6811, 0.618114
 115,   0.6811, 0.613024
 116,   0.6877, 0.619929
 117,   0.6907,  0.61161
 118,   0.6907, 0.619351
 119,   0.6907, 0.619296
 120,   0.6926, 0.617296
 121,    0.699, 0.618697
 122,    0.699, 0.623545
 123,    0.699,  0.62426
 124,    0.694, 0.625211
 125,    0.694, 0.628541
 126,   0.7011, 0.627327
 127,   0.7011, 0.620607
 128,   0.7011, 0.627301
 129,   0.7006, 0.627392
 130,   0.7006, 0.629103
 131,   0.7006, 0.627699
 132,   0.7006,  0.63497
 133,   0.7044, 0.634993
 134,   0.7044, 0.634501
 135,   0.7044, 0.636868
 136,   0.7044, 0.632139
 137,   0.7044, 0.633517
 138,   0.7044,  0.63137
 139,   0.7044, 0.638493
 140,   0.7092, 0.635789
 141,   0.7063,  0.63399
 142,   0.7124, 0.631159
 143,   0.7124, 0.636332
 144,   0.7124, 0.640086
 145,   0.7109,  0.63988
 146,   0.7109, 0.642707
 147,   0.7167, 0.645091
 148,   0.7167, 0.644913
 149,   0.7167, 0.639502
 150,   0.7167, 0.647473
 151,   0.7167, 0.646584
 152,   0.7167, 0.653512
 153,   0.7167, 0.652856
 154,   0.7167,  0.65187
 155,   0.7174, 0.642449
 156,   0.7198, 0.650783
 157,   0.7209, 0.648636
 158,   0.7209, 0.643923
 159,   0.7209, 0.648347
 160,   0.7211,  0.64788
 161,   0.7211, 0.655914
 162,   0.7211, 0.651598
 163,   0.7211, 0.647534
 164,   0.7283, 0.650944
 165,   0.7283, 0.651226
 166,   0.7283, 0.656675
 167,   0.7283, 0.656017
 168,   0.7283, 0.651888
 169,   0.7283, 0.654019
 170,   0.7273, 0.655657
 171,   0.7273, 0.661285
 172,   0.7273, 0.658366
 173,   0.7322, 0.662557
 174,   0.7322, 0.660305
 175,   0.7322, 0.658019
 176,   0.7311, 0.661041
 177,   0.7326, 0.659151
 178,   0.7326, 0.654885
 179,   0.7326, 0.658623
 180,   0.7326, 0.654768
 181,   0.7326, 0.657615
 182,   0.7326,  0.65259
 183,   0.7326, 0.653593
