accuracy,sparse
  0.8466, 0.601324
  0.8463, 0.600662
  0.8407, 0.605298
  0.8412, 0.604636
  0.8405, 0.605298
  0.8448, 0.600662
  0.8409, 0.603974
  0.8434, 0.601324
  0.8412, 0.603311
   0.843, 0.601324
  0.8449, 0.599338
  0.8462, 0.598013
  0.8453, 0.598675
  0.8426, 0.601324
  0.8392, 0.604636
  0.8425, 0.601324
  0.8385, 0.605298
  0.8444, 0.599338
  0.8442, 0.599338
  0.8421, 0.601324
   0.843, 0.599338
  0.8393, 0.597351
  0.8371, 0.599338
  0.8332, 0.601324
  0.8325, 0.601987
  0.8405, 0.593377
  0.8316, 0.601987
   0.838, 0.593377
  0.8298, 0.600662
   0.833, 0.596689
  0.8307, 0.598675
  0.8285, 0.600662
  0.8236, 0.603974
  0.8295, 0.598013
  0.8288, 0.598675
  0.8263, 0.600662
  0.8232, 0.601987
  0.8295, 0.595364
   0.826, 0.598013
  0.8218, 0.601987
  0.8257, 0.596689
   0.823, 0.598013
  0.8223, 0.598675
  0.8186, 0.601987
  0.8262, 0.592715
  0.8186,      0.6
  0.8244,  0.59404
  0.8214, 0.596689
  0.8211, 0.596689
  0.8222, 0.595364
  0.8169, 0.600662
  0.8202, 0.597351
  0.8169,      0.6
  0.8214, 0.595364
  0.8225,  0.59404
  0.8137, 0.602649
  0.8191, 0.596689
  0.8197, 0.596026
  0.8185, 0.596689
  0.8237, 0.591391
  0.8201, 0.594702
    0.82,  0.59404
  0.8244, 0.589404
  0.8144, 0.599338
  0.8109, 0.602649
  0.8201, 0.593377
  0.8154, 0.598013
  0.8189,  0.59404
  0.8215, 0.591391
  0.8128,      0.6
  0.8163, 0.596026
  0.8219, 0.590066
  0.8146, 0.597351
  0.8146, 0.596689
  0.8129, 0.598013
  0.8142, 0.596689
  0.8192, 0.591391
  0.8102,      0.6
  0.8148, 0.595364
   0.809, 0.600662
  0.8102, 0.599338
  0.8148, 0.594702
  0.8146, 0.594702
  0.8129, 0.596026
  0.8176, 0.590728
  0.8139,  0.59404
  0.8116, 0.596026
  0.8116, 0.596026
    0.81, 0.597351
  0.8119, 0.595364
  0.8019, 0.605298
  0.8103, 0.596689
  0.8122, 0.594702
  0.8108, 0.596026
  0.8136, 0.592715
  0.8087, 0.597351
  0.8066, 0.599338
  0.8099, 0.596026
  0.8091, 0.596689
  0.8053,      0.6
  0.8079, 0.597351
  0.8124, 0.592053
  0.8033, 0.600662
  0.8102, 0.593377
  0.8068, 0.596689
  0.8112, 0.592053
  0.8051, 0.598013
  0.8082, 0.594702
  0.8075, 0.595364
  0.8073, 0.595364
  0.8026,      0.6
  0.8045, 0.598013
  0.8108, 0.591391
  0.8051, 0.596689
  0.8029, 0.598013
  0.7988, 0.601987
   0.802, 0.598675
  0.8072, 0.593377
  0.8126, 0.587417
  0.8073, 0.592715
     0.8, 0.599338
  0.8025, 0.596689
  0.8038, 0.595364
  0.7985, 0.600662
  0.8041, 0.594702
  0.8027, 0.596026
  0.7999, 0.598675
  0.8038,  0.59404
  0.8045, 0.592715
  0.8068, 0.590066
  0.8034, 0.592715
  0.7954, 0.600662
  0.8013, 0.594702
   0.792, 0.603974
  0.7988, 0.596689
  0.7985, 0.596689
  0.8009,  0.59404
  0.7958, 0.598675
  0.7963, 0.598013
  0.8022, 0.592053
  0.7942,      0.6
  0.8001, 0.593377
