gen, tournament_scalar_onepoint_best, tournament_scalar_onepoint_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.104902
   3,   0.2565, 0.148806
   4,   0.2584, 0.196212
   5,    0.263, 0.217663
   6,   0.2634, 0.227103
   7,   0.2668, 0.233156
   8,   0.2854, 0.234011
   9,   0.2862, 0.238035
  10,   0.3107, 0.238935
  11,   0.3107, 0.251001
  12,   0.3269, 0.257477
  13,   0.3425, 0.262736
  14,   0.3613, 0.280255
  15,   0.3613, 0.281392
  16,   0.3636, 0.296042
  17,   0.3788, 0.302684
  18,   0.3788, 0.309621
  19,   0.3947, 0.317949
  20,   0.3947, 0.322866
  21,   0.4178, 0.344996
  22,   0.4238, 0.353603
  23,   0.4338, 0.360488
  24,   0.4338, 0.364896
  25,   0.4341,  0.38363
  26,   0.4339,  0.39328
  27,   0.4369, 0.393777
  28,   0.4365, 0.395644
  29,   0.4515, 0.404923
  30,   0.4515,  0.40086
  31,   0.4541, 0.408464
  32,   0.4606, 0.409238
  33,   0.4736, 0.408213
  34,   0.4736, 0.414414
  35,   0.4742, 0.424178
  36,   0.4803,  0.42265
  37,   0.4803, 0.426326
  38,   0.4835, 0.432225
  39,   0.4835, 0.432616
  40,   0.4826, 0.435174
  41,   0.4865, 0.435614
  42,   0.4859, 0.438393
  43,   0.4954, 0.441837
  44,   0.4958, 0.443579
  45,   0.4958, 0.440484
  46,   0.5023, 0.449239
  47,   0.5024, 0.449021
  48,   0.5024, 0.457585
  49,   0.5048, 0.450732
  50,   0.5036, 0.453068
  51,   0.5022, 0.458056
  52,   0.5096, 0.459133
  53,   0.5096, 0.459306
  54,   0.5103,  0.46029
  55,   0.5103, 0.460947
  56,    0.516, 0.466156
  57,    0.516, 0.466504
  58,   0.5149,  0.47617
  59,    0.518, 0.474966
  60,    0.521, 0.477698
  61,    0.521, 0.471653
  62,   0.5213,  0.47302
  63,   0.5213, 0.468531
  64,   0.5209, 0.476723
  65,   0.5237, 0.476789
  66,   0.5237, 0.475099
  67,   0.5264, 0.475676
  68,   0.5264, 0.478107
  69,   0.5267,  0.48199
  70,   0.5267, 0.479849
  71,   0.5251, 0.484733
  72,   0.5251, 0.480513
  73,   0.5296, 0.481173
  74,   0.5296, 0.477419
  75,   0.5262, 0.485629
  76,   0.5304, 0.487341
  77,   0.5291, 0.482154
  78,   0.5288, 0.490408
  79,   0.5324, 0.483886
  80,   0.5324, 0.485206
  81,   0.5336, 0.485629
  82,   0.5336, 0.484824
  83,   0.5316, 0.491105
  84,   0.5336,   0.4904
  85,   0.5336, 0.487449
  86,   0.5317, 0.496081
  87,   0.5317,  0.49056
  88,   0.5341,  0.49286
  89,   0.5336, 0.490666
  90,    0.531, 0.493557
  91,   0.5406, 0.493204
  92,   0.5406, 0.494213
