gen, tournament_scalar_twopoint_best, tournament_scalar_twopoint_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.113001
   3,   0.2387, 0.132062
   4,   0.2519,  0.16327
   5,   0.2669, 0.192754
   6,   0.2781, 0.163569
   7,   0.2924, 0.204601
   8,   0.3097, 0.231421
   9,   0.3101, 0.246765
  10,   0.3265, 0.264675
  11,   0.3265, 0.269384
  12,   0.3548, 0.285837
  13,   0.3611, 0.299019
  14,   0.3714, 0.304186
  15,   0.3735, 0.314705
  16,   0.3789, 0.328124
  17,   0.3868,  0.33371
  18,   0.4047, 0.341297
  19,   0.4194, 0.352852
  20,   0.4191, 0.358162
  21,   0.4478, 0.372783
  22,   0.4448, 0.375758
  23,   0.4616, 0.391139
  24,   0.4569, 0.402176
  25,   0.4813, 0.405258
  26,   0.4813, 0.410372
  27,   0.4813, 0.418685
  28,   0.4827, 0.428176
  29,   0.4841,  0.43889
  30,   0.4885, 0.441533
  31,   0.4899, 0.442463
  32,   0.4998, 0.444622
  33,    0.495, 0.446864
  34,   0.5013, 0.455164
  35,   0.5088, 0.456416
  36,   0.5088, 0.463773
  37,   0.5182,  0.46323
  38,   0.5182, 0.464652
  39,   0.5164, 0.471725
  40,   0.5217, 0.474412
  41,     0.53, 0.481183
  42,     0.53, 0.480873
  43,   0.5319,  0.48881
  44,   0.5314, 0.488156
  45,   0.5348,  0.49482
  46,    0.534,  0.49255
  47,   0.5356, 0.499487
  48,   0.5356, 0.491439
  49,    0.531, 0.492032
  50,    0.531, 0.494983
  51,   0.5408, 0.497132
  52,   0.5408, 0.495525
  53,   0.5408, 0.495349
  54,   0.5408, 0.495943
  55,   0.5408, 0.497882
  56,   0.5368, 0.497958
  57,   0.5478, 0.498872
  58,   0.5478, 0.499983
  59,   0.5492, 0.503024
  60,   0.5448, 0.507328
  61,   0.5448, 0.498698
  62,   0.5487, 0.503851
  63,   0.5487, 0.507088
  64,   0.5489, 0.511133
  65,   0.5524, 0.510332
  66,   0.5501,  0.50825
  67,   0.5501, 0.511609
  68,    0.564, 0.517485
  69,   0.5689, 0.517359
  70,   0.5689, 0.524245
  71,   0.5689, 0.529112
  72,   0.5828, 0.531883
  73,   0.5828, 0.534445
  74,   0.5996, 0.536624
  75,   0.5996, 0.541704
  76,   0.5981, 0.546481
  77,   0.6005, 0.549967
  78,   0.6051, 0.548027
  79,   0.6051, 0.554165
  80,   0.6051, 0.547011
  81,   0.6051, 0.548304
  82,   0.6089, 0.550645
  83,   0.6068, 0.555259
  84,   0.6068, 0.560434
  85,    0.615, 0.560524
  86,    0.615, 0.564539
  87,   0.6096, 0.562956
  88,   0.6096, 0.562018
  89,   0.6193, 0.567289
  90,   0.6219, 0.567454
  91,   0.6204,  0.56856
  92,   0.6212, 0.573249
  93,   0.6212, 0.571772
  94,   0.6247, 0.569726
  95,   0.6247,  0.56473
  96,   0.6237, 0.565611
  97,   0.6238,  0.56624
