accuracy,sparse
   0.762, 0.582781
  0.7647,  0.57947
    0.76, 0.584106
  0.7608, 0.582781
  0.7627, 0.580795
  0.7629, 0.580132
  0.7624, 0.580132
  0.7622, 0.580132
  0.7648, 0.577483
    0.76, 0.582119
  0.7626,  0.57947
  0.7632, 0.578808
  0.7625,  0.57947
  0.7625,  0.57947
  0.7605, 0.581457
  0.7605, 0.581457
  0.7644, 0.577483
  0.7577, 0.584106
   0.761, 0.580795
  0.7623,  0.57947
  0.7622,  0.57947
   0.759, 0.580795
  0.7598, 0.578146
   0.763, 0.574834
  0.7558, 0.578808
  0.7539, 0.580132
  0.7519, 0.581457
  0.7552, 0.578146
  0.7525,  0.57947
  0.7482, 0.580795
  0.7547, 0.574172
  0.7497, 0.578808
  0.7455, 0.581457
  0.7487, 0.577483
  0.7472, 0.578808
  0.7468, 0.578808
  0.7448, 0.580795
  0.7484, 0.576821
  0.7471, 0.576821
  0.7449, 0.578808
   0.742, 0.580132
  0.7463, 0.575497
  0.7429, 0.578808
  0.7434, 0.578146
   0.741, 0.580132
  0.7419, 0.578808
  0.7414, 0.578808
  0.7363, 0.583444
  0.7405, 0.578808
  0.7385, 0.580795
    0.74, 0.578146
  0.7379,  0.57947
  0.7366, 0.580132
  0.7385, 0.578146
   0.739, 0.577483
  0.7354, 0.580795
  0.7378, 0.578146
  0.7406, 0.574834
  0.7366, 0.578808
  0.7383, 0.576821
  0.7378, 0.576159
  0.7325, 0.581457
   0.744, 0.569536
   0.732, 0.581457
  0.7332, 0.580132
  0.7324, 0.580795
  0.7423, 0.570199
   0.737, 0.575497
  0.7383, 0.574172
  0.7329,  0.57947
  0.7289, 0.583444
  0.7334, 0.578808
  0.7302, 0.581457
  0.7334, 0.578146
  0.7334, 0.578146
  0.7356, 0.574834
  0.7329, 0.577483
  0.7355, 0.574834
   0.736, 0.574172
  0.7335, 0.576159
  0.7258, 0.583444
  0.7344, 0.574834
   0.733, 0.576159
  0.7283, 0.580795
  0.7299, 0.578808
  0.7292,  0.57947
  0.7344, 0.574172
  0.7335, 0.574172
  0.7293, 0.578146
  0.7213, 0.586093
  0.7331, 0.574172
  0.7321, 0.574834
  0.7265, 0.580132
  0.7298, 0.576821
  0.7256, 0.580795
  0.7282, 0.578146
  0.7288, 0.576821
  0.7293, 0.576159
  0.7351, 0.570199
  0.7329, 0.572185
   0.729, 0.575497
  0.7217, 0.582119
  0.7228, 0.580795
