accuracy,sparse
  0.2461, 0.350993
  0.2261, 0.339735
  0.2159, 0.337086
  0.2042, 0.343709
  0.2119,  0.33245
  0.1959, 0.347682
  0.1944, 0.345695
  0.2025, 0.335762
  0.1758, 0.362252
  0.1933, 0.343046
  0.1659, 0.362914
  0.1879, 0.338411
  0.1802, 0.345033
  0.1609, 0.364238
  0.1769, 0.347682
  0.2038, 0.319205
   0.185, 0.335762
  0.1505, 0.369536
  0.1861,  0.33245
  0.1633, 0.354967
  0.1659, 0.351656
   0.183, 0.333775
  0.1742, 0.341722
  0.1758, 0.339735
  0.1901, 0.324503
  0.1677, 0.346358
  0.1668,  0.34702
  0.1583, 0.354305
  0.1747, 0.337748
  0.1737, 0.338411
  0.1633, 0.348344
  0.1651, 0.346358
  0.1504, 0.360927
  0.1721, 0.339073
  0.1421, 0.368874
  0.1697,  0.34106
  0.1688, 0.341722
  0.1425,  0.36755
  0.1815, 0.328477
   0.162, 0.345695
  0.1777, 0.329801
  0.1616, 0.341722
  0.1551, 0.347682
  0.1563, 0.346358
  0.1734, 0.329139
  0.1494, 0.352318
  0.1543,  0.34702
   0.146, 0.354967
  0.1556, 0.345033
  0.1528, 0.347682
  0.1643, 0.335099
  0.1364, 0.362914
  0.1593, 0.339073
  0.1621, 0.335099
  0.1575, 0.338411
   0.158, 0.337086
  0.1593, 0.335762
  0.1639, 0.327815
  0.1425, 0.349007
  0.1534, 0.337086
   0.152, 0.338411
  0.1564, 0.333775
  0.1658, 0.323179
  0.1518, 0.337086
  0.1529, 0.335099
   0.152, 0.335762
  0.1431, 0.344371
  0.1308, 0.355629
  0.1398, 0.346358
  0.1322, 0.353642
  0.1352, 0.350331
  0.1537, 0.331788
  0.1494, 0.335762
  0.1319,  0.35298
  0.1362, 0.348344
  0.1419, 0.342384
  0.1359, 0.348344
  0.1654, 0.317881
  0.1574, 0.325166
   0.138, 0.344371
  0.1206, 0.360927
  0.1423, 0.339073
  0.1644, 0.315894
  0.1253, 0.354305
  0.1385,  0.34106
  0.1289, 0.349669
   0.144, 0.334437
