gen, tournament_ternary_onepoint_best, tournament_ternary_onepoint_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.105007
   3,   0.2565,  0.14967
   4,   0.2584, 0.196219
   5,    0.263, 0.217006
   6,   0.2688, 0.227648
   7,   0.2736, 0.234884
   8,   0.2793, 0.239037
   9,   0.2879, 0.248358
  10,   0.2879, 0.249353
  11,   0.3069, 0.262283
  12,   0.3069, 0.259717
  13,   0.3295, 0.262537
  14,   0.3319, 0.276615
  15,   0.3473, 0.285692
  16,   0.3473, 0.293187
  17,   0.3539,  0.30014
  18,   0.3558, 0.302532
  19,   0.3626, 0.315313
  20,   0.3633, 0.321254
  21,   0.3693, 0.322863
  22,   0.3781, 0.329942
  23,   0.3781, 0.332157
  24,   0.3813, 0.348117
  25,   0.3857, 0.349859
  26,   0.3857, 0.354561
  27,   0.3859, 0.355653
  28,   0.3982, 0.360673
  29,   0.3982, 0.362806
  30,   0.4123, 0.373351
  31,   0.4129, 0.376709
  32,    0.426, 0.387445
  33,    0.426, 0.385677
  34,   0.4312, 0.393895
  35,   0.4312, 0.397715
  36,   0.4386, 0.398586
  37,   0.4387, 0.402139
  38,   0.4395, 0.405194
  39,    0.444, 0.403476
  40,   0.4448, 0.411554
  41,    0.447, 0.416004
  42,   0.4492, 0.419386
  43,   0.4492, 0.416642
  44,   0.4516, 0.424018
  45,   0.4516, 0.420602
  46,   0.4558, 0.428223
  47,   0.4562, 0.429181
  48,   0.4568, 0.433225
  49,    0.459, 0.432105
  50,    0.459, 0.432436
  51,   0.4598, 0.436783
  52,     0.46, 0.436882
  53,   0.4638, 0.436164
  54,   0.4638, 0.435898
  55,   0.4652, 0.437625
  56,   0.4683, 0.442046
  57,   0.4683, 0.443755
  58,   0.4805, 0.438074
  59,   0.4883, 0.442358
  60,   0.4951, 0.445147
  61,   0.5088, 0.449982
  62,   0.5088, 0.463464
  63,   0.5137, 0.472751
  64,   0.5192, 0.481109
  65,   0.5205,  0.48413
  66,   0.5242, 0.485242
  67,   0.5242, 0.484309
  68,   0.5302, 0.492581
  69,   0.5339, 0.492254
  70,   0.5339, 0.495793
  71,    0.538,   0.4979
  72,    0.538,  0.50092
  73,   0.5434, 0.507041
  74,   0.5442, 0.508822
  75,   0.5505,  0.50632
  76,   0.5505, 0.508754
  77,    0.553, 0.513051
  78,   0.5534, 0.518889
  79,   0.5545, 0.524235
  80,   0.5545, 0.521388
  81,   0.5573, 0.524501
  82,   0.5576,  0.52379
  83,    0.582, 0.526791
  84,    0.582, 0.530285
  85,   0.5867, 0.536923
  86,   0.5993, 0.546754
  87,   0.5998, 0.552521
  88,   0.5998, 0.551713
  89,    0.601,   0.5522
  90,   0.6033, 0.557065
  91,   0.6033, 0.562223
  92,   0.6058, 0.563722
  93,   0.6058, 0.562963
  94,   0.6076, 0.567235
  95,   0.6106, 0.570709
  96,   0.6113, 0.575721
  97,   0.6139, 0.573186
  98,   0.6154, 0.571789
  99,   0.6184, 0.570283
 100,   0.6184, 0.577455
 101,   0.6215, 0.579794
 102,   0.6215, 0.577292
 103,   0.6224, 0.581002
 104,   0.6229, 0.584462
 105,   0.6262,    0.582
 106,   0.6262, 0.586531
 107,   0.6262, 0.581637
 108,   0.6262,  0.58144
 109,   0.6262, 0.581482
 110,   0.6262, 0.581459
 111,   0.6287, 0.579197
 112,   0.6287, 0.582245
 113,   0.6288, 0.586077
 114,   0.6313, 0.583868
 115,   0.6313, 0.586733
 116,   0.6317, 0.588131
 117,   0.6332,  0.58853
 118,    0.636, 0.590018
 119,    0.636, 0.585972
 120,    0.636, 0.590634
 121,    0.636,    0.592
 122,    0.636, 0.593126
 123,    0.636, 0.596143
 124,    0.636, 0.596497
 125,    0.636, 0.596503
 126,   0.6409, 0.595931
 127,   0.6409, 0.599526
 128,   0.6409, 0.594644
