accuracy,sparse
  0.7479, 0.334437
  0.7476, 0.333775
  0.7476,  0.33245
  0.7475, 0.334437
  0.7474, 0.335099
  0.7474, 0.334437
  0.7474, 0.335099
  0.7474, 0.335762
  0.7474, 0.337748
  0.7473, 0.335762
  0.7473, 0.335099
  0.7473, 0.334437
  0.7473, 0.337086
  0.7472, 0.339735
  0.7472, 0.336424
  0.7472, 0.338411
  0.7472, 0.334437
  0.7472, 0.337748
  0.7472, 0.336424
  0.7472, 0.335762
  0.7453, 0.336424
   0.745, 0.337086
  0.7432, 0.335099
  0.7427, 0.335762
  0.7424, 0.336424
  0.7415, 0.331126
  0.7415, 0.335762
  0.7413,  0.33245
  0.7386, 0.335099
  0.7383, 0.335099
  0.7379, 0.335099
  0.7379, 0.335099
  0.7378, 0.335099
  0.7371, 0.333775
  0.7369, 0.334437
  0.7364, 0.334437
  0.7362, 0.333113
  0.7353, 0.335099
  0.7345, 0.335099
   0.734, 0.334437
   0.734, 0.335099
  0.7339,  0.33245
  0.7336, 0.334437
  0.7329, 0.333113
  0.7322, 0.334437
  0.7321,  0.33245
  0.7317, 0.335099
  0.7316, 0.333775
  0.7313, 0.338411
  0.7309, 0.333775
  0.7308, 0.333775
  0.7304, 0.333113
    0.73, 0.338411
  0.7299, 0.335762
  0.7295, 0.335099
  0.7293, 0.329139
  0.7292, 0.336424
   0.729, 0.334437
   0.729, 0.337086
  0.7288, 0.333775
  0.7287, 0.339735
  0.7285, 0.339735
  0.7281, 0.333113
  0.7279, 0.335099
  0.7276, 0.335099
  0.7273, 0.333113
  0.7273, 0.335762
  0.7272, 0.335762
  0.7272, 0.335099
  0.7271, 0.333775
  0.7266, 0.337748
  0.7262, 0.333775
  0.7259, 0.337086
  0.7259, 0.335099
  0.7258, 0.335762
  0.7248, 0.335099
  0.7248, 0.335762
  0.7248, 0.335762
  0.7246, 0.333775
  0.7242, 0.335099
  0.7242, 0.335762
  0.7239, 0.335099
  0.7237, 0.330464
  0.7237, 0.329139
  0.7236, 0.335762
  0.7234, 0.336424
  0.7231, 0.334437
  0.7229, 0.334437
  0.7225,  0.34106
  0.7225, 0.340397
  0.7222, 0.337748
   0.722, 0.335762
   0.722, 0.337086
  0.7218, 0.331126
  0.7217, 0.335099
  0.7213, 0.331788
  0.7213, 0.333113
  0.7211, 0.334437
  0.7207, 0.333775
  0.7205, 0.333775
  0.7205,  0.33245
  0.7204, 0.337748
  0.7203, 0.334437
  0.7199, 0.333775
  0.7198, 0.333775
  0.7198, 0.335099
  0.7196, 0.336424
  0.7193, 0.338411
  0.7193,  0.33245
  0.7192, 0.335762
  0.7191, 0.333775
  0.7191, 0.335762
  0.7189, 0.333775
  0.7185, 0.340397
  0.7184, 0.334437
  0.7183, 0.335099
  0.7181, 0.335762
  0.7177, 0.330464
  0.7175, 0.336424
  0.7174, 0.336424
  0.7171,  0.33245
  0.7166,  0.33245
  0.7166, 0.331126
   0.716, 0.337086
   0.716, 0.335762
   0.716, 0.340397
  0.7156, 0.334437
  0.7154, 0.333113
  0.7153, 0.337748
  0.7149, 0.335099
  0.7147, 0.337086
  0.7145, 0.336424
  0.7142, 0.335099
  0.7139, 0.335762
  0.7133, 0.335099
  0.7132, 0.333113
  0.7129, 0.331126
  0.7125, 0.335762
  0.7123, 0.331788
   0.712, 0.334437
  0.7119, 0.335099
  0.7118,  0.34106
  0.7114, 0.335762
  0.7114, 0.337086
  0.7113, 0.329801
  0.7111, 0.329801
   0.711, 0.335762
  0.7109, 0.333775
  0.7109, 0.337748
  0.7101, 0.336424
    0.71, 0.335762
  0.7099, 0.331126
  0.7097, 0.334437
  0.7096, 0.333113
  0.7094, 0.337086
  0.7094, 0.335099
  0.7092, 0.336424
  0.7092, 0.335099
  0.7092, 0.336424
  0.7089, 0.331126
  0.7077, 0.337086
  0.7071,  0.33245
  0.7066, 0.337086
  0.7063, 0.335099
   0.706, 0.337086
   0.706, 0.336424
   0.705, 0.333113
  0.7047, 0.335762
  0.7038, 0.334437
  0.7034, 0.330464
  0.7032, 0.338411
   0.703, 0.334437
  0.7022, 0.329139
  0.7021, 0.333113
   0.702, 0.334437
  0.7016, 0.333775
  0.7016, 0.331126
  0.7016,  0.33245
  0.7012, 0.336424
  0.7007, 0.335099
  0.7005, 0.333113
  0.7005, 0.335099
  0.7003, 0.336424
  0.7001, 0.334437
  0.6999, 0.339073
  0.6993,  0.33245
  0.6992, 0.335762
   0.699, 0.335762
  0.6985,  0.33245
  0.6982, 0.330464
   0.698, 0.333113
  0.6974, 0.335762
  0.6974, 0.333775
   0.697, 0.334437
  0.6968, 0.338411
  0.6964, 0.335762
  0.6962, 0.335762
  0.6956, 0.333113
  0.6953, 0.336424
  0.6952, 0.337086
  0.6948, 0.337748
  0.6943, 0.337086
  0.6937, 0.333113
  0.6934, 0.331126
  0.6933, 0.334437
  0.6933, 0.335762
