gen, tournament_ternary_twopoint_best, tournament_ternary_twopoint_ave
   1,   0.2261, 0.100111
   2,   0.2261, 0.113106
   3,   0.2387, 0.132243
   4,   0.2507, 0.162487
   5,   0.2689, 0.194695
   6,    0.281, 0.211443
   7,   0.3304, 0.236718
   8,   0.3304, 0.242172
   9,   0.3511, 0.263477
  10,   0.3626, 0.283711
  11,   0.3822, 0.303055
  12,   0.3989, 0.321566
  13,   0.4051, 0.329854
  14,   0.4209, 0.348633
  15,    0.436, 0.358981
  16,    0.436, 0.376118
  17,   0.4403, 0.380221
  18,   0.4442, 0.385392
  19,   0.4484, 0.386571
  20,   0.4633, 0.397549
  21,   0.4674, 0.403704
  22,    0.472, 0.405293
  23,   0.4756, 0.409886
  24,   0.4792,  0.41758
  25,   0.4815, 0.426595
  26,     0.49, 0.431597
  27,   0.4939, 0.440778
  28,   0.4951, 0.443545
  29,   0.5123, 0.448363
  30,   0.5123, 0.456168
  31,   0.5287,  0.46558
  32,   0.5335, 0.473124
  33,   0.5335, 0.478288
  34,   0.5394, 0.488457
  35,   0.5444, 0.487779
  36,   0.5444, 0.493309
  37,   0.5444, 0.496305
  38,   0.5444, 0.497601
  39,   0.5452, 0.497573
  40,   0.5471, 0.499045
  41,   0.5471, 0.501341
  42,   0.5501, 0.498445
  43,   0.5507, 0.504167
  44,   0.5542, 0.504237
  45,   0.5542, 0.503991
  46,   0.5542, 0.506365
  47,    0.556, 0.513371
  48,   0.5578, 0.508692
  49,     0.56, 0.509483
  50,   0.5603, 0.513044
  51,   0.5651, 0.515067
  52,   0.5651, 0.517569
  53,   0.5651, 0.519719
  54,   0.5651,  0.51693
  55,   0.5651, 0.520845
  56,   0.5672, 0.522434
  57,   0.5682, 0.528449
  58,   0.5699, 0.525903
  59,   0.5731, 0.523797
  60,   0.5744,  0.52581
  61,   0.5744, 0.528589
  62,   0.5803, 0.529601
  63,    0.582, 0.532432
  64,    0.582, 0.533447
  65,    0.582, 0.536772
  66,   0.5871, 0.535317
  67,   0.5871, 0.537243
  68,   0.5871, 0.535623
  69,   0.5956, 0.535863
  70,   0.5978, 0.543957
  71,   0.6019, 0.543037
  72,   0.6049, 0.544363
  73,    0.608, 0.549999
  74,   0.6124, 0.555789
  75,   0.6124, 0.558146
  76,   0.6133, 0.552224
  77,   0.6155, 0.555689
  78,   0.6155, 0.553753
  79,   0.6164, 0.561741
  80,   0.6262,  0.56258
  81,   0.6262, 0.564889
  82,   0.6289, 0.574449
  83,   0.6355, 0.576093
  84,   0.6363, 0.580429
  85,   0.6395, 0.582668
  86,   0.6395, 0.585174
  87,   0.6474, 0.585679
  88,   0.6477, 0.586154
  89,   0.6482, 0.594108
  90,   0.6521, 0.600828
  91,   0.6536,  0.60267
  92,   0.6536, 0.603986
  93,    0.658, 0.606666
  94,    0.658, 0.607926
  95,   0.6584,   0.6059
  96,   0.6611,  0.60403
  97,   0.6611, 0.609771
  98,   0.6662, 0.609882
  99,   0.6662, 0.610025
 100,   0.6662, 0.612305
 101,   0.6696, 0.617972
 102,   0.6713, 0.619036
 103,   0.6727, 0.621354
 104,   0.6727, 0.618479
 105,   0.6727,  0.62369
 106,   0.6727, 0.622564
 107,   0.6727, 0.625812
 108,   0.6746,  0.62544
 109,   0.6746, 0.628172
 110,   0.6769, 0.631462
 111,   0.6769, 0.630683
 112,   0.6785, 0.628206
 113,   0.6797, 0.630097
 114,    0.682, 0.628014
 115,    0.682, 0.628937
 116,    0.682, 0.630757
 117,   0.6821, 0.632694
 118,   0.6824, 0.629911
 119,   0.6847, 0.636492
 120,   0.6847, 0.632129
 121,   0.6847, 0.631885
 122,   0.6847, 0.632038
 123,   0.6847, 0.634288
 124,   0.6847, 0.635345
 125,   0.6847, 0.638383
 126,   0.6852, 0.633882
 127,   0.6852, 0.633161
 128,   0.6902, 0.638574
 129,   0.6902,  0.64119
 130,   0.6902,  0.64655
 131,   0.6926, 0.642288
 132,   0.6926, 0.640356
 133,   0.6926, 0.641745
 134,   0.6926, 0.642691
 135,   0.6926, 0.641434
 136,   0.6926, 0.635966
 137,   0.6926, 0.637484
 138,   0.6926, 0.641029
 139,   0.6926, 0.641471
 140,   0.7013, 0.642401
 141,   0.7013, 0.642581
 142,   0.7013, 0.640074
 143,   0.7013, 0.637235
 144,   0.7013, 0.643767
 145,   0.7044, 0.642941
 146,   0.7068, 0.641324
 147,   0.7078, 0.646731
 148,   0.7078, 0.645515
 149,   0.7097, 0.651017
 150,   0.7153, 0.648445
 151,   0.7153, 0.651294
 152,    0.719, 0.656586
 153,   0.7234, 0.654727
 154,   0.7234, 0.654079
 155,   0.7244, 0.652235
 156,   0.7275, 0.658541
 157,   0.7275, 0.662406
 158,   0.7275, 0.664407
 159,   0.7287, 0.665404
 160,   0.7287, 0.667342
 161,   0.7287, 0.666958
 162,   0.7287, 0.670046
 163,   0.7288, 0.671747
 164,   0.7288, 0.669814
 165,   0.7288, 0.669849
 166,   0.7297, 0.672339
 167,   0.7318, 0.670882
 168,   0.7318, 0.670398
 169,   0.7318, 0.674127
 170,   0.7318, 0.675094
 171,   0.7333,  0.67211
 172,   0.7333, 0.671111
 173,   0.7333,    0.663
 174,   0.7333, 0.673127
 175,   0.7333,  0.67026
 176,   0.7333, 0.672251
 177,   0.7333, 0.671714
 178,   0.7333, 0.670229
 179,   0.7333, 0.673997
 180,   0.7333, 0.669863
 181,   0.7337, 0.674283
 182,   0.7337, 0.673372
 183,   0.7349, 0.670087
 184,   0.7368, 0.669863
 185,   0.7368, 0.672088
 186,   0.7387, 0.675294
 187,   0.7387, 0.671876
 188,   0.7397, 0.672591
 189,   0.7397, 0.671259
 190,   0.7397, 0.671504
 191,   0.7397, 0.669208
 192,   0.7397, 0.673861
 193,   0.7397, 0.672404
 194,   0.7397, 0.670187
 195,   0.7397, 0.672463
 196,   0.7397, 0.678453
 197,   0.7397, 0.679964
 198,   0.7438, 0.674766
 199,   0.7438, 0.672164
 200,   0.7453, 0.675419
 201,   0.7453, 0.680981
 202,   0.7457, 0.677434
 203,   0.7457, 0.681385
 204,   0.7471, 0.682486
 205,   0.7488,  0.68354
 206,   0.7488, 0.677043
 207,   0.7488, 0.680103
 208,   0.7488, 0.679841
 209,   0.7488, 0.682453
 210,   0.7488, 0.689279
 211,   0.7488, 0.686256
 212,   0.7491, 0.685075
 213,   0.7491, 0.682526
 214,   0.7491, 0.680526
 215,   0.7507,  0.68332
 216,   0.7507, 0.683205
 217,   0.7507, 0.683576
 218,   0.7507,  0.68437
 219,   0.7507, 0.688325
 220,   0.7507, 0.685016
 221,   0.7507, 0.689805
 222,   0.7507, 0.687186
 223,   0.7507, 0.684842
 224,   0.7509, 0.687795
 225,   0.7509, 0.688135
 226,   0.7509, 0.690516
 227,   0.7509,  0.68918
 228,   0.7509, 0.688102
 229,   0.7509, 0.683105
 230,    0.751, 0.685645
 231,   0.7518, 0.690177
 232,   0.7518, 0.684988
 233,   0.7518, 0.688142
 234,   0.7518, 0.690999
 235,   0.7518, 0.691567
 236,   0.7535, 0.690485
 237,   0.7535, 0.692242
 238,   0.7535, 0.688189
 239,   0.7535,  0.68601
 240,   0.7535, 0.690051
 241,   0.7535, 0.692738
 242,   0.7536, 0.692852
 243,   0.7536, 0.695027
 244,   0.7536, 0.693608
 245,   0.7538, 0.686437
 246,   0.7538,  0.69009
 247,   0.7538, 0.690065
 248,   0.7554, 0.686245
 249,   0.7554, 0.691799
 250,   0.7555,  0.69115
 251,   0.7555, 0.687479
 252,   0.7563, 0.692417
 253,   0.7563, 0.692355
 254,   0.7563, 0.686644
 255,   0.7563, 0.692272
 256,   0.7563, 0.693228
 257,   0.7563, 0.692374
 258,   0.7563, 0.686468
 259,   0.7577, 0.695796
 260,   0.7577, 0.698458
 261,   0.7577, 0.691206
 262,   0.7577, 0.692249
 263,   0.7577, 0.693351
 264,   0.7577, 0.689133
 265,   0.7577, 0.694493
 266,   0.7577, 0.687899
 267,   0.7577, 0.693748
 268,   0.7577, 0.688179
 269,   0.7577, 0.690313
 270,   0.7577,  0.69423
 271,   0.7579, 0.690098
 272,   0.7579, 0.691678
 273,   0.7583, 0.695349
 274,   0.7583, 0.696597
 275,   0.7583, 0.695132
 276,   0.7583, 0.696365
 277,   0.7583, 0.697401
 278,   0.7598, 0.697115
 279,   0.7598, 0.695656
 280,   0.7598, 0.694468
 281,   0.7598, 0.690264
 282,   0.7598, 0.692346
 283,    0.761, 0.697898
 284,    0.761, 0.696647
 285,   0.7616, 0.697758
 286,   0.7616, 0.699289
 287,   0.7626, 0.698506
 288,   0.7626, 0.697999
 289,   0.7626, 0.693418
 290,   0.7626, 0.698884
 291,    0.763, 0.693558
 292,    0.763, 0.701488
 293,   0.7638, 0.700428
 294,   0.7638, 0.698233
 295,   0.7638, 0.692186
 296,   0.7638, 0.698319
 297,   0.7638, 0.696749
 298,   0.7638, 0.697279
 299,   0.7638, 0.697553
 300,   0.7645, 0.701086
 301,   0.7645, 0.697908
 302,   0.7645, 0.698693
 303,   0.7645, 0.697416
 304,   0.7671,  0.69514
 305,   0.7671, 0.696379
 306,   0.7671,  0.69868
 307,   0.7671, 0.700054
 308,   0.7671, 0.695776
 309,   0.7671, 0.690764
 310,   0.7671, 0.701847
 311,   0.7671, 0.698124
 312,   0.7671, 0.695586
 313,   0.7671, 0.700402
 314,   0.7671, 0.698479
 315,   0.7671, 0.700944
 316,   0.7671,  0.70249
 317,   0.7671, 0.704735
 318,   0.7671, 0.700534
 319,   0.7671, 0.701275
 320,   0.7671, 0.700289
 321,   0.7671, 0.697221
 322,   0.7671,  0.70176
 323,   0.7671, 0.698785
 324,   0.7671, 0.696476
 325,   0.7671, 0.700188
 326,   0.7671, 0.699773
 327,   0.7671, 0.696155
 328,   0.7671,  0.69549
 329,   0.7671, 0.699055
 330,   0.7671, 0.699542
 331,   0.7671, 0.700346
 332,   0.7676,  0.70036
 333,   0.7676, 0.695167
 334,   0.7676, 0.695283
 335,   0.7676, 0.692817
 336,   0.7676, 0.694054
 337,   0.7676, 0.699403
 338,   0.7692, 0.697935
 339,   0.7692,  0.69466
 340,   0.7692,  0.70148
 341,   0.7692, 0.698436
 342,   0.7692, 0.699257
 343,   0.7692, 0.702287
 344,   0.7692, 0.694087
 345,   0.7692,  0.69728
 346,   0.7692, 0.698956
 347,   0.7692, 0.698872
 348,   0.7692, 0.695391
 349,   0.7692, 0.698615
 350,   0.7692, 0.696366
 351,   0.7703, 0.693674
 352,   0.7703, 0.693893
 353,   0.7703, 0.697649
 354,   0.7703, 0.701854
 355,   0.7703, 0.699259
 356,   0.7715, 0.701638
 357,   0.7715, 0.696467
 358,   0.7715, 0.702048
 359,   0.7715, 0.701736
 360,   0.7715, 0.703559
 361,   0.7715, 0.705621
 362,   0.7734, 0.698758
 363,   0.7734,  0.69971
 364,   0.7734, 0.702162
 365,   0.7735, 0.704422
 366,   0.7741, 0.704547
 367,   0.7755,  0.70022
 368,   0.7755, 0.698505
 369,   0.7755, 0.701491
 370,   0.7755, 0.698105
 371,   0.7755,  0.69574
 372,   0.7792, 0.699376
 373,   0.7792, 0.706177
 374,   0.7792,  0.69925
 375,   0.7792, 0.701989
 376,   0.7792, 0.699275
 377,   0.7792, 0.704401
 378,   0.7792,  0.70733
 379,   0.7792, 0.703397
 380,   0.7792, 0.705094
 381,   0.7792, 0.708597
 382,   0.7792, 0.702794
 383,   0.7792, 0.709141
 384,   0.7792, 0.704255
 385,   0.7792, 0.708606
 386,   0.7792, 0.709054
 387,   0.7792, 0.710102
 388,   0.7792, 0.707303
 389,   0.7792, 0.700824
 390,   0.7792, 0.704477
 391,   0.7792, 0.705784
 392,   0.7792, 0.705808
 393,   0.7792, 0.702326
 394,   0.7792, 0.701002
 395,   0.7792, 0.705425
 396,   0.7792,  0.70698
 397,   0.7792, 0.705901
 398,   0.7792, 0.703273
 399,   0.7803,  0.70695
 400,   0.7803, 0.705099
 401,   0.7803, 0.709461
 402,   0.7803, 0.711161
 403,   0.7803, 0.708784
 404,   0.7803, 0.709835
 405,   0.7803, 0.715438
 406,   0.7803, 0.706772
 407,   0.7803, 0.707959
 408,   0.7804, 0.709726
 409,   0.7804, 0.708968
 410,   0.7804, 0.708412
 411,   0.7804, 0.710769
 412,   0.7805, 0.713871
 413,   0.7805, 0.714089
 414,   0.7852, 0.711398
 415,   0.7852, 0.708025
 416,   0.7852, 0.708834
 417,   0.7852,  0.70367
 418,   0.7852, 0.715228
 419,   0.7852, 0.713526
 420,   0.7852, 0.713916
 421,   0.7852, 0.716706
 422,   0.7852,  0.71279
 423,   0.7852, 0.712016
 424,   0.7852, 0.711704
 425,   0.7852, 0.708601
 426,   0.7852, 0.713051
 427,   0.7898,  0.71304
 428,   0.7898,  0.71312
 429,   0.7898, 0.709802
 430,   0.7898, 0.715589
 431,   0.7898, 0.709379
 432,   0.7898, 0.708356
 433,   0.7898, 0.718296
 434,   0.7911, 0.713693
 435,   0.7911, 0.718346
 436,   0.7911, 0.710318
 437,   0.7911, 0.709578
 438,   0.7911, 0.712663
 439,    0.793,  0.71214
 440,    0.793, 0.717276
 441,   0.7945, 0.716106
 442,   0.7945, 0.716512
 443,   0.7945, 0.719257
 444,   0.7945, 0.718669
 445,   0.7945, 0.718134
 446,   0.7957, 0.716372
 447,   0.7957, 0.720541
 448,   0.7957, 0.716875
 449,   0.7982,  0.71422
 450,   0.7982,  0.71968
 451,   0.7991,  0.72094
 452,   0.7991, 0.721693
 453,   0.7991, 0.719189
 454,   0.7991, 0.722653
 455,   0.7991, 0.724179
 456,   0.7991, 0.717479
 457,   0.7991, 0.717338
 458,   0.7991, 0.712737
 459,   0.7991, 0.716789
 460,   0.7991, 0.718491
 461,   0.7991, 0.714971
 462,   0.7991, 0.720516
 463,   0.7991, 0.717369
 464,   0.7991, 0.717644
 465,   0.7991,  0.71775
 466,   0.7991,  0.71992
 467,   0.7991, 0.720854
 468,   0.7991, 0.724063
 469,   0.7991, 0.716704
 470,   0.7991, 0.720875
 471,   0.7991, 0.723138
 472,   0.7991, 0.721274
 473,   0.7991, 0.718845
 474,   0.7991, 0.726625
 475,   0.7991, 0.720526
 476,   0.7991, 0.723585
 477,   0.7991, 0.721944
 478,   0.7996, 0.718964
 479,   0.7996, 0.719461
 480,   0.7996, 0.720045
