accuracy,sparse
  0.8589, 0.354305
  0.8588, 0.356291
  0.8587, 0.354305
  0.8583, 0.354967
  0.8583, 0.354967
  0.8583,  0.35298
  0.8582, 0.350993
  0.8582, 0.353642
  0.8581, 0.354967
  0.8581, 0.356291
   0.858, 0.353642
   0.858, 0.354967
  0.8579, 0.350331
  0.8579, 0.357616
  0.8579, 0.354967
  0.8579, 0.350993
  0.8579, 0.352318
  0.8578, 0.350993
  0.8578, 0.352318
  0.8578, 0.353642
  0.8537, 0.351656
  0.8513, 0.354967
  0.8512, 0.348344
  0.8512,  0.35298
  0.8493, 0.356291
  0.8491, 0.351656
  0.8491, 0.359603
  0.8487, 0.358278
  0.8479, 0.354305
  0.8436, 0.353642
  0.8412, 0.350331
  0.8407, 0.351656
  0.8406, 0.355629
  0.8406, 0.353642
  0.8399, 0.354967
  0.8393, 0.354967
  0.8388, 0.354967
  0.8386, 0.355629
   0.837, 0.352318
  0.8361, 0.357616
  0.8356,  0.35298
  0.8355, 0.353642
  0.8355, 0.351656
  0.8353, 0.354305
  0.8351, 0.354305
   0.835, 0.354305
  0.8347, 0.352318
  0.8334, 0.353642
  0.8333, 0.352318
  0.8333, 0.356954
  0.8329, 0.348344
  0.8325, 0.353642
  0.8324, 0.357616
  0.8312, 0.353642
  0.8307, 0.354305
  0.8307, 0.356291
  0.8303, 0.349669
  0.8303, 0.354967
  0.8297, 0.356291
  0.8296, 0.357616
  0.8294, 0.360265
  0.8292, 0.358278
  0.8292, 0.351656
  0.8292, 0.350331
  0.8285, 0.354305
  0.8283, 0.358278
  0.8282, 0.353642
  0.8277, 0.349669
  0.8274, 0.350993
  0.8266, 0.359603
  0.8259, 0.356291
   0.825, 0.353642
  0.8245, 0.355629
  0.8243, 0.353642
  0.8242, 0.354967
  0.8239, 0.353642
  0.8232, 0.356954
  0.8226, 0.351656
  0.8222,  0.35298
  0.8219, 0.351656
  0.8218,  0.35298
  0.8217, 0.354967
  0.8216,  0.35894
  0.8212, 0.356954
  0.8209, 0.354305
  0.8208, 0.359603
  0.8207,  0.34702
  0.8206, 0.354967
  0.8205, 0.353642
  0.8205, 0.349669
  0.8203, 0.352318
