gen, tournament_ternary_uniform_best, tournament_ternary_uniform_ave
   1,   0.2261, 0.100111
   2,   0.2461, 0.101592
   3,   0.2461, 0.109855
   4,   0.2461, 0.127676
   5,   0.2774, 0.154416
   6,   0.2985, 0.177486
   7,   0.2985, 0.202644
   8,    0.322, 0.221339
   9,   0.3244, 0.242734
  10,   0.3547,  0.26709
  11,   0.3547, 0.273103
  12,   0.3632, 0.282194
  13,   0.3695, 0.296589
  14,   0.3716, 0.302253
  15,   0.3872, 0.308781
  16,   0.3872, 0.306019
  17,   0.3966, 0.325943
  18,   0.4065, 0.348916
  19,   0.4075, 0.365763
  20,   0.4248, 0.372229
  21,   0.4248, 0.378183
  22,   0.4461, 0.377065
  23,   0.4496, 0.386701
  24,   0.4568,  0.39718
  25,   0.4568,   0.4067
  26,   0.4655, 0.420487
  27,   0.4655, 0.424985
  28,   0.4736, 0.429947
  29,   0.4784, 0.430585
  30,   0.4864,  0.43224
  31,   0.4868, 0.433848
  32,   0.4903, 0.441065
  33,   0.4953, 0.439254
  34,   0.5128, 0.451356
  35,   0.5128, 0.454428
  36,   0.5202, 0.466677
  37,   0.5202, 0.468797
  38,   0.5311, 0.474873
  39,   0.5311, 0.477223
  40,   0.5332, 0.484212
  41,   0.5374, 0.487892
  42,   0.5374, 0.486651
  43,   0.5445, 0.493614
  44,   0.5463,  0.49567
  45,   0.5545, 0.500331
  46,   0.5564, 0.500652
  47,   0.5564, 0.508066
  48,   0.5578,  0.51078
  49,   0.5614, 0.510464
  50,   0.5675, 0.519324
  51,   0.5675, 0.514193
  52,   0.5688, 0.520117
  53,    0.572, 0.526934
  54,   0.5727, 0.526806
  55,   0.5771, 0.525805
  56,   0.5771, 0.527773
  57,   0.5796, 0.531905
  58,   0.5823, 0.533831
  59,   0.5854, 0.537102
  60,   0.5881, 0.536723
  61,   0.5881, 0.536079
  62,   0.5906, 0.543499
  63,   0.5906, 0.546437
  64,   0.5906, 0.546098
  65,   0.5907, 0.550568
  66,   0.5907, 0.551203
  67,   0.5907, 0.550013
  68,   0.5911, 0.551403
  69,   0.5911,  0.55084
  70,   0.5927,  0.55532
  71,   0.5927, 0.555935
  72,   0.5935, 0.550788
  73,   0.5936, 0.552158
  74,    0.595, 0.550158
  75,    0.595, 0.553613
  76,   0.5962,  0.55699
  77,   0.5993,  0.55518
  78,   0.5993, 0.548356
  79,   0.5993, 0.553713
  80,   0.6002,  0.56126
  81,   0.6025,  0.55802
  82,   0.6025,  0.56143
  83,    0.605, 0.559869
  84,   0.6053, 0.561491
  85,   0.6053, 0.560064
  86,   0.6055, 0.562286
  87,   0.6072, 0.566735
  88,   0.6079, 0.565274
  89,   0.6089, 0.565083
  90,   0.6089, 0.568123
  91,   0.6123,  0.55955
  92,   0.6158, 0.558143
  93,   0.6163, 0.560426
  94,    0.621, 0.565012
  95,   0.6232, 0.561557
  96,   0.6232, 0.571238
  97,   0.6276, 0.575466
  98,   0.6276, 0.579226
  99,   0.6301, 0.580001
 100,   0.6314, 0.584157
 101,   0.6314, 0.587861
 102,   0.6314, 0.589211
 103,   0.6342, 0.590395
 104,   0.6342, 0.588858
 105,   0.6363, 0.586165
 106,   0.6363, 0.590198
 107,   0.6363,  0.58944
 108,   0.6393, 0.592881
 109,   0.6425, 0.592547
 110,   0.6425, 0.595568
 111,   0.6528, 0.596424
 112,   0.6528,  0.59873
 113,   0.6576, 0.598969
 114,   0.6666, 0.602996
 115,   0.6742, 0.604539
 116,   0.6828, 0.615951
 117,   0.6828, 0.626248
 118,    0.684, 0.623594
 119,    0.684, 0.631068
 120,   0.6882, 0.630818
 121,   0.6902, 0.634477
 122,   0.6925, 0.640692
 123,   0.7017, 0.642007
 124,   0.7017, 0.635129
 125,   0.7134, 0.637538
 126,   0.7145, 0.642079
 127,   0.7145, 0.650995
 128,   0.7164, 0.651051
 129,   0.7164, 0.655681
 130,   0.7174, 0.661021
 131,   0.7219, 0.661948
 132,   0.7224, 0.654971
 133,   0.7224, 0.654583
 134,   0.7256, 0.660566
 135,   0.7256, 0.667205
 136,   0.7256, 0.650819
 137,    0.726, 0.658068
 138,   0.7281, 0.663624
 139,   0.7355, 0.668868
 140,   0.7355, 0.666147
 141,   0.7355, 0.672844
 142,   0.7401, 0.677544
 143,   0.7401, 0.679379
 144,   0.7406,  0.68321
 145,   0.7406, 0.683383
 146,    0.744, 0.682695
 147,    0.744, 0.686707
 148,    0.745, 0.682979
 149,   0.7466, 0.687374
 150,   0.7466, 0.687455
 151,   0.7469, 0.687113
 152,   0.7469, 0.685502
 153,   0.7469,  0.68412
 154,   0.7469, 0.685104
 155,   0.7483, 0.685504
 156,   0.7493, 0.687289
 157,   0.7493, 0.683708
 158,   0.7493, 0.682918
 159,   0.7556, 0.691274
