accuracy,sparse
  0.8345, 0.311921
  0.8343, 0.308609
  0.8343, 0.313245
  0.8342, 0.308609
  0.8342, 0.307947
  0.8341, 0.305298
   0.834, 0.307947
  0.8338, 0.308609
  0.8338, 0.310596
  0.8338, 0.313907
  0.8338, 0.315232
  0.8337, 0.306623
  0.8337, 0.307947
  0.8337, 0.307947
  0.8336, 0.307947
  0.8336, 0.303973
  0.8336, 0.307285
  0.8336, 0.313907
  0.8335,  0.30596
  0.8335,  0.30596
  0.8311, 0.315232
  0.8306, 0.306623
  0.8286, 0.313907
  0.8279, 0.311921
  0.8243, 0.312583
  0.8229, 0.311921
  0.8219, 0.315232
  0.8218, 0.313245
  0.8204, 0.313907
  0.8203, 0.311921
  0.8201, 0.312583
  0.8196, 0.313245
  0.8188, 0.311258
  0.8176, 0.307947
  0.8172, 0.311921
  0.8166, 0.315894
  0.8161, 0.310596
  0.8158, 0.308609
  0.8154, 0.309934
  0.8153, 0.312583
   0.815, 0.312583
  0.8147, 0.307285
  0.8145, 0.309272
  0.8145, 0.309934
  0.8145, 0.312583
   0.814, 0.301325
  0.8132, 0.311258
  0.8126, 0.316556
  0.8126, 0.311921
  0.8124, 0.311258
  0.8117, 0.309272
  0.8116, 0.312583
  0.8112, 0.309272
   0.811, 0.311921
  0.8105, 0.312583
  0.8103, 0.313245
  0.8101, 0.315232
  0.8099, 0.310596
  0.8098, 0.311921
  0.8096, 0.312583
  0.8094, 0.309934
  0.8092, 0.309934
   0.809, 0.311258
   0.809, 0.316556
   0.809, 0.312583
  0.8085, 0.312583
  0.8082, 0.311921
  0.8072, 0.309934
  0.8072, 0.311258
  0.8071, 0.313245
  0.8062, 0.313245
  0.8062, 0.312583
  0.8061,  0.31457
  0.8049, 0.311921
  0.8041, 0.313245
  0.8039, 0.310596
  0.8038, 0.311921
  0.8036, 0.312583
   0.803, 0.310596
  0.8028, 0.311258
  0.8028, 0.311258
  0.8022, 0.309934
  0.8013, 0.313245
  0.8013, 0.311258
  0.8011, 0.309934
   0.801, 0.311258
   0.801, 0.309934
  0.8008,  0.31457
  0.8006, 0.310596
  0.8005, 0.312583
  0.8004, 0.313245
  0.8003, 0.315232
  0.8002, 0.312583
  0.7997, 0.311921
  0.7996, 0.310596
  0.7994, 0.309934
  0.7993, 0.311258
  0.7987, 0.316556
  0.7985, 0.309272
  0.7982,  0.31457
  0.7982, 0.312583
   0.798, 0.309934
  0.7979, 0.311258
  0.7978, 0.312583
  0.7975, 0.310596
  0.7973, 0.313907
  0.7973, 0.306623
  0.7971, 0.311921
  0.7967, 0.310596
  0.7963, 0.306623
  0.7962, 0.312583
  0.7961, 0.311258
  0.7959, 0.309934
  0.7959, 0.310596
  0.7955, 0.315894
  0.7953,  0.31457
  0.7953, 0.312583
  0.7951, 0.311921
   0.795, 0.313907
  0.7947, 0.311258
  0.7946,  0.31457
  0.7946, 0.312583
  0.7941, 0.313907
  0.7941, 0.311921
   0.794, 0.308609
  0.7939, 0.309934
  0.7938, 0.307947
  0.7937, 0.309934
  0.7936, 0.309272
  0.7936, 0.315232
  0.7934, 0.312583
  0.7933, 0.309272
  0.7928, 0.307947
  0.7928, 0.310596
  0.7922, 0.311258
  0.7921, 0.309934
  0.7921, 0.315232
  0.7916, 0.311921
  0.7915, 0.309934
  0.7909, 0.313907
  0.7906, 0.311258
  0.7906, 0.311921
  0.7904, 0.309934
  0.7904, 0.311258
  0.7903, 0.311921
  0.7903, 0.309272
  0.7901, 0.313907
    0.79, 0.313907
  0.7898, 0.311921
  0.7897, 0.316556
  0.7893, 0.310596
  0.7885, 0.308609
  0.7884, 0.310596
  0.7883, 0.313245
  0.7879, 0.313245
  0.7879, 0.311921
  0.7878, 0.310596
  0.7877, 0.311258
  0.7872, 0.307947
  0.7872, 0.312583
   0.786, 0.311258
  0.7858, 0.310596
  0.7857, 0.313907
  0.7855, 0.310596
  0.7854, 0.308609
  0.7844, 0.312583
  0.7842, 0.311258
  0.7841, 0.311921
  0.7841, 0.304636
  0.7837, 0.312583
  0.7836, 0.309934
  0.7835, 0.311258
  0.7835, 0.313907
  0.7833, 0.310596
   0.783, 0.312583
   0.783, 0.311258
  0.7826,  0.31457
  0.7824, 0.313245
  0.7824, 0.311258
  0.7818,  0.31457
  0.7815, 0.313245
  0.7809, 0.311921
  0.7808, 0.308609
  0.7807, 0.312583
  0.7805, 0.309272
  0.7802, 0.311921
  0.7801, 0.309272
  0.7799, 0.311258
  0.7799, 0.311258
  0.7795, 0.313907
  0.7795, 0.312583
  0.7794, 0.312583
  0.7792, 0.313907
  0.7788, 0.315894
  0.7787, 0.308609
  0.7785, 0.308609
  0.7783, 0.313907
  0.7781,  0.31457
   0.778, 0.311921
   0.778, 0.311921
  0.7778,  0.30596
  0.7777, 0.309272
  0.7776, 0.311258
  0.7775, 0.313245
  0.7774,  0.31457
  0.7774, 0.309272
  0.7769, 0.311921
  0.7766, 0.308609
  0.7763, 0.311258
   0.776, 0.309934
  0.7758, 0.312583
   0.775, 0.309272
  0.7748, 0.309272
  0.7747, 0.310596
  0.7746,  0.31457
  0.7746, 0.310596
  0.7744, 0.312583
  0.7744, 0.315232
  0.7738, 0.312583
  0.7737, 0.308609
  0.7737, 0.310596
  0.7734,  0.31457
  0.7732, 0.307947
  0.7731, 0.308609
   0.773,  0.31457
  0.7729, 0.311258
  0.7724, 0.309934
  0.7721, 0.315232
  0.7713, 0.308609
  0.7712, 0.315232
  0.7711, 0.308609
  0.7711, 0.310596
  0.7709, 0.315894
  0.7708, 0.311258
  0.7701, 0.307947
  0.7701, 0.308609
    0.77, 0.309934
  0.7699, 0.309272
  0.7692, 0.306623
  0.7692, 0.309934
  0.7692, 0.309934
  0.7692, 0.311921
  0.7684, 0.306623
  0.7683, 0.311921
  0.7677, 0.308609
  0.7677,  0.31457
  0.7676, 0.308609
  0.7674,  0.31457
  0.7669, 0.309934
  0.7667, 0.313907
  0.7666, 0.316556
  0.7665, 0.309934
  0.7664, 0.312583
  0.7664, 0.309934
   0.766,  0.31457
  0.7655, 0.309934
  0.7654, 0.317219
  0.7651, 0.313245
  0.7645, 0.313245
  0.7644, 0.313245
  0.7634, 0.309934
  0.7629, 0.313245
  0.7628, 0.310596
  0.7622, 0.313245
  0.7621, 0.307285
  0.7618,  0.31457
  0.7615,  0.31457
  0.7612, 0.311258
  0.7612, 0.311258
  0.7611, 0.313907
  0.7609, 0.312583
  0.7604, 0.315232
  0.7602, 0.313907
  0.7596, 0.309934
  0.7595, 0.312583
  0.7595, 0.315232
  0.7594, 0.313245
  0.7591, 0.311921
  0.7589, 0.313907
  0.7582, 0.309934
  0.7577, 0.307947
  0.7573, 0.313245
   0.757, 0.311258
  0.7569, 0.313907
  0.7566, 0.304636
  0.7554, 0.310596
  0.7546, 0.307947
  0.7542, 0.311258
  0.7542, 0.308609
  0.7541, 0.311921
  0.7523,  0.31457
  0.7517, 0.309934
  0.7515,  0.31457
    0.75, 0.310596
  0.7499, 0.311258
  0.7493, 0.315894
   0.749, 0.311258
  0.7484, 0.309934
  0.7478, 0.303973
   0.747, 0.312583
  0.7466, 0.313245
  0.7464, 0.310596
  0.7461, 0.311921
  0.7458, 0.313907
  0.7455, 0.312583
  0.7449, 0.313907
  0.7447, 0.306623
  0.7444, 0.310596
   0.744, 0.311921
  0.7439, 0.315232
  0.7437, 0.311258
  0.7434, 0.312583
  0.7433, 0.311921
  0.7419, 0.307947
  0.7414, 0.313245
  0.7402, 0.315232
  0.7401, 0.315894
  0.7401, 0.313907
    0.74, 0.313245
  0.7397, 0.311258
  0.7396, 0.309934
  0.7395, 0.313907
  0.7383, 0.312583
  0.7376, 0.313245
  0.7374, 0.312583
  0.7372, 0.310596
  0.7371, 0.315894
   0.737, 0.311921
  0.7364, 0.307947
  0.7362, 0.309934
  0.7357, 0.311921
  0.7355, 0.311258
  0.7353, 0.309934
  0.7352,  0.30596
  0.7346, 0.313907
  0.7342, 0.317219
  0.7341, 0.307947
  0.7338, 0.309934
   0.733, 0.311258
  0.7327, 0.313245
  0.7314, 0.309934
  0.7312, 0.309934
  0.7305, 0.319205
  0.7299, 0.309272
  0.7292, 0.313907
  0.7285, 0.313907
  0.7275, 0.315894
  0.7271, 0.309934
  0.7264, 0.311921
  0.7261,  0.31457
  0.7255, 0.311258
  0.7254, 0.313245
  0.7254,  0.31457
  0.7251, 0.311921
   0.724,  0.30596
  0.7232, 0.311258
  0.7229, 0.311921
  0.7212, 0.311921
  0.7188, 0.310596
  0.7166, 0.312583
  0.7164, 0.313245
  0.7163, 0.307947
  0.7162, 0.308609
  0.7161, 0.311921
  0.7153, 0.313245
  0.7121, 0.309934
   0.711, 0.309934
  0.7104, 0.307947
  0.7094, 0.311258
  0.7076, 0.308609
  0.7074, 0.312583
  0.7065, 0.310596
  0.7063,  0.30596
  0.7047, 0.319205
   0.703, 0.311921
   0.701, 0.312583
